twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,2353759,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:32:36-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:17:05-06:00,10000,14.66,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.16,0,2017-11-13,46.52,,412930,54.17,10000,-,100,54242,1742360,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353759,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:32:55-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:17:54-06:00,10000,14.66,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.15,0,2017-11-13,46.52,,412930,54.17,20000,.,10,54342,1742360,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:33:19-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:17:54-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.15,0,2017-11-13,46.52,,412930,54.17,10000,.,10,54342,1743821,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:34:15-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:19:15-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.15,0,2017-11-13,46.52,,412930,54.17,10000,.,100,54542,1743821,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:34:32-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:19:27-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.16,0,2017-11-13,46.52,,412930,54.17,10000,.,45,54932,1743821,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:34:59-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:19:57-06:00,20000,14.7,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.15,0,2017-11-13,46.52,,412930,54.16,10000,.,100,55032,1743821,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:35:28-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:20:23-06:00,19600,14.7,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.16,0,2017-11-13,46.52,,412930,54.17,10000,.,100,55132,1743821,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:36:13-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:20:48-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.17,11000,-,100,55412,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:36:33-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:20:48-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.15,20000,-,100,55412,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:36:41-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:20:48-06:00,20000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.15,20000,-,100,55412,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:37:16-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:20:48-06:00,20000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.15,10000,-,100,55412,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:37:47-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:22:46-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.15,0,2017-11-13,46.52,,412930,54.17,10000,.,100,55612,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:38:19-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:22:46-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.15,0,2017-11-13,46.52,,412930,54.17,30000,.,100,55612,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:38:30-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:22:46-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.15,0,2017-11-13,46.52,,412930,54.19,30000,.,100,55612,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:38:58-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:22:46-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.15,0,2017-11-13,46.52,,412930,54.18,20000,.,100,55612,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:38:58-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:22:46-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.15,0,2017-11-13,46.52,,412930,54.18,20000,.,100,55612,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:39:58-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:24:48-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.18,10000,.,200,55812,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:40:16-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:24:48-06:00,20000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.16,20000,.,200,55812,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:40:38-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:24:48-06:00,20000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.16,20000,.,200,55812,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:41:15-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:24:48-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.16,30000,.,200,55812,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:41:43-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:26:43-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.17,30000,+,100,55912,1743821,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:41:49-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:26:43-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.15,0,2017-11-13,46.52,,412930,54.17,10000,+,100,55912,1743821,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:42:33-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:27:33-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.17,20000,.,100,56112,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:43:21-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:27:33-06:00,11000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.17,20000,.,100,56112,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:43:47-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:28:45-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.15,0,2017-11-13,46.52,,412930,54.17,10000,.,10,56392,1743821,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:44:02-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:28:45-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.16,0,2017-11-13,46.52,,412930,54.17,20000,.,10,56392,1743821,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:44:38-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:29:38-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.17,10000,.,100,56592,1743821,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.42,0,2,2017-11-14T12:44:55-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:29:54-06:00,42100,14.7,58.96,53.78,1.85,,IP,,54.16,BATS,2017-10-24,54.15,0,2017-11-13,46.52,,412930,54.17,10000,+,100,56702,1743821,International Paper Company,,i,D,54.39,-0.23
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:45:37-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:30:31-06:00,38800,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.13,0,2017-11-13,46.52,,412930,54.17,10000,-,100,56802,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.44,0,2,2017-11-14T12:46:08-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:30:31-06:00,10000,14.7,58.96,53.78,1.85,,IP,,54.15,BATS,2017-10-24,54.14,0,2017-11-13,46.52,,412930,54.17,10000,-,100,56802,1743821,International Paper Company,,i,D,54.39,-0.24
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.46,0,2,2017-11-14T12:46:29-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:31:17-06:00,21800,14.7,58.96,53.78,1.85,,IP,,54.14,BATS,2017-10-24,54.11,0,2017-11-13,46.52,,412930,54.14,10000,-,100,56902,1743821,International Paper Company,,i,D,54.39,-0.25
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.46,0,2,2017-11-14T12:46:29-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:31:17-06:00,21800,14.7,58.96,53.78,1.85,,IP,,54.14,BATS,2017-10-24,54.11,0,2017-11-13,46.52,,412930,54.14,10000,-,100,56902,1743821,International Paper Company,,i,D,54.39,-0.25
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.46,0,2,2017-11-14T12:47:29-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:31:17-06:00,21800,14.7,58.96,53.78,1.85,,IP,,54.14,BATS,2017-10-24,54.11,0,2017-11-13,46.52,,412930,54.14,30000,-,100,56902,1743821,International Paper Company,,i,D,54.39,-0.25
2016-11-14,2353892,54.39,,54.4,,2017-11-14,,-0.46,0,2,2017-11-14T12:48:06-06:00,0,53.8,3.37,2016-11-15,2017-11-14T13:32:34-06:00,20000,14.7,58.96,53.78,1.85,,IP,,54.14,BATS,2017-10-24,54.13,0,2017-11-13,46.52,,412930,54.17,10000,.,100,57220,1743821,International Paper Company,,i,D,54.39,-0.25
