twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,1207195,157.61,,158.53,,2017-09-28,,0.36,0,2,2017-11-14T12:32:39-06:00,0,156.7,1.99,2017-01-12,2017-11-14T13:17:36-06:00,10000,27.79,159.36,156.69,3.12,,ITW,,158.18,BATS,2017-10-24,158.16,0,2017-11-13,120.06,,342600,158.22,10000,.,100,28485,1108690,Illinois Tool Works Inc,,i,D,157.61,0.57
2016-11-14,1207195,157.61,,158.53,,2017-09-28,,0.36,0,2,2017-11-14T12:32:50-06:00,0,156.7,1.99,2017-01-12,2017-11-14T13:17:36-06:00,10000,27.79,159.36,156.69,3.12,,ITW,,158.18,BATS,2017-10-24,158.18,0,2017-11-13,120.06,,342600,158.26,10000,.,100,28485,1108690,Illinois Tool Works Inc,,i,D,157.61,0.57
2016-11-14,1207251,157.61,,158.53,,2017-09-28,,0.36,0,2,2017-11-14T12:33:22-06:00,0,156.7,1.99,2017-01-12,2017-11-14T13:17:36-06:00,10000,28.11,159.36,156.69,3.12,,ITW,,158.18,BATS,2017-10-24,158.18,0,2017-11-13,120.06,,342600,158.22,10000,.,100,28485,1109305,Illinois Tool Works Inc,,i,D,157.61,0.57
2016-11-14,1207251,157.61,,158.53,,2017-09-28,,0.39,0,2,2017-11-14T12:34:06-06:00,0,156.7,1.99,2017-01-12,2017-11-14T13:18:43-06:00,1700,28.11,159.36,156.69,3.12,,ITW,,158.22,BATS,2017-10-24,158.12,0,2017-11-13,120.06,,342600,158.56,10000,.,100,28685,1109305,Illinois Tool Works Inc,,i,D,157.61,0.61
2016-11-14,1207251,157.61,,158.53,,2017-09-28,,0.39,0,2,2017-11-14T12:34:29-06:00,0,156.7,1.99,2017-01-12,2017-11-14T13:18:43-06:00,1700,28.11,159.36,156.69,3.12,,ITW,,158.22,BATS,2017-10-24,158.12,0,2017-11-13,120.06,,342600,158.56,10000,.,100,28685,1109305,Illinois Tool Works Inc,,i,D,157.61,0.61
2016-11-14,1207251,157.61,,158.53,,2017-09-28,,0.39,0,2,2017-11-14T12:35:07-06:00,0,156.7,1.99,2017-01-12,2017-11-14T13:18:43-06:00,1700,28.11,159.36,156.69,3.12,,ITW,,158.22,BATS,2017-10-24,158.12,0,2017-11-13,120.06,,342600,158.56,10000,.,100,28685,1109305,Illinois Tool Works Inc,,i,D,157.61,0.61
2016-11-14,1207251,157.61,,158.53,,2017-09-28,,0.38,0,2,2017-11-14T12:35:35-06:00,0,156.7,1.99,2017-01-12,2017-11-14T13:20:34-06:00,1700,28.11,159.36,156.69,3.12,,ITW,,158.21,BATS,2017-10-24,158.21,0,2017-11-13,120.06,,342600,158.56,9900,-,1,28786,1109305,Illinois Tool Works Inc,,i,D,157.61,0.6
2016-11-14,1207251,157.61,,158.53,,2017-09-28,,0.38,0,2,2017-11-14T12:36:04-06:00,0,156.7,1.99,2017-01-12,2017-11-14T13:20:34-06:00,1700,28.11,159.36,156.69,3.12,,ITW,,158.21,BATS,2017-10-24,158.21,0,2017-11-13,120.06,,342600,158.56,9900,-,1,28786,1109305,Illinois Tool Works Inc,,i,D,157.61,0.6
2016-11-14,1207251,157.61,,158.53,,2017-09-28,,0.38,0,2,2017-11-14T12:36:04-06:00,0,156.7,1.99,2017-01-12,2017-11-14T13:20:34-06:00,1700,28.11,159.36,156.69,3.12,,ITW,,158.21,BATS,2017-10-24,158.21,0,2017-11-13,120.06,,342600,158.56,9900,-,1,28786,1109305,Illinois Tool Works Inc,,i,D,157.61,0.6
2016-11-14,1207251,157.61,,158.53,,2017-09-28,,0.38,0,2,2017-11-14T12:36:50-06:00,0,156.7,1.99,2017-01-12,2017-11-14T13:21:44-06:00,1700,28.11,159.36,156.69,3.12,,ITW,,158.21,BATS,2017-10-24,158.21,0,2017-11-13,120.06,,342600,158.56,9100,.,8,28794,1109305,Illinois Tool Works Inc,,i,D,157.61,0.6
