twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,1834686,228.22,,229.95,,2017-08-23,,0.53,0,2,2017-11-14T12:32:15-06:00,0,228.01,2.07,2016-11-21,2017-11-14T13:17:15-06:00,10000,32.61,238.9,226.81,4.7,,MMM,,229.42,BATS,2017-10-24,229.41,0,2017-11-13,170.72,,595610,229.49,20000,-,55,49851,2063917,3M Company,,i,D,228.22,1.2
2016-11-14,1834686,228.22,,229.95,,2017-08-23,,0.53,0,2,2017-11-14T12:32:54-06:00,0,228.01,2.07,2016-11-21,2017-11-14T13:17:15-06:00,10000,32.61,238.9,226.81,4.7,,MMM,,229.42,BATS,2017-10-24,229.46,0,2017-11-13,170.72,,595610,229.55,10000,-,55,49851,2063917,3M Company,,i,D,228.22,1.2
2016-11-14,1834753,228.22,,229.95,,2017-08-23,,0.53,0,2,2017-11-14T12:33:07-06:00,0,228.01,2.07,2016-11-21,2017-11-14T13:17:15-06:00,10000,32.79,238.9,226.81,4.7,,MMM,,229.42,BATS,2017-10-24,229.46,0,2017-11-13,170.72,,595610,229.53,10000,-,55,49851,2064656,3M Company,,i,D,228.22,1.2
2016-11-14,1834753,228.22,,229.95,,2017-08-23,,0.58,0,2,2017-11-14T12:33:54-06:00,0,228.01,2.07,2016-11-21,2017-11-14T13:18:51-06:00,10000,32.79,238.9,226.81,4.7,,MMM,,229.54,BATS,2017-10-24,229.49,0,2017-11-13,170.72,,595610,229.55,10000,+,200,50151,2064656,3M Company,,i,D,228.22,1.32
2016-11-14,1834753,228.22,,229.95,,2017-08-23,,0.58,0,2,2017-11-14T12:34:17-06:00,0,228.01,2.07,2016-11-21,2017-11-14T13:18:51-06:00,20000,32.79,238.9,226.81,4.7,,MMM,,229.54,BATS,2017-10-24,229.49,0,2017-11-13,170.72,,595610,229.58,10000,+,200,50151,2064656,3M Company,,i,D,228.22,1.32
2016-11-14,1834753,228.22,,229.95,,2017-08-23,,0.58,0,2,2017-11-14T12:34:58-06:00,0,228.01,2.07,2016-11-21,2017-11-14T13:18:51-06:00,10000,32.79,238.9,226.81,4.7,,MMM,,229.54,BATS,2017-10-24,229.47,0,2017-11-13,170.72,,595610,229.58,20000,+,200,50151,2064656,3M Company,,i,D,228.22,1.32
2016-11-14,1834753,228.22,,229.95,,2017-08-23,,0.6,0,2,2017-11-14T12:35:22-06:00,0,228.01,2.07,2016-11-21,2017-11-14T13:20:22-06:00,1000,32.79,238.9,226.81,4.7,,MMM,,229.58,BATS,2017-10-24,229.5,0,2017-11-13,170.72,,595610,229.58,10000,+,90,50351,2064656,3M Company,,i,D,228.22,1.36
2016-11-14,1834753,228.22,,229.95,,2017-08-23,,0.6,0,2,2017-11-14T12:36:05-06:00,0,228.01,2.07,2016-11-21,2017-11-14T13:20:22-06:00,1000,32.79,238.9,226.81,4.7,,MMM,,229.58,BATS,2017-10-24,229.52,0,2017-11-13,170.72,,595610,229.58,10000,+,90,50351,2064656,3M Company,,i,D,228.22,1.36
2016-11-14,1834753,228.22,,229.95,,2017-08-23,,0.6,0,2,2017-11-14T12:36:30-06:00,0,228.01,2.07,2016-11-21,2017-11-14T13:20:22-06:00,10000,32.79,238.9,226.81,4.7,,MMM,,229.58,BATS,2017-10-24,229.53,0,2017-11-13,170.72,,595610,229.57,100,+,90,50351,2064656,3M Company,,i,D,228.22,1.36
2016-11-14,1834753,228.22,,229.95,,2017-08-23,,0.6,0,2,2017-11-14T12:36:45-06:00,0,228.01,2.07,2016-11-21,2017-11-14T13:20:22-06:00,10000,32.79,238.9,226.81,4.7,,MMM,,229.58,BATS,2017-10-24,229.54,0,2017-11-13,170.72,,595610,229.57,10000,+,90,50351,2064656,3M Company,,i,D,228.22,1.36
