twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,9514082,48.63,,48.54,,2017-10-30,,-1.15,0,2,2017-11-14T12:32:45-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:17:08-06:00,20000,22.08,51.52,47.97,1,,MS,,48.07,BATS,2017-10-25,48.06,0,2017-11-13,38.4,,1807900,48.07,10000,-,100,528238,7791428,Morgan Stanley,,i,D,48.63,-0.56
2016-11-14,9514082,48.63,,48.54,,2017-10-30,,-1.17,0,2,2017-11-14T12:33:03-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:17:55-06:00,30000,22.16,51.52,47.97,1,,MS,,48.06,BATS,2017-10-25,48.05,0,2017-11-13,38.4,,1807900,48.06,40000,-,100,528338,7791428,Morgan Stanley,,i,D,48.63,-0.57
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.17,0,2,2017-11-14T12:33:36-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:17:55-06:00,20000,22.16,51.52,47.97,1,,MS,,48.06,BATS,2017-10-25,48.05,0,2017-11-13,38.4,,1807900,48.07,50000,-,100,528338,7794877,Morgan Stanley,,i,D,48.63,-0.57
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.15,0,2,2017-11-14T12:34:15-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:19:14-06:00,80400,22.16,51.52,47.97,1,,MS,,48.07,BATS,2017-10-25,48.06,0,2017-11-13,38.4,,1807900,48.07,10000,.,100,528538,7794877,Morgan Stanley,,i,D,48.63,-0.56
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.19,0,2,2017-11-14T12:34:45-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:19:34-06:00,50000,22.16,51.52,47.97,1,,MS,,48.05,BATS,2017-10-25,48.05,0,2017-11-13,38.4,,1807900,48.06,10000,-,100,528738,7794877,Morgan Stanley,,i,D,48.63,-0.58
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.19,0,2,2017-11-14T12:35:12-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:19:51-06:00,10000,22.16,51.52,47.97,1,,MS,,48.05,BATS,2017-10-25,48.04,0,2017-11-13,38.4,,1807900,48.05,40000,.,100,528938,7794877,Morgan Stanley,,i,D,48.63,-0.58
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.17,0,2,2017-11-14T12:35:38-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:20:15-06:00,30000,22.16,51.52,47.97,1,,MS,,48.06,BATS,2017-10-25,48.06,0,2017-11-13,38.4,,1807900,48.07,10000,+,90,529228,7794877,Morgan Stanley,,i,D,48.63,-0.57
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.15,0,2,2017-11-14T12:36:20-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:21:01-06:00,50000,22.16,51.52,47.97,1,,MS,,48.07,BATS,2017-10-25,48.07,0,2017-11-13,38.4,,1807900,48.09,30000,+,100,529528,7794877,Morgan Stanley,,i,D,48.63,-0.56
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.11,0,2,2017-11-14T12:36:42-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:21:34-06:00,90000,22.16,51.52,47.97,1,,MS,,48.09,BATS,2017-10-25,48.08,0,2017-11-13,38.4,,1807900,48.1,28100,.,20,529568,7794877,Morgan Stanley,,i,D,48.63,-0.54
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.11,0,2,2017-11-14T12:37:11-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:22:02-06:00,30000,22.16,51.52,47.97,1,,MS,,48.09,BATS,2017-10-25,48.08,0,2017-11-13,38.4,,1807900,48.1,90000,.,70,529969,7794877,Morgan Stanley,,i,D,48.63,-0.54
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.11,0,2,2017-11-14T12:37:34-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:22:02-06:00,20000,22.16,51.52,47.97,1,,MS,,48.09,BATS,2017-10-25,48.08,0,2017-11-13,38.4,,1807900,48.09,20000,.,70,529969,7794877,Morgan Stanley,,i,D,48.63,-0.54
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.11,0,2,2017-11-14T12:38:03-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:23:01-06:00,90000,22.16,51.52,47.97,1,,MS,,48.09,BATS,2017-10-25,48.08,0,2017-11-13,38.4,,1807900,48.1,20000,.,100,530369,7794877,Morgan Stanley,,i,D,48.63,-0.54
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.11,0,2,2017-11-14T12:38:26-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:23:01-06:00,70000,22.16,51.52,47.97,1,,MS,,48.09,BATS,2017-10-25,48.08,0,2017-11-13,38.4,,1807900,48.1,30000,.,100,530369,7794877,Morgan Stanley,,i,D,48.63,-0.54
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.11,0,2,2017-11-14T12:38:48-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:23:01-06:00,20000,22.16,51.52,47.97,1,,MS,,48.09,BATS,2017-10-25,48.09,0,2017-11-13,38.4,,1807900,48.1,33400,.,100,530369,7794877,Morgan Stanley,,i,D,48.63,-0.54
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.15,0,2,2017-11-14T12:39:13-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:24:12-06:00,10000,22.16,51.52,47.97,1,,MS,,48.07,BATS,2017-10-25,48.06,0,2017-11-13,38.4,,1807900,48.07,13400,.,100,531389,7794877,Morgan Stanley,,i,D,48.63,-0.56
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.15,0,2,2017-11-14T12:39:13-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:24:12-06:00,10000,22.16,51.52,47.97,1,,MS,,48.07,BATS,2017-10-25,48.06,0,2017-11-13,38.4,,1807900,48.07,13400,.,100,531389,7794877,Morgan Stanley,,i,D,48.63,-0.56
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.15,0,2,2017-11-14T12:40:04-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:24:12-06:00,30000,22.16,51.52,47.97,1,,MS,,48.07,BATS,2017-10-25,48.06,0,2017-11-13,38.4,,1807900,48.07,13400,.,100,531389,7794877,Morgan Stanley,,i,D,48.63,-0.56
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.15,0,2,2017-11-14T12:40:22-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:24:12-06:00,30000,22.16,51.52,47.97,1,,MS,,48.07,BATS,2017-10-25,48.06,0,2017-11-13,38.4,,1807900,48.07,10000,.,100,531389,7794877,Morgan Stanley,,i,D,48.63,-0.56
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.15,0,2,2017-11-14T12:40:57-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:25:55-06:00,40500,22.16,51.52,47.97,1,,MS,,48.07,BATS,2017-10-25,48.07,0,2017-11-13,38.4,,1807900,48.09,40000,.,100,531589,7794877,Morgan Stanley,,i,D,48.63,-0.56
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.15,0,2,2017-11-14T12:41:22-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:25:58-06:00,60000,22.16,51.52,47.97,1,,MS,,48.07,BATS,2017-10-25,48.09,0,2017-11-13,38.4,,1807900,48.11,30000,-,100,531818,7794877,Morgan Stanley,,i,D,48.63,-0.56
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.11,0,2,2017-11-14T12:41:49-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:26:47-06:00,14000,22.16,51.52,47.97,1,,MS,,48.09,BATS,2017-10-25,48.08,0,2017-11-13,38.4,,1807900,48.09,20000,.,100,532518,7794877,Morgan Stanley,,i,D,48.63,-0.54
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.11,0,2,2017-11-14T12:42:11-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:26:47-06:00,30000,22.16,51.52,47.97,1,,MS,,48.09,BATS,2017-10-25,48.08,0,2017-11-13,38.4,,1807900,48.09,10000,.,100,532518,7794877,Morgan Stanley,,i,D,48.63,-0.54
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.11,0,2,2017-11-14T12:42:26-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:26:47-06:00,40000,22.16,51.52,47.97,1,,MS,,48.09,BATS,2017-10-25,48.08,0,2017-11-13,38.4,,1807900,48.09,10000,.,100,532518,7794877,Morgan Stanley,,i,D,48.63,-0.54
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.13,0,2,2017-11-14T12:43:23-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:27:59-06:00,10000,22.16,51.52,47.97,1,,MS,,48.08,BATS,2017-10-25,48.08,0,2017-11-13,38.4,,1807900,48.09,30000,.,100,533018,7794877,Morgan Stanley,,i,D,48.63,-0.55
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.09,0,2,2017-11-14T12:43:53-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:28:47-06:00,50000,22.16,51.52,47.97,1,,MS,,48.1,BATS,2017-10-25,48.1,0,2017-11-13,38.4,,1807900,48.12,30000,+,100,533218,7794877,Morgan Stanley,,i,D,48.63,-0.53
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.07,0,2,2017-11-14T12:44:15-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:29:11-06:00,40500,22.16,51.52,47.97,1,,MS,,48.11,BATS,2017-10-25,48.1,0,2017-11-13,38.4,,1807900,48.11,30000,-,100,533718,7794877,Morgan Stanley,,i,D,48.63,-0.52
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.09,0,2,2017-11-14T12:44:49-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:29:32-06:00,60000,22.16,51.52,47.97,1,,MS,,48.1,BATS,2017-10-25,48.1,0,2017-11-13,38.4,,1807900,48.11,2000,.,100,534018,7794877,Morgan Stanley,,i,D,48.63,-0.53
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.07,0,2,2017-11-14T12:45:17-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:30:03-06:00,20000,22.16,51.52,47.97,1,,MS,,48.11,BATS,2017-10-25,48.08,0,2017-11-13,38.4,,1807900,48.1,80000,.,100,534418,7794877,Morgan Stanley,,i,D,48.63,-0.52
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.09,0,2,2017-11-14T12:45:39-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:30:23-06:00,40000,22.16,51.52,47.97,1,,MS,,48.1,BATS,2017-10-25,48.1,0,2017-11-13,38.4,,1807900,48.11,10000,-,100,534518,7794877,Morgan Stanley,,i,D,48.63,-0.53
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.11,0,2,2017-11-14T12:46:11-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:31:06-06:00,40000,22.16,51.52,47.97,1,,MS,,48.09,BATS,2017-10-25,48.07,0,2017-11-13,38.4,,1807900,48.09,90000,-,100,534718,7794877,Morgan Stanley,,i,D,48.63,-0.54
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.15,0,2,2017-11-14T12:46:43-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:31:29-06:00,70000,22.16,51.52,47.97,1,,MS,,48.07,BATS,2017-10-25,48.06,0,2017-11-13,38.4,,1807900,48.08,40000,.,100,534918,7794877,Morgan Stanley,,i,D,48.63,-0.56
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.15,0,2,2017-11-14T12:47:08-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:32:06-06:00,10000,22.16,51.52,47.97,1,,MS,,48.07,BATS,2017-10-25,48.07,0,2017-11-13,38.4,,1807900,48.08,12000,.,100,535418,7794877,Morgan Stanley,,i,D,48.63,-0.56
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.11,0,2,2017-11-14T12:47:33-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:32:33-06:00,40000,22.16,51.52,47.97,1,,MS,,48.09,BATS,2017-10-25,48.09,0,2017-11-13,38.4,,1807900,48.1,20000,.,95,535718,7794877,Morgan Stanley,,i,D,48.63,-0.54
2016-11-14,9514396,48.63,,48.54,,2017-10-30,,-1.07,0,2,2017-11-14T12:48:06-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:33:03-06:00,90000,22.16,51.52,47.97,1,,MS,,48.11,BATS,2017-10-25,48.1,0,2017-11-13,38.4,,1807900,48.12,10000,.,100,536018,7794877,Morgan Stanley,,i,D,48.63,-0.52
2016-11-14,9515386,48.63,,48.54,,2017-10-30,,-1.07,0,2,2017-11-14T12:48:37-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:33:03-06:00,20000,22.21,51.52,47.97,1,,MS,,48.11,BATS,2017-10-25,48.1,0,2017-11-13,38.4,,1807900,48.11,20000,.,100,536018,7805765,Morgan Stanley,,i,D,48.63,-0.52
2016-11-14,9515386,48.63,,48.54,,2017-10-30,,-1.09,0,2,2017-11-14T12:49:11-06:00,0,48.41,2.05,2016-11-15,2017-11-14T13:33:43-06:00,10000,22.21,51.52,47.97,1,,MS,,48.1,BATS,2017-10-25,48.09,0,2017-11-13,38.4,,1807900,48.1,30000,-,100,536118,7805765,Morgan Stanley,,i,D,48.63,-0.53
