twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,4541664,28.47,,28.52,,2017-08-29,,-1.93,0,2,2017-11-14T12:32:45-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:17:28-06:00,100000,-39.82,55.08,27.91,0.92,,NWL,,27.92,BATS,2017-06-19,27.92,0,2017-11-13,27.94,,490100,27.93,25000,.,50,259726,9347558,Newell Rubbermaid Inc,,i,D,28.47,-0.55
2016-11-14,4541664,28.47,,28.52,,2017-08-29,,-1.93,0,2,2017-11-14T12:32:51-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:17:28-06:00,50000,-39.96,55.08,27.91,0.92,,NWL,,27.92,BATS,2017-06-19,27.92,0,2017-11-13,27.9,,490100,27.93,35000,.,50,259726,9347558,Newell Rubbermaid Inc,,i,D,28.47,-0.55
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.97,0,2,2017-11-14T12:33:34-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:18:33-06:00,10000,-39.96,55.08,27.91,0.92,,NWL,,27.91,BATS,2017-06-19,27.91,0,2017-11-13,27.9,,490100,27.92,10000,.,100,262263,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.56
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.97,0,2,2017-11-14T12:34:17-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:18:48-06:00,40000,-39.96,55.08,27.91,0.92,,NWL,,27.91,BATS,2017-06-19,27.91,0,2017-11-13,27.9,,490100,27.92,20000,.,100,262363,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.56
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.97,0,2,2017-11-14T12:34:45-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:18:48-06:00,60000,-39.96,55.08,27.91,0.92,,NWL,,27.91,BATS,2017-06-19,27.91,0,2017-11-13,27.9,,490100,27.92,10000,.,100,262363,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.56
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-2,0,2,2017-11-14T12:35:12-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:19:52-06:00,20000,-39.96,55.08,27.9,0.92,,NWL,,27.9,BATS,2017-06-19,27.9,0,2017-11-13,27.9,,490100,27.91,20000,.,100,262563,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.57
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.93,0,2,2017-11-14T12:35:38-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:20:38-06:00,61900,-39.96,55.08,27.9,0.92,,NWL,,27.92,BATS,2017-06-19,27.91,0,2017-11-13,27.9,,490100,27.92,40000,.,90,263453,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.55
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.97,0,2,2017-11-14T12:36:14-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:21:07-06:00,91900,-39.96,55.08,27.9,0.92,,NWL,,27.91,BATS,2017-06-19,27.91,0,2017-11-13,27.9,,490100,27.92,30000,-,100,263653,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.56
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.97,0,2,2017-11-14T12:36:14-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:21:07-06:00,91900,-39.96,55.08,27.9,0.92,,NWL,,27.91,BATS,2017-06-19,27.91,0,2017-11-13,27.9,,490100,27.92,30000,-,100,263653,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.56
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.9,0,2,2017-11-14T12:37:11-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:22:10-06:00,77700,-39.96,55.08,27.9,0.92,,NWL,,27.93,BATS,2017-06-19,27.92,0,2017-11-13,27.9,,490100,27.93,30000,.,9,265791,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.54
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.9,0,2,2017-11-14T12:37:35-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:22:10-06:00,77700,-39.96,55.08,27.9,0.92,,NWL,,27.93,BATS,2017-06-19,27.92,0,2017-11-13,27.9,,490100,27.93,40000,.,9,265791,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.54
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.93,0,2,2017-11-14T12:38:02-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:22:44-06:00,29100,-39.96,55.08,27.9,0.92,,NWL,,27.92,BATS,2017-06-19,27.92,0,2017-11-13,27.9,,490100,27.93,30000,-,100,265891,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.55
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.93,0,2,2017-11-14T12:38:20-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:22:44-06:00,29100,-39.96,55.08,27.9,0.92,,NWL,,27.92,BATS,2017-06-19,27.92,0,2017-11-13,27.9,,490100,27.93,40000,-,100,265891,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.55
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.93,0,2,2017-11-14T12:38:46-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:23:46-06:00,29100,-39.96,55.08,27.9,0.92,,NWL,,27.92,BATS,2017-06-19,27.92,0,2017-11-13,27.9,,490100,27.93,40500,.,100,266091,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.55
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.93,0,2,2017-11-14T12:39:15-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:23:46-06:00,89100,-39.96,55.08,27.9,0.92,,NWL,,27.92,BATS,2017-06-19,27.92,0,2017-11-13,27.9,,490100,27.93,40000,.,100,266091,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.55
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.93,0,2,2017-11-14T12:39:39-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:23:46-06:00,59100,-39.96,55.08,27.9,0.92,,NWL,,27.92,BATS,2017-06-19,27.92,0,2017-11-13,27.9,,490100,27.93,50000,.,100,266091,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.55
2016-11-14,4542243,28.47,,28.52,,2017-08-29,,-1.93,0,2,2017-11-14T12:40:00-06:00,0,28.4,3.14,2017-11-14,2017-11-14T13:23:46-06:00,139100,-39.96,55.08,27.9,0.92,,NWL,,27.92,BATS,2017-06-19,27.92,0,2017-11-13,27.9,,490100,27.93,80000,.,100,266091,9353930,Newell Rubbermaid Inc,,i,D,28.47,-0.55
