twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,1326900,214.17,,223.22,,,,1.05,0,2,2017-11-14T12:32:29-06:00,0,220,0,2017-07-10,2017-11-14T13:17:26-06:00,10000,-17.6,286.57,215.38,0,,ORLY,,216.41,BATS,2016-12-21,215.97,0,2017-11-13,169.43,,85030,217.2,10000,.,3,51542,1177258,O'Reilly Automotive,,i,D,214.17,2.24
2016-11-14,1326900,214.17,,223.22,,,,1.05,0,2,2017-11-14T12:33:01-06:00,0,220,0,2017-07-10,2017-11-14T13:17:26-06:00,10000,-17.46,286.57,215.38,0,,ORLY,,216.41,BATS,2016-12-21,216.16,0,2017-11-13,169.43,,85030,217.2,10000,.,3,51542,1177258,O'Reilly Automotive,,i,D,214.17,2.24
2016-11-14,1326937,214.17,,223.22,,,,1.05,0,2,2017-11-14T12:33:33-06:00,0,220,0,2017-07-10,2017-11-14T13:17:26-06:00,10000,-17.46,286.57,215.38,0,,ORLY,,216.41,BATS,2016-12-21,216.5,0,2017-11-13,169.43,,85030,216.97,10000,.,3,51542,1177663,O'Reilly Automotive,,i,D,214.17,2.24
2016-11-14,1326937,214.17,,223.22,,,,1.05,0,2,2017-11-14T12:34:19-06:00,0,220,0,2017-07-10,2017-11-14T13:17:26-06:00,10000,-17.46,286.57,215.38,0,,ORLY,,216.41,BATS,2016-12-21,216.44,0,2017-11-13,169.43,,85030,217.55,10000,.,3,51542,1177663,O'Reilly Automotive,,i,D,214.17,2.24
2016-11-14,1326937,214.17,,223.22,,,,1.05,0,2,2017-11-14T12:34:48-06:00,0,220,0,2017-07-10,2017-11-14T13:17:26-06:00,10000,-17.46,286.57,215.38,0,,ORLY,,216.41,BATS,2016-12-21,216.56,0,2017-11-13,169.43,,85030,217.55,10000,.,3,51542,1177663,O'Reilly Automotive,,i,D,214.17,2.24
2016-11-14,1326937,214.17,,223.22,,,,1.05,0,2,2017-11-14T12:35:02-06:00,0,220,0,2017-07-10,2017-11-14T13:17:26-06:00,10000,-17.46,286.57,215.38,0,,ORLY,,216.41,BATS,2016-12-21,216.17,0,2017-11-13,169.43,,85030,217.28,10000,.,3,51542,1177663,O'Reilly Automotive,,i,D,214.17,2.24
2016-11-14,1326937,214.17,,223.22,,,,1.12,0,2,2017-11-14T12:35:32-06:00,0,220,0,2017-07-10,2017-11-14T13:20:27-06:00,2100,-17.46,286.57,215.38,0,,ORLY,,216.56,BATS,2016-12-21,216.17,0,2017-11-13,169.43,,85030,216.87,10000,+,90,51642,1177663,O'Reilly Automotive,,i,D,214.17,2.39
2016-11-14,1326937,214.17,,223.22,,,,1.12,0,2,2017-11-14T12:36:18-06:00,0,220,0,2017-07-10,2017-11-14T13:20:27-06:00,10000,-17.46,286.57,215.38,0,,ORLY,,216.56,BATS,2016-12-21,216.29,0,2017-11-13,169.43,,85030,217.09,10000,+,90,51642,1177663,O'Reilly Automotive,,i,D,214.17,2.39
2016-11-14,1326937,214.17,,223.22,,,,1.12,0,2,2017-11-14T12:36:46-06:00,0,220,0,2017-07-10,2017-11-14T13:21:28-06:00,10000,-17.46,286.57,215.38,0,,ORLY,,216.57,BATS,2016-12-21,216.14,0,2017-11-13,169.43,,85030,217.09,10000,+,100,51742,1177663,O'Reilly Automotive,,i,D,214.17,2.4
2016-11-14,1326937,214.17,,223.22,,,,1.12,0,2,2017-11-14T12:37:11-06:00,0,220,0,2017-07-10,2017-11-14T13:21:28-06:00,10000,-17.46,286.57,215.38,0,,ORLY,,216.57,BATS,2016-12-21,216.15,0,2017-11-13,169.43,,85030,216.61,10000,+,100,51742,1177663,O'Reilly Automotive,,i,D,214.17,2.4
