twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,677354,89.79,,91.5,,2017-10-31,,1.79,0,2,2017-11-14T12:32:01-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:05:02-06:00,10000,25.04,91.51,90.05,2.78,,PNW,,91.4,BATS,2017-11-14,91.05,0,2017-11-13,72.61,,111730,91.5,10000,+,100,14922,661959,Pinnacle West Capital Corp,,i,D,89.79,1.61
2016-11-14,677354,89.79,,91.5,,2017-10-31,,1.79,0,2,2017-11-14T12:33:01-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:05:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.4,BATS,2017-11-14,91.05,0,2017-11-13,72.61,,111730,91.5,10000,+,100,14922,661959,Pinnacle West Capital Corp,,i,D,89.79,1.61
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.79,0,2,2017-11-14T12:33:35-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:05:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.4,BATS,2017-11-14,91.06,0,2017-11-13,72.61,,111730,91.5,10000,+,100,14922,662202,Pinnacle West Capital Corp,,i,D,89.79,1.61
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.79,0,2,2017-11-14T12:34:06-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:05:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.4,BATS,2017-11-14,91.06,0,2017-11-13,72.61,,111730,91.5,10000,+,100,14922,662202,Pinnacle West Capital Corp,,i,D,89.79,1.61
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.79,0,2,2017-11-14T12:34:47-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:05:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.4,BATS,2017-11-14,91.28,0,2017-11-13,72.61,,111730,91.5,10000,+,100,14922,662202,Pinnacle West Capital Corp,,i,D,89.79,1.61
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.79,0,2,2017-11-14T12:35:14-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:05:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.4,BATS,2017-11-14,91.29,0,2017-11-13,72.61,,111730,91.5,12000,+,100,14922,662202,Pinnacle West Capital Corp,,i,D,89.79,1.61
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.79,0,2,2017-11-14T12:35:32-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:05:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.4,BATS,2017-11-14,91.24,0,2017-11-13,72.61,,111730,91.5,20000,+,100,14922,662202,Pinnacle West Capital Corp,,i,D,89.79,1.61
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.79,0,2,2017-11-14T12:35:57-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:05:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.4,BATS,2017-11-14,91.05,0,2017-11-13,72.61,,111730,91.5,10000,+,100,14922,662202,Pinnacle West Capital Corp,,i,D,89.79,1.61
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.79,0,2,2017-11-14T12:35:57-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:05:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.4,BATS,2017-11-14,91.05,0,2017-11-13,72.61,,111730,91.5,10000,+,100,14922,662202,Pinnacle West Capital Corp,,i,D,89.79,1.61
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.79,0,2,2017-11-14T12:37:06-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:05:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.4,BATS,2017-11-14,91.05,0,2017-11-13,72.61,,111730,91.5,10000,+,100,14922,662202,Pinnacle West Capital Corp,,i,D,89.79,1.61
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.79,0,2,2017-11-14T12:37:30-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:05:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.4,BATS,2017-11-14,91.05,0,2017-11-13,72.61,,111730,91.32,10000,+,100,14922,662202,Pinnacle West Capital Corp,,i,D,89.79,1.61
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.7,0,2,2017-11-14T12:38:02-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:23:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.32,BATS,2017-11-14,91.05,0,2017-11-13,72.61,,111730,91.46,10000,-,100,15022,662202,Pinnacle West Capital Corp,,i,D,89.79,1.53
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.7,0,2,2017-11-14T12:38:26-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:23:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.32,BATS,2017-11-14,91.23,0,2017-11-13,72.61,,111730,91.46,10000,-,100,15022,662202,Pinnacle West Capital Corp,,i,D,89.79,1.53
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.7,0,2,2017-11-14T12:38:52-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:23:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.32,BATS,2017-11-14,91.05,0,2017-11-13,72.61,,111730,91.46,10000,-,100,15022,662202,Pinnacle West Capital Corp,,i,D,89.79,1.53
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.7,0,2,2017-11-14T12:39:17-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:23:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.32,BATS,2017-11-14,91.06,0,2017-11-13,72.61,,111730,91.46,10000,-,100,15022,662202,Pinnacle West Capital Corp,,i,D,89.79,1.53
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.7,0,2,2017-11-14T12:39:26-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:23:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.32,BATS,2017-11-14,91.3,0,2017-11-13,72.61,,111730,91.46,10000,-,100,15022,662202,Pinnacle West Capital Corp,,i,D,89.79,1.53
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.7,0,2,2017-11-14T12:39:52-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:23:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.32,BATS,2017-11-14,91.3,0,2017-11-13,72.61,,111730,91.46,10000,-,100,15022,662202,Pinnacle West Capital Corp,,i,D,89.79,1.53
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.7,0,2,2017-11-14T12:40:32-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:23:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.32,BATS,2017-11-14,91.3,0,2017-11-13,72.61,,111730,91.46,10000,-,100,15022,662202,Pinnacle West Capital Corp,,i,D,89.79,1.53
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.7,0,2,2017-11-14T12:40:32-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:23:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.32,BATS,2017-11-14,91.3,0,2017-11-13,72.61,,111730,91.46,10000,-,100,15022,662202,Pinnacle West Capital Corp,,i,D,89.79,1.53
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.7,0,2,2017-11-14T12:40:32-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:23:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.32,BATS,2017-11-14,91.3,0,2017-11-13,72.61,,111730,91.46,10000,-,100,15022,662202,Pinnacle West Capital Corp,,i,D,89.79,1.53
2016-11-14,677377,89.79,,91.5,,2017-10-31,,1.7,0,2,2017-11-14T12:41:47-06:00,0,90.05,3.15,2016-12-05,2017-11-14T13:23:02-06:00,10000,25,91.51,90.05,2.78,,PNW,,91.32,BATS,2017-11-14,91.34,0,2017-11-13,72.61,,111730,91.46,10000,-,100,15022,662202,Pinnacle West Capital Corp,,i,D,89.79,1.53
