twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,816456,64.06,,64.09,,,,-0.69,0,2,2017-11-14T12:32:41-06:00,0,64.09,0,2017-11-09,2017-11-14T13:16:29-06:00,10000,-15.02,88,63.42,0,,SRCL,,63.62,BATS,2017-05-05,63.62,0,2017-11-13,61.62,,85370,63.85,20000,.,2,23368,942047,Stericycle Inc,,i,D,64.06,-0.44
2016-11-14,816456,64.06,,64.09,,,,-0.7,0,2,2017-11-14T12:33:04-06:00,0,64.09,0,2017-11-09,2017-11-14T13:18:01-06:00,10000,-14.96,88,63.42,0,,SRCL,,63.61,BATS,2017-05-05,63.58,0,2017-11-13,61.62,,85370,63.85,10000,-,4,23572,942047,Stericycle Inc,,i,D,64.06,-0.45
2016-11-14,816513,64.06,,64.09,,,,-0.7,0,2,2017-11-14T12:33:19-06:00,0,64.09,0,2017-11-09,2017-11-14T13:18:01-06:00,10000,-14.96,88,63.42,0,,SRCL,,63.61,BATS,2017-05-05,63.58,0,2017-11-13,61.62,,85370,63.62,10000,-,4,23572,942683,Stericycle Inc,,i,D,64.06,-0.45
2016-11-14,816513,64.06,,64.09,,,,-0.7,0,2,2017-11-14T12:33:19-06:00,0,64.09,0,2017-11-09,2017-11-14T13:18:01-06:00,10000,-14.96,88,63.42,0,,SRCL,,63.61,BATS,2017-05-05,63.58,0,2017-11-13,61.62,,85370,63.62,10000,-,4,23572,942683,Stericycle Inc,,i,D,64.06,-0.45
2016-11-14,816513,64.06,,64.09,,,,-0.7,0,2,2017-11-14T12:34:49-06:00,0,64.09,0,2017-11-09,2017-11-14T13:18:01-06:00,10000,-14.96,88,63.42,0,,SRCL,,63.61,BATS,2017-05-05,63.58,0,2017-11-13,61.62,,85370,63.85,10000,-,4,23572,942683,Stericycle Inc,,i,D,64.06,-0.45
2016-11-14,816513,64.06,,64.09,,,,-0.75,0,2,2017-11-14T12:35:19-06:00,0,64.09,0,2017-11-09,2017-11-14T13:20:01-06:00,20000,-14.96,88,63.42,0,,SRCL,,63.58,BATS,2017-05-05,63.55,0,2017-11-13,61.62,,85370,63.58,10000,.,100,23772,942683,Stericycle Inc,,i,D,64.06,-0.48
2016-11-14,816513,64.06,,64.09,,,,-0.75,0,2,2017-11-14T12:35:57-06:00,0,64.09,0,2017-11-09,2017-11-14T13:20:01-06:00,10000,-14.96,88,63.42,0,,SRCL,,63.58,BATS,2017-05-05,63.47,0,2017-11-13,61.62,,85370,63.56,10000,.,100,23772,942683,Stericycle Inc,,i,D,64.06,-0.48
2016-11-14,816513,64.06,,64.09,,,,-0.73,0,2,2017-11-14T12:36:21-06:00,0,64.09,0,2017-11-09,2017-11-14T13:21:11-06:00,10000,-14.96,88,63.42,0,,SRCL,,63.59,BATS,2017-05-05,63.47,0,2017-11-13,61.62,,85370,63.83,10000,.,50,24186,942683,Stericycle Inc,,i,D,64.06,-0.47
2016-11-14,816513,64.06,,64.09,,,,-0.73,0,2,2017-11-14T12:36:29-06:00,0,64.09,0,2017-11-09,2017-11-14T13:21:11-06:00,10000,-14.96,88,63.42,0,,SRCL,,63.59,BATS,2017-05-05,63.47,0,2017-11-13,61.62,,85370,63.62,10000,.,50,24186,942683,Stericycle Inc,,i,D,64.06,-0.47
2016-11-14,816513,64.06,,64.09,,,,-0.73,0,2,2017-11-14T12:37:15-06:00,0,64.09,0,2017-11-09,2017-11-14T13:21:11-06:00,10000,-14.96,88,63.42,0,,SRCL,,63.59,BATS,2017-05-05,63.47,0,2017-11-13,61.62,,85370,63.62,10000,.,50,24186,942683,Stericycle Inc,,i,D,64.06,-0.47
