twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,5209386,37.66,,37.91,,2017-09-19,,-0.42,0,2,2017-11-14T12:32:45-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:16:09-06:00,30000,-1.47,50.96,37.36,2.52,,STX,,37.5,BATS,2017-04-25,37.49,0,2017-11-13,30.6,,289320,37.51,29000,+,100,83712,5908139,Seagate Tech Ord Shs,,i,D,37.66,-0.16
2016-11-14,5209386,37.66,,37.91,,2017-09-19,,-0.42,0,2,2017-11-14T12:32:45-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:16:09-06:00,30000,-1.31,50.96,37.36,2.52,,STX,,37.5,BATS,2017-04-25,37.49,0,2017-11-13,30.6,,289320,37.51,29000,+,100,83712,5908139,Seagate Tech Ord Shs,,i,D,37.66,-0.16
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.48,0,2,2017-11-14T12:33:57-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:18:28-06:00,10000,-1.31,50.96,37.36,2.52,,STX,,37.48,BATS,2017-04-25,37.47,0,2017-11-13,30.6,,289320,37.49,40000,-,100,84002,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.18
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.48,0,2,2017-11-14T12:34:21-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:18:28-06:00,10000,-1.31,50.96,37.36,2.52,,STX,,37.48,BATS,2017-04-25,37.48,0,2017-11-13,30.6,,289320,37.49,20000,-,100,84002,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.18
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.48,0,2,2017-11-14T12:34:52-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:19:44-06:00,10000,-1.31,50.96,37.36,2.52,,STX,,37.48,BATS,2017-04-25,37.48,0,2017-11-13,30.6,,289320,37.49,20000,.,100,84102,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.18
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.45,0,2,2017-11-14T12:35:18-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:20:13-06:00,20000,-1.31,50.96,37.36,2.52,,STX,,37.49,BATS,2017-04-25,37.49,0,2017-11-13,30.6,,289320,37.5,10000,.,100,84302,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.17
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.45,0,2,2017-11-14T12:35:48-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:20:13-06:00,10000,-1.31,50.96,37.36,2.52,,STX,,37.49,BATS,2017-04-25,37.49,0,2017-11-13,30.6,,289320,37.5,20000,.,100,84302,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.17
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.45,0,2,2017-11-14T12:36:26-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:21:24-06:00,40000,-1.31,50.96,37.36,2.52,,STX,,37.49,BATS,2017-04-25,37.47,0,2017-11-13,30.6,,289320,37.49,20000,.,100,84502,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.17
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.45,0,2,2017-11-14T12:36:48-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:21:48-06:00,10000,-1.31,50.96,37.36,2.52,,STX,,37.49,BATS,2017-04-25,37.49,0,2017-11-13,30.6,,289320,37.5,40000,.,75,84602,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.17
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.45,0,2,2017-11-14T12:37:14-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:22:10-06:00,30000,-1.31,50.96,37.36,2.52,,STX,,37.49,BATS,2017-04-25,37.47,0,2017-11-13,30.6,,289320,37.49,30000,.,35,84802,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.17
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.45,0,2,2017-11-14T12:37:34-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:22:10-06:00,10000,-1.31,50.96,37.36,2.52,,STX,,37.49,BATS,2017-04-25,37.48,0,2017-11-13,30.6,,289320,37.5,20000,.,35,84802,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.17
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.45,0,2,2017-11-14T12:37:58-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:22:10-06:00,20000,-1.31,50.96,37.36,2.52,,STX,,37.49,BATS,2017-04-25,37.47,0,2017-11-13,30.6,,289320,37.49,20000,.,35,84802,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.17
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.48,0,2,2017-11-14T12:38:31-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:23:30-06:00,20000,-1.31,50.96,37.36,2.52,,STX,,37.48,BATS,2017-04-25,37.47,0,2017-11-13,30.6,,289320,37.49,50000,.,59,84902,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.18
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.45,0,2,2017-11-14T12:38:52-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:23:52-06:00,30000,-1.31,50.96,37.36,2.52,,STX,,37.49,BATS,2017-04-25,37.48,0,2017-11-13,30.6,,289320,37.49,10000,.,100,85302,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.17
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.48,0,2,2017-11-14T12:39:18-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:24:01-06:00,70000,-1.31,50.96,37.36,2.52,,STX,,37.48,BATS,2017-04-25,37.5,0,2017-11-13,30.6,,289320,37.52,30000,-,100,85402,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.18
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.48,0,2,2017-11-14T12:39:44-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:24:01-06:00,10000,-1.31,50.96,37.36,2.52,,STX,,37.48,BATS,2017-04-25,37.5,0,2017-11-13,30.6,,289320,37.51,40000,-,100,85402,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.18
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.48,0,2,2017-11-14T12:39:50-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:24:01-06:00,10000,-1.31,50.96,37.36,2.52,,STX,,37.48,BATS,2017-04-25,37.5,0,2017-11-13,30.6,,289320,37.51,40000,-,100,85402,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.18
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.4,0,2,2017-11-14T12:40:32-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:25:25-06:00,60000,-1.31,50.96,37.36,2.52,,STX,,37.51,BATS,2017-04-25,37.51,0,2017-11-13,30.6,,289320,37.53,30000,+,100,85502,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.15
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.4,0,2,2017-11-14T12:41:01-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:25:59-06:00,40000,-1.31,50.96,37.36,2.52,,STX,,37.51,BATS,2017-04-25,37.49,0,2017-11-13,30.6,,289320,37.51,40000,.,100,85602,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.15
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.4,0,2,2017-11-14T12:41:30-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:26:03-06:00,70000,-1.31,50.96,37.36,2.52,,STX,,37.51,BATS,2017-04-25,37.52,0,2017-11-13,30.6,,289320,37.54,20000,.,100,85902,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.15
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.4,0,2,2017-11-14T12:41:31-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:26:03-06:00,60000,-1.31,50.96,37.36,2.52,,STX,,37.51,BATS,2017-04-25,37.52,0,2017-11-13,30.6,,289320,37.54,10000,.,100,85902,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.15
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.4,0,2,2017-11-14T12:42:17-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:26:03-06:00,60000,-1.31,50.96,37.36,2.52,,STX,,37.51,BATS,2017-04-25,37.52,0,2017-11-13,30.6,,289320,37.54,10000,.,100,85902,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.15
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.4,0,2,2017-11-14T12:42:46-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:26:03-06:00,20000,-1.31,50.96,37.36,2.52,,STX,,37.51,BATS,2017-04-25,37.5,0,2017-11-13,30.6,,289320,37.51,10000,.,100,85902,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.15
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.42,0,2,2017-11-14T12:43:20-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:27:52-06:00,80000,-1.31,50.96,37.36,2.52,,STX,,37.5,BATS,2017-04-25,37.49,0,2017-11-13,30.6,,289320,37.51,10000,-,39,85941,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.16
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.42,0,2,2017-11-14T12:43:50-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:27:52-06:00,20000,-1.31,50.96,37.36,2.52,,STX,,37.5,BATS,2017-04-25,37.49,0,2017-11-13,30.6,,289320,37.51,40000,-,39,85941,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.16
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.42,0,2,2017-11-14T12:44:22-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:27:52-06:00,30000,-1.31,50.96,37.36,2.52,,STX,,37.5,BATS,2017-04-25,37.49,0,2017-11-13,30.6,,289320,37.5,5800,-,39,85941,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.16
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.45,0,2,2017-11-14T12:44:51-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:29:31-06:00,40000,-1.31,50.96,37.36,2.52,,STX,,37.49,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.48,40000,-,58,85999,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.17
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.45,0,2,2017-11-14T12:45:24-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:29:31-06:00,30000,-1.31,50.96,37.36,2.52,,STX,,37.49,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.48,30000,-,58,85999,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.17
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.45,0,2,2017-11-14T12:45:52-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:30:46-06:00,20000,-1.31,50.96,37.36,2.52,,STX,,37.49,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.48,40000,+,100,86299,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.17
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.53,0,2,2017-11-14T12:46:21-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:31:21-06:00,10000,-1.31,50.96,37.36,2.52,,STX,,37.46,BATS,2017-04-25,37.45,0,2017-11-13,30.6,,289320,37.46,12000,+,100,86639,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.2
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.53,0,2,2017-11-14T12:46:40-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:31:21-06:00,20000,-1.31,50.96,37.36,2.52,,STX,,37.46,BATS,2017-04-25,37.45,0,2017-11-13,30.6,,289320,37.46,10000,+,100,86639,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.2
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.53,0,2,2017-11-14T12:47:11-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:32:02-06:00,5900,-1.31,50.96,37.36,2.52,,STX,,37.46,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.47,30000,.,100,86739,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.2
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.56,0,2,2017-11-14T12:47:39-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:32:38-06:00,10000,-1.31,50.96,37.36,2.52,,STX,,37.45,BATS,2017-04-25,37.45,0,2017-11-13,30.6,,289320,37.47,30000,.,59,86998,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.21
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.56,0,2,2017-11-14T12:48:17-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:32:38-06:00,40000,-1.31,50.96,37.36,2.52,,STX,,37.45,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.48,30000,.,59,86998,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.21
2016-11-14,5209532,37.66,,37.91,,2017-09-19,,-0.56,0,2,2017-11-14T12:48:41-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:32:38-06:00,20000,-1.31,50.96,37.36,2.52,,STX,,37.45,BATS,2017-04-25,37.45,0,2017-11-13,30.6,,289320,37.48,60000,.,59,86998,5909749,Seagate Tech Ord Shs,,i,D,37.66,-0.21
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.56,0,2,2017-11-14T12:49:10-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:32:38-06:00,10000,-1.34,50.96,37.36,2.52,,STX,,37.45,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.47,11000,.,59,86998,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.21
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.56,0,2,2017-11-14T12:49:21-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:32:38-06:00,10000,-1.34,50.96,37.36,2.52,,STX,,37.45,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.47,21000,.,59,86998,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.21
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.56,0,2,2017-11-14T12:50:04-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:32:38-06:00,10000,-1.34,50.96,37.36,2.52,,STX,,37.45,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.47,1000,.,59,86998,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.21
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.56,0,2,2017-11-14T12:50:32-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:32:38-06:00,10000,-1.34,50.96,37.36,2.52,,STX,,37.45,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.47,31000,.,59,86998,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.21
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.56,0,2,2017-11-14T12:50:50-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:32:38-06:00,10000,-1.34,50.96,37.36,2.52,,STX,,37.45,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.47,41000,.,59,86998,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.21
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.5,0,2,2017-11-14T12:51:26-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:36:25-06:00,10000,-1.34,50.96,37.36,2.52,,STX,,37.47,BATS,2017-04-25,37.47,0,2017-11-13,30.6,,289320,37.48,30000,.,100,87198,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.19
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.5,0,2,2017-11-14T12:51:46-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:36:25-06:00,10000,-1.34,50.96,37.36,2.52,,STX,,37.47,BATS,2017-04-25,37.49,0,2017-11-13,30.6,,289320,37.5,31000,.,100,87198,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.19
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.45,0,2,2017-11-14T12:52:16-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:36:57-06:00,20000,-1.34,50.96,37.36,2.52,,STX,,37.49,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.48,30000,+,10,87208,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.17
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.48,0,2,2017-11-14T12:52:41-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:37:33-06:00,30000,-1.34,50.96,37.36,2.52,,STX,,37.48,BATS,2017-04-25,37.48,0,2017-11-13,30.6,,289320,37.5,30000,.,75,87308,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.18
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.48,0,2,2017-11-14T12:53:05-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:37:33-06:00,20000,-1.34,50.96,37.36,2.52,,STX,,37.48,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.48,20000,.,75,87308,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.18
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.5,0,2,2017-11-14T12:53:32-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:38:23-06:00,20000,-1.34,50.96,37.36,2.52,,STX,,37.47,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.48,40000,-,100,87408,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.19
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.5,0,2,2017-11-14T12:53:56-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:38:23-06:00,20000,-1.34,50.96,37.36,2.52,,STX,,37.47,BATS,2017-04-25,37.45,0,2017-11-13,30.6,,289320,37.47,50000,-,100,87408,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.19
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.5,0,2,2017-11-14T12:54:21-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:38:23-06:00,50000,-1.34,50.96,37.36,2.52,,STX,,37.47,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.48,20000,-,100,87408,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.19
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.5,0,2,2017-11-14T12:54:42-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:38:23-06:00,10000,-1.34,50.96,37.36,2.52,,STX,,37.47,BATS,2017-04-25,37.46,0,2017-11-13,30.6,,289320,37.47,20000,-,100,87408,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.19
2016-11-14,5209651,37.66,,37.91,,2017-09-19,,-0.48,0,2,2017-11-14T12:55:13-06:00,0,37.4,6.63,2017-08-23,2017-11-14T13:40:05-06:00,10000,-1.34,50.96,37.36,2.52,,STX,,37.48,BATS,2017-04-25,37.48,0,2017-11-13,30.6,,289320,37.49,10000,+,100,87608,5911058,Seagate Tech Ord Shs,,i,D,37.66,-0.18
