twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,3120266,212.66,,212.59,,2017-09-07,,-0.63,0,2,2017-11-14T12:32:51-06:00,0,212.27,1.42,2016-11-21,2017-11-14T13:17:11-06:00,10000,38.81,213.93,210.93,3,,UNH,,211.32,BATS,2017-11-06,211.3,0,2017-11-13,148.56,,969070,211.36,10000,+,100,53012,2839033,Unitedhealth Group Inc,,i,D,212.66,-1.34
2016-11-14,3120266,212.66,,212.59,,2017-09-07,,-0.63,0,2,2017-11-14T12:33:05-06:00,0,212.27,1.42,2016-11-21,2017-11-14T13:17:11-06:00,10000,38.81,213.93,210.93,3,,UNH,,211.32,BATS,2017-11-06,211.25,0,2017-11-13,148.56,,969070,211.36,10000,+,100,53012,2839033,Unitedhealth Group Inc,,i,D,212.66,-1.34
2016-11-14,3120392,212.66,,212.59,,2017-09-07,,-0.63,0,2,2017-11-14T12:33:54-06:00,0,212.27,1.42,2016-11-21,2017-11-14T13:17:11-06:00,20000,38.74,213.93,210.93,3,,UNH,,211.32,BATS,2017-11-06,211.32,0,2017-11-13,148.56,,969070,211.39,30000,+,100,53012,2840427,Unitedhealth Group Inc,,i,D,212.66,-1.34
2016-11-14,3120392,212.66,,212.59,,2017-09-07,,-0.64,0,2,2017-11-14T12:34:28-06:00,0,212.27,1.42,2016-11-21,2017-11-14T13:19:27-06:00,10000,38.74,213.93,210.93,3,,UNH,,211.3,BATS,2017-11-06,211.26,0,2017-11-13,148.56,,969070,211.31,10000,-,11,53038,2840427,Unitedhealth Group Inc,,i,D,212.66,-1.36
2016-11-14,3120392,212.66,,212.59,,2017-09-07,,-0.66,0,2,2017-11-14T12:34:49-06:00,0,212.27,1.42,2016-11-21,2017-11-14T13:19:47-06:00,10000,38.74,213.93,210.93,3,,UNH,,211.25,BATS,2017-11-06,211.22,0,2017-11-13,148.56,,969070,211.27,10000,-,100,53138,2840427,Unitedhealth Group Inc,,i,D,212.66,-1.41
2016-11-14,3120392,212.66,,212.59,,2017-09-07,,-0.67,0,2,2017-11-14T12:35:17-06:00,0,212.27,1.42,2016-11-21,2017-11-14T13:20:11-06:00,1000,38.74,213.93,210.93,3,,UNH,,211.24,BATS,2017-11-06,211.19,0,2017-11-13,148.56,,969070,211.26,10000,-,100,53238,2840427,Unitedhealth Group Inc,,i,D,212.66,-1.42
2016-11-14,3120392,212.66,,212.59,,2017-09-07,,-0.67,0,2,2017-11-14T12:35:57-06:00,0,212.27,1.42,2016-11-21,2017-11-14T13:20:34-06:00,12900,38.74,213.93,210.93,3,,UNH,,211.24,BATS,2017-11-06,211.19,0,2017-11-13,148.56,,969070,211.29,10000,.,1,53239,2840427,Unitedhealth Group Inc,,i,D,212.66,-1.42
2016-11-14,3120392,212.66,,212.59,,2017-09-07,,-0.67,0,2,2017-11-14T12:36:19-06:00,0,212.27,1.42,2016-11-21,2017-11-14T13:20:34-06:00,10000,38.74,213.93,210.93,3,,UNH,,211.24,BATS,2017-11-06,211.25,0,2017-11-13,148.56,,969070,211.29,10000,.,1,53239,2840427,Unitedhealth Group Inc,,i,D,212.66,-1.42
2016-11-14,3120392,212.66,,212.59,,2017-09-07,,-0.67,0,2,2017-11-14T12:36:46-06:00,0,212.27,1.42,2016-11-21,2017-11-14T13:20:34-06:00,10000,38.74,213.93,210.93,3,,UNH,,211.24,BATS,2017-11-06,211.26,0,2017-11-13,148.56,,969070,211.32,20000,.,1,53239,2840427,Unitedhealth Group Inc,,i,D,212.66,-1.42
2016-11-14,3120392,212.66,,212.59,,2017-09-07,,-0.64,0,2,2017-11-14T12:37:15-06:00,0,212.27,1.42,2016-11-21,2017-11-14T13:22:15-06:00,10000,38.74,213.93,210.93,3,,UNH,,211.3,BATS,2017-11-06,211.26,0,2017-11-13,148.56,,969070,211.31,10000,.,40,53639,2840427,Unitedhealth Group Inc,,i,D,212.66,-1.36
2016-11-14,3120392,212.66,,212.59,,2017-09-07,,-0.64,0,2,2017-11-14T12:37:36-06:00,0,212.27,1.42,2016-11-21,2017-11-14T13:22:30-06:00,3000,38.74,213.93,210.93,3,,UNH,,211.29,BATS,2017-11-06,211.24,0,2017-11-13,148.56,,969070,211.29,10000,-,100,53739,2840427,Unitedhealth Group Inc,,i,D,212.66,-1.37
2016-11-14,3120392,212.66,,212.59,,2017-09-07,,-0.65,0,2,2017-11-14T12:38:09-06:00,0,212.27,1.42,2016-11-21,2017-11-14T13:22:54-06:00,10000,38.74,213.93,210.93,3,,UNH,,211.28,BATS,2017-11-06,211.19,0,2017-11-13,148.56,,969070,211.24,10000,-,100,53869,2840427,Unitedhealth Group Inc,,i,D,212.66,-1.38
