twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,789385,111.18,,111.68,,2011-05-05,,0.37,0,2,2017-11-14T12:32:48-06:00,0,110.36,0,2016-12-30,2017-11-14T13:15:22-06:00,10000,41.47,111.69,110.24,0,,VRSN,,111.59,BATS,2017-11-14,111.41,0,2017-11-13,75.71,,98570,111.61,10000,+,100,26405,739954,Verisign Inc,,i,D,111.18,0.41
2016-11-14,789385,111.18,,111.68,,2011-05-05,,0.37,0,2,2017-11-14T12:33:05-06:00,0,110.36,0,2016-12-30,2017-11-14T13:15:22-06:00,10000,41.47,111.69,110.24,0,,VRSN,,111.59,BATS,2017-11-14,111.41,0,2017-11-13,75.71,,98570,111.61,10000,+,100,26405,739954,Verisign Inc,,i,D,111.18,0.41
2016-11-14,789443,111.18,,111.68,,2011-05-05,,0.37,0,2,2017-11-14T12:33:44-06:00,0,110.36,0,2016-12-30,2017-11-14T13:15:22-06:00,10000,41.54,111.69,110.24,0,,VRSN,,111.59,BATS,2017-11-14,111.41,0,2017-11-13,75.71,,98570,111.55,10000,+,100,26405,740588,Verisign Inc,,i,D,111.18,0.41
2016-11-14,789443,111.18,,111.68,,2011-05-05,,0.37,0,2,2017-11-14T12:34:26-06:00,0,110.36,0,2016-12-30,2017-11-14T13:15:22-06:00,10000,41.54,111.69,110.24,0,,VRSN,,111.59,BATS,2017-11-14,111.49,0,2017-11-13,75.71,,98570,111.55,10000,+,100,26405,740588,Verisign Inc,,i,D,111.18,0.41
2016-11-14,789443,111.18,,111.68,,2011-05-05,,0.37,0,2,2017-11-14T12:34:30-06:00,0,110.36,0,2016-12-30,2017-11-14T13:15:22-06:00,10000,41.54,111.69,110.24,0,,VRSN,,111.59,BATS,2017-11-14,111.49,0,2017-11-13,75.71,,98570,111.55,10000,+,100,26405,740588,Verisign Inc,,i,D,111.18,0.41
2016-11-14,789443,111.18,,111.68,,2011-05-05,,0.37,0,2,2017-11-14T12:34:30-06:00,0,110.36,0,2016-12-30,2017-11-14T13:15:22-06:00,10000,41.54,111.69,110.24,0,,VRSN,,111.59,BATS,2017-11-14,111.49,0,2017-11-13,75.71,,98570,111.55,10000,+,100,26405,740588,Verisign Inc,,i,D,111.18,0.41
2016-11-14,789443,111.18,,111.68,,2011-05-05,,0.37,0,2,2017-11-14T12:35:59-06:00,0,110.36,0,2016-12-30,2017-11-14T13:15:22-06:00,10000,41.54,111.69,110.24,0,,VRSN,,111.59,BATS,2017-11-14,111.49,0,2017-11-13,75.71,,98570,111.55,20000,+,100,26405,740588,Verisign Inc,,i,D,111.18,0.41
2016-11-14,789443,111.18,,111.68,,2011-05-05,,0.37,0,2,2017-11-14T12:36:07-06:00,0,110.36,0,2016-12-30,2017-11-14T13:15:22-06:00,10000,41.54,111.69,110.24,0,,VRSN,,111.59,BATS,2017-11-14,111.49,0,2017-11-13,75.71,,98570,111.55,10000,+,100,26405,740588,Verisign Inc,,i,D,111.18,0.41
2016-11-14,789443,111.18,,111.68,,2011-05-05,,0.33,0,2,2017-11-14T12:36:49-06:00,0,110.36,0,2016-12-30,2017-11-14T13:21:45-06:00,10000,41.54,111.69,110.24,0,,VRSN,,111.55,BATS,2017-11-14,111.53,0,2017-11-13,75.71,,98570,111.59,10000,.,22,26705,740588,Verisign Inc,,i,D,111.18,0.37
2016-11-14,789443,111.18,,111.68,,2011-05-05,,0.32,0,2,2017-11-14T12:37:09-06:00,0,110.36,0,2016-12-30,2017-11-14T13:22:06-06:00,10000,41.54,111.69,110.24,0,,VRSN,,111.54,BATS,2017-11-14,111.48,0,2017-11-13,75.71,,98570,111.56,10000,-,100,26805,740588,Verisign Inc,,i,D,111.18,0.36
2016-11-14,789443,111.18,,111.68,,2011-05-05,,0.32,0,2,2017-11-14T12:37:40-06:00,0,110.36,0,2016-12-30,2017-11-14T13:22:06-06:00,10000,41.54,111.69,110.24,0,,VRSN,,111.54,BATS,2017-11-14,111.48,0,2017-11-13,75.71,,98570,111.56,10000,-,100,26805,740588,Verisign Inc,,i,D,111.18,0.36
2016-11-14,789443,111.18,,111.68,,2011-05-05,,0.32,0,2,2017-11-14T12:37:40-06:00,0,110.36,0,2016-12-30,2017-11-14T13:22:06-06:00,10000,41.54,111.69,110.24,0,,VRSN,,111.54,BATS,2017-11-14,111.48,0,2017-11-13,75.71,,98570,111.56,10000,-,100,26805,740588,Verisign Inc,,i,D,111.18,0.36
