twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,2135834,143.92,,145.44,,2017-10-18,,1.03,0,2,2017-11-14T13:34:55-06:00,0,143.49,1.85,2017-02-01,2017-11-14T14:19:31-06:00,20700,24.01,145.5,142.86,2.66,,ACN,,145.4,BATS,2017-11-14,145.18,0,2017-11-13,112.31,,659960,145.49,10000,-,40,82820,1576361,Accenture Plc,,i,D,143.92,1.48
2016-11-14,2135834,143.92,,145.44,,2017-10-18,,1.03,0,2,2017-11-14T13:35:22-06:00,0,143.49,1.85,2017-02-01,2017-11-14T14:19:31-06:00,10000,24.01,145.5,142.86,2.66,,ACN,,145.4,BATS,2017-11-14,145.19,0,2017-11-13,112.31,,659960,145.49,12000,-,40,82820,1576361,Accenture Plc,,i,D,143.92,1.48
2016-11-14,2135834,143.92,,145.44,,2017-10-18,,1.03,0,2,2017-11-14T13:35:42-06:00,0,143.49,1.85,2017-02-01,2017-11-14T14:19:31-06:00,10000,24.01,145.5,142.86,2.66,,ACN,,145.4,BATS,2017-11-14,145.42,0,2017-11-13,112.31,,659960,145.49,10100,-,40,82820,1576361,Accenture Plc,,i,D,143.92,1.48
2016-11-14,2135834,143.92,,145.44,,2017-10-18,,1.03,0,2,2017-11-14T13:36:05-06:00,0,143.49,1.85,2017-02-01,2017-11-14T14:19:31-06:00,10000,24.01,145.5,142.86,2.66,,ACN,,145.4,BATS,2017-11-14,145.43,0,2017-11-13,112.31,,659960,145.46,10000,-,40,82820,1576361,Accenture Plc,,i,D,143.92,1.48
2016-11-14,2135834,143.92,,145.44,,2017-10-18,,1.06,0,2,2017-11-14T13:36:38-06:00,0,143.49,1.85,2017-02-01,2017-11-14T14:21:38-06:00,10000,24.01,145.5,142.86,2.66,,ACN,,145.44,BATS,2017-11-14,145.43,0,2017-11-13,112.31,,659960,145.46,10000,+,100,83120,1576361,Accenture Plc,,i,D,143.92,1.52
2016-11-14,2135834,143.92,,145.44,,2017-10-18,,1.06,0,2,2017-11-14T13:37:01-06:00,0,143.49,1.85,2017-02-01,2017-11-14T14:21:38-06:00,10000,24.01,145.5,142.86,2.66,,ACN,,145.44,BATS,2017-11-14,145.21,0,2017-11-13,112.31,,659960,145.43,10000,+,100,83120,1576361,Accenture Plc,,i,D,143.92,1.52
2016-11-14,2135834,143.92,,145.44,,2017-10-18,,1.06,0,2,2017-11-14T13:37:25-06:00,0,143.49,1.85,2017-02-01,2017-11-14T14:21:38-06:00,20000,24.01,145.5,142.86,2.66,,ACN,,145.44,BATS,2017-11-14,145.38,0,2017-11-13,112.31,,659960,145.43,10000,+,100,83120,1576361,Accenture Plc,,i,D,143.92,1.52
2016-11-14,2135834,143.92,,145.44,,2017-10-18,,1.06,0,2,2017-11-14T13:37:44-06:00,0,143.49,1.85,2017-02-01,2017-11-14T14:21:38-06:00,30000,24.01,145.5,142.86,2.66,,ACN,,145.44,BATS,2017-11-14,145.39,0,2017-11-13,112.31,,659960,145.43,10000,+,100,83120,1576361,Accenture Plc,,i,D,143.92,1.52
2016-11-14,2135834,143.92,,145.44,,2017-10-18,,1.04,0,2,2017-11-14T13:38:13-06:00,0,143.49,1.85,2017-02-01,2017-11-14T14:23:09-06:00,10000,24.01,145.5,142.86,2.66,,ACN,,145.41,BATS,2017-11-14,145.42,0,2017-11-13,112.31,,659960,145.8,10000,.,100,83720,1576361,Accenture Plc,,i,D,143.92,1.49
2016-11-14,2135834,143.92,,145.44,,2017-10-18,,1.04,0,2,2017-11-14T13:38:46-06:00,0,143.49,1.85,2017-02-01,2017-11-14T14:23:36-06:00,10000,24.01,145.5,142.86,2.66,,ACN,,145.42,BATS,2017-11-14,145.23,0,2017-11-13,112.31,,659960,145.42,10000,+,100,83820,1576361,Accenture Plc,,i,D,143.92,1.5
2016-11-14,2135834,143.92,,145.44,,2017-10-18,,1.05,0,2,2017-11-14T13:39:26-06:00,0,143.49,1.85,2017-02-01,2017-11-14T14:24:16-06:00,10000,24.01,145.5,142.86,2.66,,ACN,,145.43,BATS,2017-11-14,145.44,0,2017-11-13,112.31,,659960,145.52,10100,.,5,83925,1576361,Accenture Plc,,i,D,143.92,1.51
