twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,-0.09,0,2,2017-11-14T13:34:53-06:00,0,64.12,1,2016-12-07,2017-11-14T14:19:50-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.35,BATS,2017-10-27,64.33,0,2017-11-13,43.13,,544830,64.35,10000,.,20,65698,2323148,Baxter International Inc,,i,D,64.41,-0.06
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,-0.09,0,2,2017-11-14T13:35:22-06:00,0,64.12,1,2016-12-07,2017-11-14T14:20:17-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.35,BATS,2017-10-27,64.34,0,2017-11-13,43.13,,544830,64.36,4000,.,100,65798,2323148,Baxter International Inc,,i,D,64.41,-0.06
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,-0.09,0,2,2017-11-14T13:35:23-06:00,0,64.12,1,2016-12-07,2017-11-14T14:20:17-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.35,BATS,2017-10-27,64.34,0,2017-11-13,43.13,,544830,64.36,10000,.,100,65798,2323148,Baxter International Inc,,i,D,64.41,-0.06
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,-0.09,0,2,2017-11-14T13:35:23-06:00,0,64.12,1,2016-12-07,2017-11-14T14:20:17-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.35,BATS,2017-10-27,64.34,0,2017-11-13,43.13,,544830,64.36,10000,.,100,65798,2323148,Baxter International Inc,,i,D,64.41,-0.06
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,-0.09,0,2,2017-11-14T13:36:31-06:00,0,64.12,1,2016-12-07,2017-11-14T14:20:17-06:00,20000,43.07,65.7,63.64,0.64,,BAX,,64.35,BATS,2017-10-27,64.34,0,2017-11-13,43.13,,544830,64.36,10000,.,100,65798,2323148,Baxter International Inc,,i,D,64.41,-0.06
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,-0.08,0,2,2017-11-14T13:37:01-06:00,0,64.12,1,2016-12-07,2017-11-14T14:21:54-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.36,BATS,2017-10-27,64.35,0,2017-11-13,43.13,,544830,64.39,10000,+,100,65998,2323148,Baxter International Inc,,i,D,64.41,-0.05
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,-0.08,0,2,2017-11-14T13:37:24-06:00,0,64.12,1,2016-12-07,2017-11-14T14:21:54-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.36,BATS,2017-10-27,64.36,0,2017-11-13,43.13,,544830,64.43,20000,+,100,65998,2323148,Baxter International Inc,,i,D,64.41,-0.05
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,-0.06,0,2,2017-11-14T13:37:51-06:00,0,64.12,1,2016-12-07,2017-11-14T14:22:44-06:00,22000,43.07,65.7,63.64,0.64,,BAX,,64.37,BATS,2017-10-27,64.36,0,2017-11-13,43.13,,544830,64.42,50000,+,100,66098,2323148,Baxter International Inc,,i,D,64.41,-0.04
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,-0.06,0,2,2017-11-14T13:38:13-06:00,0,64.12,1,2016-12-07,2017-11-14T14:22:44-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.37,BATS,2017-10-27,64.36,0,2017-11-13,43.13,,544830,64.39,40000,+,100,66098,2323148,Baxter International Inc,,i,D,64.41,-0.04
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,0,0,2,2017-11-14T13:39:00-06:00,0,64.12,1,2016-12-07,2017-11-14T14:24:00-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.41,BATS,2017-10-27,64.41,0,2017-11-13,43.13,,544830,64.43,10000,-,100,66334,2323148,Baxter International Inc,,i,D,64.41,0
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,0,0,2,2017-11-14T13:39:26-06:00,0,64.12,1,2016-12-07,2017-11-14T14:24:00-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.41,BATS,2017-10-27,64.41,0,2017-11-13,43.13,,544830,64.42,20000,-,100,66334,2323148,Baxter International Inc,,i,D,64.41,0
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,0.02,0,2,2017-11-14T13:39:50-06:00,0,64.12,1,2016-12-07,2017-11-14T14:24:44-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.42,BATS,2017-10-27,64.42,0,2017-11-13,43.13,,544830,64.44,30000,+,100,66434,2323148,Baxter International Inc,,i,D,64.41,0.01
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,0.05,0,2,2017-11-14T13:40:19-06:00,0,64.12,1,2016-12-07,2017-11-14T14:24:59-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.44,BATS,2017-10-27,64.43,0,2017-11-13,43.13,,544830,64.47,40000,+,100,66534,2323148,Baxter International Inc,,i,D,64.41,0.03
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,0.05,0,2,2017-11-14T13:41:00-06:00,0,64.12,1,2016-12-07,2017-11-14T14:25:59-06:00,30000,43.07,65.7,63.64,0.64,,BAX,,64.44,BATS,2017-10-27,64.43,0,2017-11-13,43.13,,544830,64.45,30000,.,100,66634,2323148,Baxter International Inc,,i,D,64.41,0.03
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,0.03,0,2,2017-11-14T13:41:26-06:00,0,64.12,1,2016-12-07,2017-11-14T14:26:22-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.43,BATS,2017-10-27,64.41,0,2017-11-13,43.13,,544830,64.44,20000,.,200,67034,2323148,Baxter International Inc,,i,D,64.41,0.02
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,0.02,0,2,2017-11-14T13:41:54-06:00,0,64.12,1,2016-12-07,2017-11-14T14:26:54-06:00,20000,43.07,65.7,63.64,0.64,,BAX,,64.42,BATS,2017-10-27,64.41,0,2017-11-13,43.13,,544830,64.46,30000,.,250,67634,2323148,Baxter International Inc,,i,D,64.41,0.01
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,0.03,0,2,2017-11-14T13:42:15-06:00,0,64.12,1,2016-12-07,2017-11-14T14:27:14-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.43,BATS,2017-10-27,64.43,0,2017-11-13,43.13,,544830,64.47,10000,+,100,67734,2323148,Baxter International Inc,,i,D,64.41,0.02
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,0.03,0,2,2017-11-14T13:42:15-06:00,0,64.12,1,2016-12-07,2017-11-14T14:27:14-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.43,BATS,2017-10-27,64.43,0,2017-11-13,43.13,,544830,64.47,10000,+,100,67734,2323148,Baxter International Inc,,i,D,64.41,0.02
2016-11-14,2669661,64.41,,64.44,,2017-08-30,,0.03,0,2,2017-11-14T13:43:01-06:00,0,64.12,1,2016-12-07,2017-11-14T14:27:14-06:00,10000,43.07,65.7,63.64,0.64,,BAX,,64.43,BATS,2017-10-27,64.44,0,2017-11-13,43.13,,544830,64.47,20000,+,100,67734,2323148,Baxter International Inc,,i,D,64.41,0.02
2016-11-14,2669661,64.41,,64.46,,2017-08-30,,0.05,0,2,2017-11-14T13:43:33-06:00,0,64.12,1,2016-12-07,2017-11-14T14:28:32-06:00,31000,43.07,65.7,63.64,0.64,,BAX,,64.44,BATS,2017-10-27,64.43,0,2017-11-13,43.13,,544830,64.44,20000,.,100,68524,2323148,Baxter International Inc,,i,D,64.41,0.03
2016-11-14,2669661,64.41,,64.46,,2017-08-30,,0.06,0,2,2017-11-14T13:43:52-06:00,0,64.12,1,2016-12-07,2017-11-14T14:28:45-06:00,22400,43.07,65.7,63.64,0.64,,BAX,,64.45,BATS,2017-10-27,64.44,0,2017-11-13,43.13,,544830,64.49,20000,+,100,68934,2323148,Baxter International Inc,,i,D,64.41,0.04
2016-11-14,2669661,64.41,,64.46,,2017-08-30,,0.06,0,2,2017-11-14T13:44:18-06:00,0,64.12,1,2016-12-07,2017-11-14T14:29:18-06:00,22400,43.07,65.7,63.64,0.64,,BAX,,64.45,BATS,2017-10-27,64.44,0,2017-11-13,43.13,,544830,64.49,20000,.,1,68935,2323148,Baxter International Inc,,i,D,64.41,0.04
2016-11-14,2669661,64.41,,64.47,,2017-08-30,,0.09,0,2,2017-11-14T13:44:46-06:00,0,64.12,1,2016-12-07,2017-11-14T14:29:46-06:00,12400,43.07,65.7,63.64,0.64,,BAX,,64.47,BATS,2017-10-27,64.46,0,2017-11-13,43.13,,544830,64.49,40000,.,100,69334,2323148,Baxter International Inc,,i,D,64.41,0.06
2016-11-14,2669661,64.41,,64.47,,2017-08-30,,0.08,0,2,2017-11-14T13:45:15-06:00,0,64.12,1,2016-12-07,2017-11-14T14:30:05-06:00,12400,43.07,65.7,63.64,0.64,,BAX,,64.46,BATS,2017-10-27,64.45,0,2017-11-13,43.13,,544830,64.49,10200,.,100,69734,2323148,Baxter International Inc,,i,D,64.41,0.05
2016-11-14,2669661,64.41,,64.47,,2017-08-30,,0.08,0,2,2017-11-14T13:45:42-06:00,0,64.12,1,2016-12-07,2017-11-14T14:30:05-06:00,20000,43.07,65.7,63.64,0.64,,BAX,,64.46,BATS,2017-10-27,64.45,0,2017-11-13,43.13,,544830,64.47,20200,.,100,69734,2323148,Baxter International Inc,,i,D,64.41,0.05
2016-11-14,2669661,64.41,,64.47,,2017-08-30,,0.08,0,2,2017-11-14T13:46:17-06:00,0,64.12,1,2016-12-07,2017-11-14T14:30:05-06:00,40000,43.07,65.7,63.64,0.64,,BAX,,64.46,BATS,2017-10-27,64.45,0,2017-11-13,43.13,,544830,64.47,20200,.,100,69734,2323148,Baxter International Inc,,i,D,64.41,0.05
