twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,4407303,56.97,,57.57,,2017-09-18,,-0.04,0,2,2017-11-14T13:34:48-06:00,0,56.89,2.4,2016-11-15,2017-11-14T14:18:49-06:00,20000,42.86,63.32,56.79,1.36,,BBY,,56.95,BATS,2017-08-24,56.94,0,2017-11-13,39.03,,299180,57,10000,.,87,60129,3099844,Best Buy Co,,i,D,56.97,-0.02
2016-11-14,4407303,56.97,,57.57,,2017-09-18,,-0.04,0,2,2017-11-14T13:35:21-06:00,0,56.89,2.4,2016-11-15,2017-11-14T14:18:49-06:00,10000,42.86,63.32,56.79,1.36,,BBY,,56.95,BATS,2017-08-24,56.95,0,2017-11-13,39.03,,299180,57.04,10000,.,87,60129,3099844,Best Buy Co,,i,D,56.97,-0.02
2016-11-14,4407303,56.97,,57.57,,2017-09-18,,-0.04,0,2,2017-11-14T13:35:49-06:00,0,56.89,2.4,2016-11-15,2017-11-14T14:18:49-06:00,20000,42.86,63.32,56.79,1.36,,BBY,,56.95,BATS,2017-08-24,56.97,0,2017-11-13,39.03,,299180,56.99,10000,.,87,60129,3099844,Best Buy Co,,i,D,56.97,-0.02
2016-11-14,4407303,56.97,,57.57,,2017-09-18,,0.04,0,2,2017-11-14T13:36:14-06:00,0,56.89,2.4,2016-11-15,2017-11-14T14:20:54-06:00,10000,42.86,63.32,56.79,1.36,,BBY,,56.99,BATS,2017-08-24,56.97,0,2017-11-13,39.03,,299180,57.04,2400,+,100,60229,3099844,Best Buy Co,,i,D,56.97,0.02
2016-11-14,4407303,56.97,,57.57,,2017-09-18,,0.04,0,2,2017-11-14T13:36:38-06:00,0,56.89,2.4,2016-11-15,2017-11-14T14:20:54-06:00,10000,42.86,63.32,56.79,1.36,,BBY,,56.99,BATS,2017-08-24,56.99,0,2017-11-13,39.03,,299180,57.04,10000,+,100,60229,3099844,Best Buy Co,,i,D,56.97,0.02
2016-11-14,4407303,56.97,,57.57,,2017-09-18,,0.04,0,2,2017-11-14T13:36:59-06:00,0,56.89,2.4,2016-11-15,2017-11-14T14:20:54-06:00,10000,42.86,63.32,56.79,1.36,,BBY,,56.99,BATS,2017-08-24,56.97,0,2017-11-13,39.03,,299180,57.02,2400,+,100,60229,3099844,Best Buy Co,,i,D,56.97,0.02
2016-11-14,4407303,56.97,,57.57,,2017-09-18,,0.04,0,2,2017-11-14T13:37:25-06:00,0,56.89,2.4,2016-11-15,2017-11-14T14:20:54-06:00,10000,42.86,63.32,56.79,1.36,,BBY,,56.99,BATS,2017-08-24,56.98,0,2017-11-13,39.03,,299180,57.02,20000,+,100,60229,3099844,Best Buy Co,,i,D,56.97,0.02
2016-11-14,4407303,56.97,,57.57,,2017-09-18,,0.09,0,2,2017-11-14T13:37:44-06:00,0,56.89,2.4,2016-11-15,2017-11-14T14:22:31-06:00,10000,42.86,63.32,56.79,1.36,,BBY,,57.02,BATS,2017-08-24,57.01,0,2017-11-13,39.03,,299180,57.03,20000,+,90,60319,3099844,Best Buy Co,,i,D,56.97,0.05
2016-11-14,4407303,56.97,,57.57,,2017-09-18,,0.16,0,2,2017-11-14T13:38:15-06:00,0,56.89,2.4,2016-11-15,2017-11-14T14:23:14-06:00,10000,42.86,63.32,56.79,1.36,,BBY,,57.06,BATS,2017-08-24,57.05,0,2017-11-13,39.03,,299180,57.1,10000,.,100,60580,3099844,Best Buy Co,,i,D,56.97,0.09
2016-11-14,4407303,56.97,,57.57,,2017-09-18,,0.16,0,2,2017-11-14T13:39:04-06:00,0,56.89,2.4,2016-11-15,2017-11-14T14:24:02-06:00,10000,42.86,63.32,56.79,1.36,,BBY,,57.06,BATS,2017-08-24,57.04,0,2017-11-13,39.03,,299180,57.08,20000,.,100,61211,3099844,Best Buy Co,,i,D,56.97,0.09
