twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,6625821,28.45,,28.48,,,,-0.28,0,2,2017-11-14T13:34:37-06:00,0,28.34,0,2016-12-01,2017-11-14T14:18:58-06:00,60000,36.58,29.93,28.24,0,,BSX,,28.37,BATS,2017-10-23,28.37,0,2017-11-13,19.67,,1373200,28.38,90000,.,100,255238,6920189,Boston Scientific Corp,,i,D,28.45,-0.08
2016-11-14,6625821,28.45,,28.48,,,,-0.28,0,2,2017-11-14T13:35:09-06:00,0,28.34,0,2016-12-01,2017-11-14T14:18:58-06:00,60000,36.58,29.93,28.24,0,,BSX,,28.37,BATS,2017-10-23,28.37,0,2017-11-13,19.67,,1373200,28.38,90000,.,100,255238,6920189,Boston Scientific Corp,,i,D,28.45,-0.08
2016-11-14,6625821,28.45,,28.48,,,,-0.28,0,2,2017-11-14T13:35:38-06:00,0,28.34,0,2016-12-01,2017-11-14T14:18:58-06:00,60000,36.58,29.93,28.24,0,,BSX,,28.37,BATS,2017-10-23,28.37,0,2017-11-13,19.67,,1373200,28.38,90000,.,100,255238,6920189,Boston Scientific Corp,,i,D,28.45,-0.08
2016-11-14,6625821,28.45,,28.48,,,,-0.28,0,2,2017-11-14T13:35:59-06:00,0,28.34,0,2016-12-01,2017-11-14T14:18:58-06:00,70000,36.58,29.93,28.24,0,,BSX,,28.37,BATS,2017-10-23,28.37,0,2017-11-13,19.67,,1373200,28.38,100000,.,100,255238,6920189,Boston Scientific Corp,,i,D,28.45,-0.08
2016-11-14,6625821,28.45,,28.48,,,,-0.25,0,2,2017-11-14T13:36:35-06:00,0,28.34,0,2016-12-01,2017-11-14T14:21:29-06:00,50000,36.58,29.93,28.24,0,,BSX,,28.38,BATS,2017-10-23,28.38,0,2017-11-13,19.67,,1373200,28.39,60000,.,20,256931,6920189,Boston Scientific Corp,,i,D,28.45,-0.07
2016-11-14,6625821,28.45,,28.48,,,,-0.25,0,2,2017-11-14T13:37:02-06:00,0,28.34,0,2016-12-01,2017-11-14T14:21:54-06:00,70000,36.58,29.93,28.24,0,,BSX,,28.38,BATS,2017-10-23,28.38,0,2017-11-13,19.67,,1373200,28.39,45000,.,200,259021,6920189,Boston Scientific Corp,,i,D,28.45,-0.07
2016-11-14,6625821,28.45,,28.48,,,,-0.25,0,2,2017-11-14T13:37:25-06:00,0,28.34,0,2016-12-01,2017-11-14T14:21:54-06:00,110500,36.58,29.93,28.24,0,,BSX,,28.38,BATS,2017-10-23,28.38,0,2017-11-13,19.67,,1373200,28.4,60000,.,200,259021,6920189,Boston Scientific Corp,,i,D,28.45,-0.07
2016-11-14,6625821,28.45,,28.48,,,,-0.25,0,2,2017-11-14T13:37:45-06:00,0,28.34,0,2016-12-01,2017-11-14T14:21:54-06:00,40000,36.58,29.93,28.24,0,,BSX,,28.38,BATS,2017-10-23,28.39,0,2017-11-13,19.67,,1373200,28.4,80000,.,200,259021,6920189,Boston Scientific Corp,,i,D,28.45,-0.07
2016-11-14,6625821,28.45,,28.48,,,,-0.18,0,2,2017-11-14T13:38:14-06:00,0,28.34,0,2016-12-01,2017-11-14T14:23:09-06:00,50000,36.58,29.93,28.24,0,,BSX,,28.4,BATS,2017-10-23,28.4,0,2017-11-13,19.67,,1373200,28.41,120000,.,100,259321,6920189,Boston Scientific Corp,,i,D,28.45,-0.05
2016-11-14,6625821,28.45,,28.48,,,,-0.18,0,2,2017-11-14T13:38:41-06:00,0,28.34,0,2016-12-01,2017-11-14T14:23:16-06:00,90000,36.58,29.93,28.24,0,,BSX,,28.4,BATS,2017-10-23,28.39,0,2017-11-13,19.67,,1373200,28.4,110000,.,500,259821,6920189,Boston Scientific Corp,,i,D,28.45,-0.05
2016-11-14,6625821,28.45,,28.48,,,,-0.18,0,2,2017-11-14T13:39:30-06:00,0,28.34,0,2016-12-01,2017-11-14T14:23:16-06:00,50000,36.58,29.93,28.24,0,,BSX,,28.4,BATS,2017-10-23,28.39,0,2017-11-13,19.67,,1373200,28.4,150000,.,500,259821,6920189,Boston Scientific Corp,,i,D,28.45,-0.05
2016-11-14,6625821,28.45,,28.48,,,,-0.18,0,2,2017-11-14T13:39:56-06:00,0,28.34,0,2016-12-01,2017-11-14T14:24:50-06:00,50000,36.58,29.93,28.24,0,,BSX,,28.4,BATS,2017-10-23,28.4,0,2017-11-13,19.67,,1373200,28.41,177100,.,100,261021,6920189,Boston Scientific Corp,,i,D,28.45,-0.05
2016-11-14,6625821,28.45,,28.48,,,,-0.04,0,2,2017-11-14T13:40:23-06:00,0,28.34,0,2016-12-01,2017-11-14T14:25:23-06:00,54000,36.58,29.93,28.24,0,,BSX,,28.44,BATS,2017-10-23,28.43,0,2017-11-13,19.67,,1373200,28.44,70000,.,160,262921,6920189,Boston Scientific Corp,,i,D,28.45,-0.01
2016-11-14,6625821,28.45,,28.48,,,,-0.21,0,2,2017-11-14T13:41:00-06:00,0,28.34,0,2016-12-01,2017-11-14T14:26:00-06:00,40000,36.58,29.93,28.24,0,,BSX,,28.39,BATS,2017-10-23,28.39,0,2017-11-13,19.67,,1373200,28.4,60000,.,100,277091,6920189,Boston Scientific Corp,,i,D,28.45,-0.06
