twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.14,0,2,2017-11-14T13:34:54-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:18:04-06:00,10000,2.69,96.92,85.51,1.6,,COF,,85.96,BATS,2017-03-01,85.95,0,2017-11-13,76.05,,484740,86.06,10000,-,200,73017,2254286,Capital One Financial Corp,,i,D,86.95,-0.99
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.14,0,2,2017-11-14T13:35:22-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:20:12-06:00,10000,2.69,96.92,85.51,1.6,,COF,,85.96,BATS,2017-03-01,85.93,0,2017-11-13,76.05,,484740,86.05,10000,.,10,73027,2254286,Capital One Financial Corp,,i,D,86.95,-0.99
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.14,0,2,2017-11-14T13:35:48-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:20:12-06:00,30000,2.69,96.92,85.51,1.6,,COF,,85.96,BATS,2017-03-01,85.95,0,2017-11-13,76.05,,484740,86.02,20000,.,10,73027,2254286,Capital One Financial Corp,,i,D,86.95,-0.99
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.08,0,2,2017-11-14T13:36:11-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:21:04-06:00,10000,2.69,96.92,85.51,1.6,,COF,,86.01,BATS,2017-03-01,86,0,2017-11-13,76.05,,484740,86.12,10000,+,100,73127,2254286,Capital One Financial Corp,,i,D,86.95,-0.94
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.08,0,2,2017-11-14T13:36:37-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:21:04-06:00,10000,2.69,96.92,85.51,1.6,,COF,,86.01,BATS,2017-03-01,85.99,0,2017-11-13,76.05,,484740,86.03,1000,+,100,73127,2254286,Capital One Financial Corp,,i,D,86.95,-0.94
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.08,0,2,2017-11-14T13:37:01-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:21:04-06:00,13000,2.69,96.92,85.51,1.6,,COF,,86.01,BATS,2017-03-01,85.98,0,2017-11-13,76.05,,484740,86.02,20000,+,100,73127,2254286,Capital One Financial Corp,,i,D,86.95,-0.94
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.07,0,2,2017-11-14T13:37:25-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:22:24-06:00,20000,2.69,96.92,85.51,1.6,,COF,,86.02,BATS,2017-03-01,86.01,0,2017-11-13,76.05,,484740,86.12,1000,.,14,73147,2254286,Capital One Financial Corp,,i,D,86.95,-0.93
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.07,0,2,2017-11-14T13:37:44-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:22:24-06:00,10000,2.69,96.92,85.51,1.6,,COF,,86.02,BATS,2017-03-01,86.01,0,2017-11-13,76.05,,484740,86.09,1000,.,14,73147,2254286,Capital One Financial Corp,,i,D,86.95,-0.93
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.08,0,2,2017-11-14T13:38:15-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:23:14-06:00,10000,2.69,96.92,85.51,1.6,,COF,,86.01,BATS,2017-03-01,85.99,0,2017-11-13,76.05,,484740,86.06,20000,+,100,73547,2254286,Capital One Financial Corp,,i,D,86.95,-0.94
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.08,0,2,2017-11-14T13:39:02-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:23:14-06:00,10000,2.69,96.92,85.51,1.6,,COF,,86.01,BATS,2017-03-01,86.01,0,2017-11-13,76.05,,484740,86.1,10000,+,100,73547,2254286,Capital One Financial Corp,,i,D,86.95,-0.94
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.07,0,2,2017-11-14T13:39:21-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:24:21-06:00,10000,2.69,96.92,85.51,1.6,,COF,,86.02,BATS,2017-03-01,86,0,2017-11-13,76.05,,484740,86.04,10000,+,100,73647,2254286,Capital One Financial Corp,,i,D,86.95,-0.93
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.07,0,2,2017-11-14T13:39:54-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:24:21-06:00,10000,2.69,96.92,85.51,1.6,,COF,,86.02,BATS,2017-03-01,86.01,0,2017-11-13,76.05,,484740,86.09,10000,+,100,73647,2254286,Capital One Financial Corp,,i,D,86.95,-0.93
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.07,0,2,2017-11-14T13:40:01-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:25:00-06:00,10000,2.69,96.92,85.51,1.6,,COF,,86.02,BATS,2017-03-01,86.01,0,2017-11-13,76.05,,484740,86.04,4000,+,40,73787,2254286,Capital One Financial Corp,,i,D,86.95,-0.93
2016-11-14,2634710,86.95,,86.59,,2017-11-10,,-1.07,0,2,2017-11-14T13:41:00-06:00,0,86.48,1.84,2017-05-31,2017-11-14T14:25:30-06:00,10000,2.69,96.92,85.51,1.6,,COF,,86.02,BATS,2017-03-01,85.99,0,2017-11-13,76.05,,484740,86.01,10000,.,40,73827,2254286,Capital One Financial Corp,,i,D,86.95,-0.93
