twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.47,0,2,2017-11-14T13:35:00-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:18:16-06:00,34500,70.97,47.91,46.67,0.4,,DHI,,47.78,BATS,2017-11-14,47.78,0,2017-11-13,27.15,,374990,47.79,20000,.,68,233559,4454170,D.R. Horton,,i,D,47.09,0.69
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.49,0,2,2017-11-14T13:35:27-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:20:26-06:00,30000,70.97,47.91,46.67,0.4,,DHI,,47.79,BATS,2017-11-14,47.79,0,2017-11-13,27.15,,374990,47.8,20000,.,100,233704,4454170,D.R. Horton,,i,D,47.09,0.7
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.51,0,2,2017-11-14T13:35:44-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:20:38-06:00,10300,70.97,47.91,46.67,0.4,,DHI,,47.8,BATS,2017-11-14,47.79,0,2017-11-13,27.15,,374990,47.8,20000,.,97,234607,4454170,D.R. Horton,,i,D,47.09,0.71
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.51,0,2,2017-11-14T13:36:11-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:20:55-06:00,20000,70.97,47.91,46.67,0.4,,DHI,,47.8,BATS,2017-11-14,47.79,0,2017-11-13,27.15,,374990,47.8,60000,.,100,235010,4454170,D.R. Horton,,i,D,47.09,0.71
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.51,0,2,2017-11-14T13:36:37-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:21:36-06:00,40000,70.97,47.91,46.67,0.4,,DHI,,47.8,BATS,2017-11-14,47.79,0,2017-11-13,27.15,,374990,47.8,30000,.,100,237130,4454170,D.R. Horton,,i,D,47.09,0.71
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.51,0,2,2017-11-14T13:37:02-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:21:59-06:00,20000,70.97,47.91,46.67,0.4,,DHI,,47.8,BATS,2017-11-14,47.8,0,2017-11-13,27.15,,374990,47.81,30000,-,100,238520,4454170,D.R. Horton,,i,D,47.09,0.71
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.59,0,2,2017-11-14T13:37:31-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:22:29-06:00,20000,70.97,47.91,46.67,0.4,,DHI,,47.84,BATS,2017-11-14,47.83,0,2017-11-13,27.15,,374990,47.84,20000,-,100,239120,4454170,D.R. Horton,,i,D,47.09,0.75
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.59,0,2,2017-11-14T13:37:54-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:22:29-06:00,20000,70.97,47.91,46.67,0.4,,DHI,,47.84,BATS,2017-11-14,47.83,0,2017-11-13,27.15,,374990,47.84,20000,-,100,239120,4454170,D.R. Horton,,i,D,47.09,0.75
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.61,0,2,2017-11-14T13:38:20-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:23:13-06:00,20000,70.97,47.91,46.67,0.4,,DHI,,47.85,BATS,2017-11-14,47.83,0,2017-11-13,27.15,,374990,47.84,10000,.,100,240220,4454170,D.R. Horton,,i,D,47.09,0.76
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.47,0,2,2017-11-14T13:39:06-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:24:02-06:00,20000,70.97,47.91,46.67,0.4,,DHI,,47.78,BATS,2017-11-14,47.76,0,2017-11-13,27.15,,374990,47.78,50000,-,100,240661,4454170,D.R. Horton,,i,D,47.09,0.69
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.38,0,2,2017-11-14T13:39:32-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:24:31-06:00,20000,70.97,47.91,46.67,0.4,,DHI,,47.74,BATS,2017-11-14,47.72,0,2017-11-13,27.15,,374990,47.73,10000,.,20,240781,4454170,D.R. Horton,,i,D,47.09,0.65
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.32,0,2,2017-11-14T13:40:00-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:24:49-06:00,30000,70.97,47.91,46.67,0.4,,DHI,,47.71,BATS,2017-11-14,47.69,0,2017-11-13,27.15,,374990,47.72,60000,.,100,241481,4454170,D.R. Horton,,i,D,47.09,0.62
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.21,0,2,2017-11-14T13:40:26-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:25:11-06:00,60000,70.97,47.91,46.67,0.4,,DHI,,47.66,BATS,2017-11-14,47.66,0,2017-11-13,27.15,,374990,47.69,60300,.,100,242081,4454170,D.R. Horton,,i,D,47.09,0.57
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.23,0,2,2017-11-14T13:41:04-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:26:04-06:00,50000,70.97,47.91,46.67,0.4,,DHI,,47.67,BATS,2017-11-14,47.66,0,2017-11-13,27.15,,374990,47.68,10300,.,20,242221,4454170,D.R. Horton,,i,D,47.09,0.58
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.25,0,2,2017-11-14T13:41:34-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:26:32-06:00,30000,70.97,47.91,46.67,0.4,,DHI,,47.68,BATS,2017-11-14,47.65,0,2017-11-13,27.15,,374990,47.68,30000,.,100,243544,4454170,D.R. Horton,,i,D,47.09,0.59
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.25,0,2,2017-11-14T13:41:56-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:26:48-06:00,10000,70.97,47.91,46.67,0.4,,DHI,,47.68,BATS,2017-11-14,47.66,0,2017-11-13,27.15,,374990,47.69,60000,.,98,244841,4454170,D.R. Horton,,i,D,47.09,0.59
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.38,0,2,2017-11-14T13:42:25-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:27:23-06:00,10000,70.97,47.91,46.67,0.4,,DHI,,47.74,BATS,2017-11-14,47.73,0,2017-11-13,27.15,,374990,47.75,12000,.,100,245141,4454170,D.R. Horton,,i,D,47.09,0.65
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.38,0,2,2017-11-14T13:42:48-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:27:46-06:00,50000,70.97,47.91,46.67,0.4,,DHI,,47.74,BATS,2017-11-14,47.73,0,2017-11-13,27.15,,374990,47.77,40000,.,100,245950,4454170,D.R. Horton,,i,D,47.09,0.65
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.38,0,2,2017-11-14T13:43:14-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:27:46-06:00,10000,70.97,47.91,46.67,0.4,,DHI,,47.74,BATS,2017-11-14,47.72,0,2017-11-13,27.15,,374990,47.74,30000,.,100,245950,4454170,D.R. Horton,,i,D,47.09,0.65
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.34,0,2,2017-11-14T13:43:38-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:28:19-06:00,60000,70.97,47.91,46.67,0.4,,DHI,,47.72,BATS,2017-11-14,47.72,0,2017-11-13,27.15,,374990,47.73,10000,-,100,246050,4454170,D.R. Horton,,i,D,47.09,0.63
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.34,0,2,2017-11-14T13:44:01-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:28:55-06:00,50000,70.97,47.91,46.67,0.4,,DHI,,47.72,BATS,2017-11-14,47.71,0,2017-11-13,27.15,,374990,47.73,40000,.,100,246150,4454170,D.R. Horton,,i,D,47.09,0.63
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.34,0,2,2017-11-14T13:44:26-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:28:55-06:00,40000,70.97,47.91,46.67,0.4,,DHI,,47.72,BATS,2017-11-14,47.72,0,2017-11-13,27.15,,374990,47.73,10000,.,100,246150,4454170,D.R. Horton,,i,D,47.09,0.63
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.42,0,2,2017-11-14T13:44:49-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:29:49-06:00,30000,70.97,47.91,46.67,0.4,,DHI,,47.76,BATS,2017-11-14,47.75,0,2017-11-13,27.15,,374990,47.78,60000,.,100,247513,4454170,D.R. Horton,,i,D,47.09,0.67
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.49,0,2,2017-11-14T13:45:34-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:30:33-06:00,10000,70.97,47.91,46.67,0.4,,DHI,,47.79,BATS,2017-11-14,47.78,0,2017-11-13,27.15,,374990,47.8,30300,.,3,247819,4454170,D.R. Horton,,i,D,47.09,0.7
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.47,0,2,2017-11-14T13:46:00-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:30:50-06:00,60000,70.97,47.91,46.67,0.4,,DHI,,47.78,BATS,2017-11-14,47.77,0,2017-11-13,27.15,,374990,47.78,10000,-,3,248122,4454170,D.R. Horton,,i,D,47.09,0.69
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.47,0,2,2017-11-14T13:46:25-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:31:11-06:00,2200,70.97,47.91,46.67,0.4,,DHI,,47.78,BATS,2017-11-14,47.78,0,2017-11-13,27.15,,374990,47.79,20000,.,100,248222,4454170,D.R. Horton,,i,D,47.09,0.69
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.47,0,2,2017-11-14T13:46:53-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:31:11-06:00,12200,70.97,47.91,46.67,0.4,,DHI,,47.78,BATS,2017-11-14,47.78,0,2017-11-13,27.15,,374990,47.79,20000,.,100,248222,4454170,D.R. Horton,,i,D,47.09,0.69
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.36,0,2,2017-11-14T13:47:42-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:32:36-06:00,30000,70.97,47.91,46.67,0.4,,DHI,,47.73,BATS,2017-11-14,47.71,0,2017-11-13,27.15,,374990,47.73,40000,.,200,248722,4454170,D.R. Horton,,i,D,47.09,0.64
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.32,0,2,2017-11-14T13:48:30-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:33:04-06:00,20000,70.97,47.91,46.67,0.4,,DHI,,47.71,BATS,2017-11-14,47.72,0,2017-11-13,27.15,,374990,47.73,10000,+,100,248922,4454170,D.R. Horton,,i,D,47.09,0.62
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.38,0,2,2017-11-14T13:48:55-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:33:45-06:00,80000,70.97,47.91,46.67,0.4,,DHI,,47.74,BATS,2017-11-14,47.73,0,2017-11-13,27.15,,374990,47.75,50000,+,100,249232,4454170,D.R. Horton,,i,D,47.09,0.65
2016-11-14,4037753,47.09,,47.91,,2017-08-07,,1.32,0,2,2017-11-14T13:49:21-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:34:20-06:00,20000,70.97,47.91,46.67,0.4,,DHI,,47.71,BATS,2017-11-14,47.7,0,2017-11-13,27.15,,374990,47.72,30000,.,20,249552,4454170,D.R. Horton,,i,D,47.09,0.62
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.3,0,2,2017-11-14T13:49:46-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:34:32-06:00,30000,70.68,47.91,46.67,0.4,,DHI,,47.7,BATS,2017-11-14,47.67,0,2017-11-13,27.15,,374990,47.7,50000,.,20,249672,4459027,D.R. Horton,,i,D,47.09,0.61
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.25,0,2,2017-11-14T13:50:15-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:35:04-06:00,30000,70.68,47.91,46.67,0.4,,DHI,,47.68,BATS,2017-11-14,47.67,0,2017-11-13,27.15,,374990,47.69,40000,.,100,249872,4459027,D.R. Horton,,i,D,47.09,0.59
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.25,0,2,2017-11-14T13:51:03-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:36:03-06:00,10000,70.68,47.91,46.67,0.4,,DHI,,47.68,BATS,2017-11-14,47.68,0,2017-11-13,27.15,,374990,47.69,20000,.,100,249972,4459027,D.R. Horton,,i,D,47.09,0.59
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.34,0,2,2017-11-14T13:51:26-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:36:26-06:00,10000,70.68,47.91,46.67,0.4,,DHI,,47.72,BATS,2017-11-14,47.71,0,2017-11-13,27.15,,374990,47.73,80000,+,100,250672,4459027,D.R. Horton,,i,D,47.09,0.63
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.34,0,2,2017-11-14T13:51:54-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:36:32-06:00,50000,70.68,47.91,46.67,0.4,,DHI,,47.72,BATS,2017-11-14,47.72,0,2017-11-13,27.15,,374990,47.74,10000,-,100,250772,4459027,D.R. Horton,,i,D,47.09,0.63
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.34,0,2,2017-11-14T13:52:14-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:36:32-06:00,20000,70.68,47.91,46.67,0.4,,DHI,,47.72,BATS,2017-11-14,47.71,0,2017-11-13,27.15,,374990,47.72,10000,-,100,250772,4459027,D.R. Horton,,i,D,47.09,0.63
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.32,0,2,2017-11-14T13:52:44-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:37:44-06:00,30000,70.68,47.91,46.67,0.4,,DHI,,47.71,BATS,2017-11-14,47.71,0,2017-11-13,27.15,,374990,47.72,10000,-,100,250972,4459027,D.R. Horton,,i,D,47.09,0.62
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.34,0,2,2017-11-14T13:53:09-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:38:09-06:00,50000,70.68,47.91,46.67,0.4,,DHI,,47.72,BATS,2017-11-14,47.72,0,2017-11-13,27.15,,374990,47.74,30000,.,2,251374,4459027,D.R. Horton,,i,D,47.09,0.63
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.34,0,2,2017-11-14T13:53:37-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:38:09-06:00,10000,70.68,47.91,46.67,0.4,,DHI,,47.72,BATS,2017-11-14,47.73,0,2017-11-13,27.15,,374990,47.74,40000,.,2,251374,4459027,D.R. Horton,,i,D,47.09,0.63
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.36,0,2,2017-11-14T13:54:01-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:39:00-06:00,10000,70.68,47.91,46.67,0.4,,DHI,,47.73,BATS,2017-11-14,47.72,0,2017-11-13,27.15,,374990,47.73,30000,+,100,251474,4459027,D.R. Horton,,i,D,47.09,0.64
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.36,0,2,2017-11-14T13:54:43-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:39:30-06:00,50000,70.68,47.91,46.67,0.4,,DHI,,47.73,BATS,2017-11-14,47.72,0,2017-11-13,27.15,,374990,47.74,50000,.,100,251574,4459027,D.R. Horton,,i,D,47.09,0.64
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.38,0,2,2017-11-14T13:55:03-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:39:52-06:00,60000,70.68,47.91,46.67,0.4,,DHI,,47.74,BATS,2017-11-14,47.72,0,2017-11-13,27.15,,374990,47.74,30000,.,100,251774,4459027,D.R. Horton,,i,D,47.09,0.65
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.38,0,2,2017-11-14T13:55:34-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:39:52-06:00,50000,70.68,47.91,46.67,0.4,,DHI,,47.74,BATS,2017-11-14,47.7,0,2017-11-13,27.15,,374990,47.72,40000,.,100,251774,4459027,D.R. Horton,,i,D,47.09,0.65
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.34,0,2,2017-11-14T13:55:57-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:40:49-06:00,30000,70.68,47.91,46.67,0.4,,DHI,,47.72,BATS,2017-11-14,47.7,0,2017-11-13,27.15,,374990,47.72,40000,-,20,251894,4459027,D.R. Horton,,i,D,47.09,0.63
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.23,0,2,2017-11-14T13:56:26-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:41:21-06:00,40000,70.68,47.91,46.67,0.4,,DHI,,47.67,BATS,2017-11-14,47.64,0,2017-11-13,27.15,,374990,47.66,30000,-,100,252094,4459027,D.R. Horton,,i,D,47.09,0.58
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.19,0,2,2017-11-14T13:56:48-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:41:38-06:00,20000,70.68,47.91,46.67,0.4,,DHI,,47.65,BATS,2017-11-14,47.65,0,2017-11-13,27.15,,374990,47.66,40200,.,100,252394,4459027,D.R. Horton,,i,D,47.09,0.56
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.21,0,2,2017-11-14T13:57:17-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:42:16-06:00,10000,70.68,47.91,46.67,0.4,,DHI,,47.66,BATS,2017-11-14,47.66,0,2017-11-13,27.15,,374990,47.67,40200,.,100,252694,4459027,D.R. Horton,,i,D,47.09,0.57
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.23,0,2,2017-11-14T13:57:45-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:42:33-06:00,40000,70.68,47.91,46.67,0.4,,DHI,,47.67,BATS,2017-11-14,47.67,0,2017-11-13,27.15,,374990,47.69,30000,+,100,252794,4459027,D.R. Horton,,i,D,47.09,0.58
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.21,0,2,2017-11-14T13:58:09-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:42:59-06:00,40000,70.68,47.91,46.67,0.4,,DHI,,47.66,BATS,2017-11-14,47.66,0,2017-11-13,27.15,,374990,47.68,30000,.,97,252993,4459027,D.R. Horton,,i,D,47.09,0.57
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.23,0,2,2017-11-14T13:58:34-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:43:33-06:00,40000,70.68,47.91,46.67,0.4,,DHI,,47.67,BATS,2017-11-14,47.66,0,2017-11-13,27.15,,374990,47.68,30000,.,100,253113,4459027,D.R. Horton,,i,D,47.09,0.58
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.23,0,2,2017-11-14T13:59:05-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:43:33-06:00,40000,70.68,47.91,46.67,0.4,,DHI,,47.67,BATS,2017-11-14,47.62,0,2017-11-13,27.15,,374990,47.64,60000,.,100,253113,4459027,D.R. Horton,,i,D,47.09,0.58
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.23,0,2,2017-11-14T13:59:33-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:43:33-06:00,20000,70.68,47.91,46.67,0.4,,DHI,,47.67,BATS,2017-11-14,47.63,0,2017-11-13,27.15,,374990,47.64,30000,.,100,253113,4459027,D.R. Horton,,i,D,47.09,0.58
2016-11-14,4038195,47.09,,47.91,,2017-08-07,,1.1,0,2,2017-11-14T13:59:59-06:00,0,46.86,0.87,2016-12-02,2017-11-14T14:44:58-06:00,20000,70.68,47.91,46.67,0.4,,DHI,,47.61,BATS,2017-11-14,47.61,0,2017-11-13,27.15,,374990,47.62,40200,.,70,253713,4459027,D.R. Horton,,i,D,47.09,0.52
