twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,1860825,95.57,,100.19,,2017-11-07,,4.64,0,2,2017-11-14T13:34:28-06:00,0,98.79,1.22,2016-11-29,2017-11-14T14:18:54-06:00,10000,50.38,104.09,98.07,1.16,,DLPH,,100,BATS,2017-09-26,99.98,0,2017-11-13,60.5,,265840,100,10000,.,10,212384,1572789,Delphi Automotive Plc,,i,D,95.57,4.43
2016-11-14,1860825,95.57,,100.19,,2017-11-07,,4.64,0,2,2017-11-14T13:35:20-06:00,0,98.79,1.22,2016-11-29,2017-11-14T14:18:54-06:00,10000,50.38,104.09,98.07,1.16,,DLPH,,100,BATS,2017-09-26,99.98,0,2017-11-13,60.5,,265840,100,10000,.,10,212384,1572789,Delphi Automotive Plc,,i,D,95.57,4.43
2016-11-14,1860825,95.57,,100.19,,2017-11-07,,4.61,0,2,2017-11-14T13:35:46-06:00,0,98.79,1.22,2016-11-29,2017-11-14T14:20:40-06:00,10000,50.38,104.09,98.07,1.16,,DLPH,,99.98,BATS,2017-09-26,99.96,0,2017-11-13,60.5,,265840,99.98,20000,-,100,212890,1572789,Delphi Automotive Plc,,i,D,95.57,4.41
2016-11-14,1860825,95.57,,100.19,,2017-11-07,,4.62,0,2,2017-11-14T13:36:17-06:00,0,98.79,1.22,2016-11-29,2017-11-14T14:21:16-06:00,10000,50.38,104.09,98.07,1.16,,DLPH,,99.99,BATS,2017-09-26,99.99,0,2017-11-13,60.5,,265840,100.02,10000,+,62,213152,1572789,Delphi Automotive Plc,,i,D,95.57,4.42
2016-11-14,1860825,95.57,,100.19,,2017-11-07,,4.72,0,2,2017-11-14T13:36:39-06:00,0,98.79,1.22,2016-11-29,2017-11-14T14:21:26-06:00,8000,50.38,104.09,98.07,1.16,,DLPH,,100.08,BATS,2017-09-26,100.06,0,2017-11-13,60.5,,265840,100.1,10000,+,100,213552,1572789,Delphi Automotive Plc,,i,D,95.57,4.51
2016-11-14,1860825,95.57,,100.19,,2017-11-07,,4.72,0,2,2017-11-14T13:37:07-06:00,0,98.79,1.22,2016-11-29,2017-11-14T14:22:07-06:00,10000,50.38,104.09,98.07,1.16,,DLPH,,100.08,BATS,2017-09-26,100.01,0,2017-11-13,60.5,,265840,100.07,10000,.,100,213652,1572789,Delphi Automotive Plc,,i,D,95.57,4.51
2016-11-14,1860825,95.57,,100.19,,2017-11-07,,4.7,0,2,2017-11-14T13:37:30-06:00,0,98.79,1.22,2016-11-29,2017-11-14T14:22:16-06:00,10000,50.38,104.09,98.07,1.16,,DLPH,,100.06,BATS,2017-09-26,100.04,0,2017-11-13,60.5,,265840,100.16,10000,.,25,214234,1572789,Delphi Automotive Plc,,i,D,95.57,4.49
2016-11-14,1860825,95.57,,100.19,,2017-11-07,,4.7,0,2,2017-11-14T13:37:47-06:00,0,98.79,1.22,2016-11-29,2017-11-14T14:22:16-06:00,10000,50.38,104.09,98.07,1.16,,DLPH,,100.06,BATS,2017-09-26,100.04,0,2017-11-13,60.5,,265840,100.09,10000,.,25,214234,1572789,Delphi Automotive Plc,,i,D,95.57,4.49
2016-11-14,1860825,95.57,,100.19,,2017-11-07,,4.7,0,2,2017-11-14T13:37:47-06:00,0,98.79,1.22,2016-11-29,2017-11-14T14:22:16-06:00,10000,50.38,104.09,98.07,1.16,,DLPH,,100.06,BATS,2017-09-26,100.04,0,2017-11-13,60.5,,265840,100.09,10000,.,25,214234,1572789,Delphi Automotive Plc,,i,D,95.57,4.49
2016-11-14,1860825,95.57,,100.19,,2017-11-07,,4.7,0,2,2017-11-14T13:39:04-06:00,0,98.79,1.22,2016-11-29,2017-11-14T14:22:16-06:00,20000,50.38,104.09,98.07,1.16,,DLPH,,100.06,BATS,2017-09-26,100.04,0,2017-11-13,60.5,,265840,100.09,10000,.,25,214234,1572789,Delphi Automotive Plc,,i,D,95.57,4.49
