twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.19,0,2,2017-11-14T13:34:53-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:19:23-06:00,10000,17.81,214.81,199.02,3.36,,GD,,200.52,BATS,2017-10-24,200.5,0,2017-11-13,164.97,,298580,200.8,10000,+,100,24803,1080860,General Dynamics Corp,,i,D,200.13,0.39
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.19,0,2,2017-11-14T13:35:28-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:19:23-06:00,10000,17.81,214.81,199.02,3.36,,GD,,200.52,BATS,2017-10-24,200.5,0,2017-11-13,164.97,,298580,200.55,10000,+,100,24803,1080860,General Dynamics Corp,,i,D,200.13,0.39
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.19,0,2,2017-11-14T13:35:28-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:19:23-06:00,10000,17.81,214.81,199.02,3.36,,GD,,200.52,BATS,2017-10-24,200.5,0,2017-11-13,164.97,,298580,200.55,10000,+,100,24803,1080860,General Dynamics Corp,,i,D,200.13,0.39
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.19,0,2,2017-11-14T13:35:28-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:19:23-06:00,10000,17.81,214.81,199.02,3.36,,GD,,200.52,BATS,2017-10-24,200.5,0,2017-11-13,164.97,,298580,200.55,10000,+,100,24803,1080860,General Dynamics Corp,,i,D,200.13,0.39
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.19,0,2,2017-11-14T13:35:28-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:19:23-06:00,10000,17.81,214.81,199.02,3.36,,GD,,200.52,BATS,2017-10-24,200.5,0,2017-11-13,164.97,,298580,200.55,10000,+,100,24803,1080860,General Dynamics Corp,,i,D,200.13,0.39
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.19,0,2,2017-11-14T13:35:28-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:19:23-06:00,10000,17.81,214.81,199.02,3.36,,GD,,200.52,BATS,2017-10-24,200.5,0,2017-11-13,164.97,,298580,200.55,10000,+,100,24803,1080860,General Dynamics Corp,,i,D,200.13,0.39
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.21,0,2,2017-11-14T13:37:34-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:22:18-06:00,10000,17.81,214.81,199.02,3.36,,GD,,200.56,BATS,2017-10-24,200.54,0,2017-11-13,164.97,,298580,201,10000,.,98,25003,1080860,General Dynamics Corp,,i,D,200.13,0.43
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.21,0,2,2017-11-14T13:38:00-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:22:18-06:00,10000,17.81,214.81,199.02,3.36,,GD,,200.56,BATS,2017-10-24,200.56,0,2017-11-13,164.97,,298580,201,10000,.,98,25003,1080860,General Dynamics Corp,,i,D,200.13,0.43
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.2,0,2,2017-11-14T13:38:26-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:23:26-06:00,20000,17.81,214.81,199.02,3.36,,GD,,200.53,BATS,2017-10-24,200.01,0,2017-11-13,164.97,,298580,201,10000,.,87,25203,1080860,General Dynamics Corp,,i,D,200.13,0.4
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.2,0,2,2017-11-14T13:39:11-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:23:26-06:00,20000,17.81,214.81,199.02,3.36,,GD,,200.53,BATS,2017-10-24,200.01,0,2017-11-13,164.97,,298580,201,10000,.,87,25203,1080860,General Dynamics Corp,,i,D,200.13,0.4
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.2,0,2,2017-11-14T13:39:34-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:23:26-06:00,10000,17.81,214.81,199.02,3.36,,GD,,200.53,BATS,2017-10-24,200.48,0,2017-11-13,164.97,,298580,200.55,10000,.,87,25203,1080860,General Dynamics Corp,,i,D,200.13,0.4
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.2,0,2,2017-11-14T13:39:34-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:23:26-06:00,10000,17.81,214.81,199.02,3.36,,GD,,200.53,BATS,2017-10-24,200.48,0,2017-11-13,164.97,,298580,200.55,10000,.,87,25203,1080860,General Dynamics Corp,,i,D,200.13,0.4
2016-11-14,1149841,200.13,,201.05,,2017-10-05,,0.2,0,2,2017-11-14T13:39:34-06:00,0,199.34,1.68,2016-11-18,2017-11-14T14:23:26-06:00,10000,17.81,214.81,199.02,3.36,,GD,,200.53,BATS,2017-10-24,200.48,0,2017-11-13,164.97,,298580,200.55,10000,.,87,25203,1080860,General Dynamics Corp,,i,D,200.13,0.4
