twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,1493580,1025.75,,1026.17,,,,-0.05,0,2,2017-11-14T13:34:40-06:00,0,1021.19,0,2016-12-01,2017-11-14T14:19:22-06:00,20000,39.22,1048.39,1014.43,0,,GOOG,,1025.22,BATS,2017-10-27,1023,0,2017-11-13,737.02,,694800,1025.77,10000,-,10,28754,1416307,Alphabet Class C,,i,D,1025.75,-0.53
2016-11-14,1493580,1025.75,,1026.17,,,,-0.05,0,2,2017-11-14T13:34:40-06:00,0,1021.19,0,2016-12-01,2017-11-14T14:19:22-06:00,20000,39.22,1048.39,1014.43,0,,GOOG,,1025.22,BATS,2017-10-27,1023,0,2017-11-13,737.02,,694800,1025.77,10000,-,10,28754,1416307,Alphabet Class C,,i,D,1025.75,-0.53
2016-11-14,1493580,1025.75,,1026.17,,,,-0.05,0,2,2017-11-14T13:35:48-06:00,0,1021.19,0,2016-12-01,2017-11-14T14:19:22-06:00,5000,39.22,1048.39,1014.43,0,,GOOG,,1025.22,BATS,2017-10-27,1023,0,2017-11-13,737.02,,694800,1026.3,10000,-,10,28754,1416307,Alphabet Class C,,i,D,1025.75,-0.53
2016-11-14,1493580,1025.75,,1026.17,,,,-0.01,0,2,2017-11-14T13:36:07-06:00,0,1021.19,0,2016-12-01,2017-11-14T14:21:04-06:00,20000,39.22,1048.39,1014.43,0,,GOOG,,1025.63,BATS,2017-10-27,1023.26,0,2017-11-13,737.02,,694800,1025.91,10000,+,100,28854,1416307,Alphabet Class C,,i,D,1025.75,-0.12
2016-11-14,1493580,1025.75,,1026.17,,,,-0.01,0,2,2017-11-14T13:36:36-06:00,0,1021.19,0,2016-12-01,2017-11-14T14:21:04-06:00,30000,39.22,1048.39,1014.43,0,,GOOG,,1025.63,BATS,2017-10-27,1023.27,0,2017-11-13,737.02,,694800,1025.81,10000,+,100,28854,1416307,Alphabet Class C,,i,D,1025.75,-0.12
2016-11-14,1493580,1025.75,,1026.17,,,,-0.01,0,2,2017-11-14T13:37:02-06:00,0,1021.19,0,2016-12-01,2017-11-14T14:21:04-06:00,5000,39.22,1048.39,1014.43,0,,GOOG,,1025.63,BATS,2017-10-27,1024.45,0,2017-11-13,737.02,,694800,1026.3,10000,+,100,28854,1416307,Alphabet Class C,,i,D,1025.75,-0.12
2016-11-14,1493580,1025.75,,1026.17,,,,-0.01,0,2,2017-11-14T13:37:26-06:00,0,1021.19,0,2016-12-01,2017-11-14T14:21:04-06:00,10000,39.22,1048.39,1014.43,0,,GOOG,,1025.63,BATS,2017-10-27,1024.46,0,2017-11-13,737.02,,694800,1025.42,10000,+,100,28854,1416307,Alphabet Class C,,i,D,1025.75,-0.12
2016-11-14,1493580,1025.75,,1026.17,,,,-0.01,0,2,2017-11-14T13:37:44-06:00,0,1021.19,0,2016-12-01,2017-11-14T14:21:04-06:00,5000,39.22,1048.39,1014.43,0,,GOOG,,1025.63,BATS,2017-10-27,1024.47,0,2017-11-13,737.02,,694800,1026,10000,+,100,28854,1416307,Alphabet Class C,,i,D,1025.75,-0.12
2016-11-14,1493580,1025.75,,1026.17,,,,-0.01,0,2,2017-11-14T13:38:15-06:00,0,1021.19,0,2016-12-01,2017-11-14T14:21:04-06:00,5000,39.22,1048.39,1014.43,0,,GOOG,,1025.63,BATS,2017-10-27,1023,0,2017-11-13,737.02,,694800,1026,10000,+,100,28854,1416307,Alphabet Class C,,i,D,1025.75,-0.12
2016-11-14,1493580,1025.75,,1026.17,,,,-0.08,0,2,2017-11-14T13:39:01-06:00,0,1021.19,0,2016-12-01,2017-11-14T14:23:45-06:00,5000,39.22,1048.39,1014.43,0,,GOOG,,1024.9,BATS,2017-10-27,1022.09,0,2017-11-13,737.02,,694800,1026,10000,.,60,28954,1416307,Alphabet Class C,,i,D,1025.75,-0.85
