twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.32,0,2,2017-11-14T13:35:06-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:19:46-06:00,15000,31.4,167.94,163.16,3.56,,HD,,167.54,BATS,2017-10-26,167.53,0,2017-11-13,122.92,,1178820,167.58,10000,.,10,419570,3939722,Home Depot,,i,D,165.35,2.19
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.38,0,2,2017-11-14T13:35:33-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:20:29-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.64,BATS,2017-10-26,167.65,0,2017-11-13,122.92,,1178820,167.72,20000,.,100,420070,3939722,Home Depot,,i,D,165.35,2.29
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.35,0,2,2017-11-14T13:35:57-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:20:45-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.59,BATS,2017-10-26,167.6,0,2017-11-13,122.92,,1178820,167.62,20000,-,200,420870,3939722,Home Depot,,i,D,165.35,2.24
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.38,0,2,2017-11-14T13:36:21-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:21:21-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.64,BATS,2017-10-26,167.63,0,2017-11-13,122.92,,1178820,167.66,10000,+,77,421047,3939722,Home Depot,,i,D,165.35,2.29
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.38,0,2,2017-11-14T13:36:46-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:21:44-06:00,25000,31.4,167.94,163.16,3.56,,HD,,167.63,BATS,2017-10-26,167.6,0,2017-11-13,122.92,,1178820,167.66,20000,-,60,421107,3939722,Home Depot,,i,D,165.35,2.28
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.38,0,2,2017-11-14T13:37:10-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:21:44-06:00,70000,31.4,167.94,163.16,3.56,,HD,,167.63,BATS,2017-10-26,167.6,0,2017-11-13,122.92,,1178820,167.63,40000,-,60,421107,3939722,Home Depot,,i,D,165.35,2.28
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.38,0,2,2017-11-14T13:37:31-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:21:44-06:00,70000,31.4,167.94,163.16,3.56,,HD,,167.63,BATS,2017-10-26,167.6,0,2017-11-13,122.92,,1178820,167.63,30000,-,60,421107,3939722,Home Depot,,i,D,165.35,2.28
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.45,0,2,2017-11-14T13:38:02-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:23:01-06:00,25000,31.4,167.94,163.16,3.56,,HD,,167.75,BATS,2017-10-26,167.73,0,2017-11-13,122.92,,1178820,167.77,10000,.,186,423457,3939722,Home Depot,,i,D,165.35,2.4
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.44,0,2,2017-11-14T13:38:24-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:23:03-06:00,15000,31.4,167.94,163.16,3.56,,HD,,167.73,BATS,2017-10-26,167.73,0,2017-11-13,122.92,,1178820,167.78,30000,-,100,423557,3939722,Home Depot,,i,D,165.35,2.38
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.44,0,2,2017-11-14T13:39:14-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:23:41-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.73,BATS,2017-10-26,167.68,0,2017-11-13,122.92,,1178820,167.72,10000,.,100,424857,3939722,Home Depot,,i,D,165.35,2.38
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.41,0,2,2017-11-14T13:39:41-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:24:21-06:00,15000,31.4,167.94,163.16,3.56,,HD,,167.68,BATS,2017-10-26,167.6,0,2017-11-13,122.92,,1178820,167.68,10000,-,100,424957,3939722,Home Depot,,i,D,165.35,2.33
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.4,0,2,2017-11-14T13:40:04-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:24:58-06:00,20000,31.4,167.94,163.16,3.56,,HD,,167.66,BATS,2017-10-26,167.63,0,2017-11-13,122.92,,1178820,167.68,10000,.,4,425634,3939722,Home Depot,,i,D,165.35,2.31
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.37,0,2,2017-11-14T13:40:32-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:25:32-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.62,BATS,2017-10-26,167.55,0,2017-11-13,122.92,,1178820,167.6,10000,-,100,425834,3939722,Home Depot,,i,D,165.35,2.27
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.42,0,2,2017-11-14T13:41:11-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:26:11-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.69,BATS,2017-10-26,167.65,0,2017-11-13,122.92,,1178820,167.71,10000,-,6,426440,3939722,Home Depot,,i,D,165.35,2.34
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.35,0,2,2017-11-14T13:41:38-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:26:33-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.58,BATS,2017-10-26,167.55,0,2017-11-13,122.92,,1178820,167.61,10000,.,100,426740,3939722,Home Depot,,i,D,165.35,2.23
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.41,0,2,2017-11-14T13:42:05-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:27:05-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.68,BATS,2017-10-26,167.63,0,2017-11-13,122.92,,1178820,167.69,10000,-,100,427340,3939722,Home Depot,,i,D,165.35,2.33
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.39,0,2,2017-11-14T13:42:29-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:27:25-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.65,BATS,2017-10-26,167.57,0,2017-11-13,122.92,,1178820,167.66,20000,-,200,427540,3939722,Home Depot,,i,D,165.35,2.3
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.39,0,2,2017-11-14T13:42:51-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:27:25-06:00,80000,31.4,167.94,163.16,3.56,,HD,,167.65,BATS,2017-10-26,167.57,0,2017-11-13,122.92,,1178820,167.64,20000,-,200,427540,3939722,Home Depot,,i,D,165.35,2.3
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.36,0,2,2017-11-14T13:43:17-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:28:17-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.6,BATS,2017-10-26,167.58,0,2017-11-13,122.92,,1178820,167.64,10000,+,100,428040,3939722,Home Depot,,i,D,165.35,2.25
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.38,0,2,2017-11-14T13:43:40-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:28:34-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.63,BATS,2017-10-26,167.63,0,2017-11-13,122.92,,1178820,167.68,20000,.,100,428240,3939722,Home Depot,,i,D,165.35,2.28
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.4,0,2,2017-11-14T13:43:59-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:28:54-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.66,BATS,2017-10-26,167.63,0,2017-11-13,122.92,,1178820,167.66,10000,+,7,428747,3939722,Home Depot,,i,D,165.35,2.31
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.4,0,2,2017-11-14T13:44:30-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:29:25-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.66,BATS,2017-10-26,167.65,0,2017-11-13,122.92,,1178820,167.68,10000,.,90,429122,3939722,Home Depot,,i,D,165.35,2.31
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.38,0,2,2017-11-14T13:44:56-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:29:54-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.64,BATS,2017-10-26,167.62,0,2017-11-13,122.92,,1178820,167.66,10000,-,100,429622,3939722,Home Depot,,i,D,165.35,2.29
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.38,0,2,2017-11-14T13:45:40-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:30:36-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.64,BATS,2017-10-26,167.61,0,2017-11-13,122.92,,1178820,167.66,200,+,100,430122,3939722,Home Depot,,i,D,165.35,2.29
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.41,0,2,2017-11-14T13:46:01-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:31:01-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.68,BATS,2017-10-26,167.68,0,2017-11-13,122.92,,1178820,167.7,9600,-,100,430524,3939722,Home Depot,,i,D,165.35,2.33
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.4,0,2,2017-11-14T13:46:34-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:31:24-06:00,15000,31.4,167.94,163.16,3.56,,HD,,167.66,BATS,2017-10-26,167.63,0,2017-11-13,122.92,,1178820,167.7,10000,-,37,430894,3939722,Home Depot,,i,D,165.35,2.31
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.4,0,2,2017-11-14T13:47:02-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:31:24-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.66,BATS,2017-10-26,167.65,0,2017-11-13,122.92,,1178820,167.72,10000,-,37,430894,3939722,Home Depot,,i,D,165.35,2.31
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.42,0,2,2017-11-14T13:47:48-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:32:37-06:00,20000,31.4,167.94,163.16,3.56,,HD,,167.69,BATS,2017-10-26,167.67,0,2017-11-13,122.92,,1178820,167.71,10000,-,100,431209,3939722,Home Depot,,i,D,165.35,2.34
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.4,0,2,2017-11-14T13:48:34-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:33:01-06:00,20000,31.4,167.94,163.16,3.56,,HD,,167.66,BATS,2017-10-26,167.63,0,2017-11-13,122.92,,1178820,167.68,10000,-,100,431409,3939722,Home Depot,,i,D,165.35,2.31
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.41,0,2,2017-11-14T13:48:58-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:33:50-06:00,28000,31.4,167.94,163.16,3.56,,HD,,167.68,BATS,2017-10-26,167.67,0,2017-11-13,122.92,,1178820,167.74,10000,.,100,431873,3939722,Home Depot,,i,D,165.35,2.33
2016-11-14,4379796,165.35,,167.79,,2017-08-29,,1.48,0,2,2017-11-14T13:49:26-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:34:26-06:00,10000,31.4,167.94,163.16,3.56,,HD,,167.79,BATS,2017-10-26,167.77,0,2017-11-13,122.92,,1178820,167.82,10000,+,600,432894,3939722,Home Depot,,i,D,165.35,2.44
2016-11-14,4380755,165.35,,167.79,,2017-08-29,,1.45,0,2,2017-11-14T13:49:53-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:34:48-06:00,10000,31.26,167.94,163.16,3.56,,HD,,167.74,BATS,2017-10-26,167.67,0,2017-11-13,122.92,,1178820,167.72,20000,-,100,433694,3950269,Home Depot,,i,D,165.35,2.39
2016-11-14,4380755,165.35,,167.79,,2017-08-29,,1.4,0,2,2017-11-14T13:50:18-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:35:13-06:00,10000,31.26,167.94,163.16,3.56,,HD,,167.67,BATS,2017-10-26,167.67,0,2017-11-13,122.92,,1178820,167.71,10000,.,100,434394,3950269,Home Depot,,i,D,165.35,2.32
2016-11-14,4380755,165.35,,167.79,,2017-08-29,,1.33,0,2,2017-11-14T13:51:08-06:00,0,164.3,2.17,2016-11-15,2017-11-14T14:36:08-06:00,10000,31.26,167.94,163.16,3.56,,HD,,167.55,BATS,2017-10-26,167.53,0,2017-11-13,122.92,,1178820,167.6,140000,-,100,435194,3950269,Home Depot,,i,D,165.35,2.2
