twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,3498925,167.37,,168.41,,2017-08-30,,0.39,0,2,2017-11-14T13:34:58-06:00,0,166.9,2.27,2016-11-15,2017-11-14T14:19:46-06:00,10000,42.53,170.92,166.62,3.76,,MCD,,168.02,BATS,2017-11-08,168.01,0,2017-11-13,117.02,,797190,168.04,10800,+,10,81558,3281827,McDonald's Corp,,i,D,167.37,0.65
2016-11-14,3498925,167.37,,168.41,,2017-08-30,,0.38,0,2,2017-11-14T13:35:30-06:00,0,166.9,2.27,2016-11-15,2017-11-14T14:20:21-06:00,10000,42.53,170.92,166.62,3.76,,MCD,,168.01,BATS,2017-11-08,167.98,0,2017-11-13,117.02,,797190,168.02,20000,.,8,81666,3281827,McDonald's Corp,,i,D,167.37,0.64
2016-11-14,3498925,167.37,,168.41,,2017-08-30,,0.38,0,2,2017-11-14T13:35:54-06:00,0,166.9,2.27,2016-11-15,2017-11-14T14:20:21-06:00,13000,42.53,170.92,166.62,3.76,,MCD,,168.01,BATS,2017-11-08,167.99,0,2017-11-13,117.02,,797190,168,10000,.,8,81666,3281827,McDonald's Corp,,i,D,167.37,0.64
2016-11-14,3498925,167.37,,168.41,,2017-08-30,,0.38,0,2,2017-11-14T13:36:23-06:00,0,166.9,2.27,2016-11-15,2017-11-14T14:21:20-06:00,10000,42.53,170.92,166.62,3.76,,MCD,,168,BATS,2017-11-08,167.98,0,2017-11-13,117.02,,797190,168.04,30000,-,30,81796,3281827,McDonald's Corp,,i,D,167.37,0.63
2016-11-14,3498925,167.37,,168.41,,2017-08-30,,0.38,0,2,2017-11-14T13:36:44-06:00,0,166.9,2.27,2016-11-15,2017-11-14T14:21:20-06:00,3000,42.53,170.92,166.62,3.76,,MCD,,168,BATS,2017-11-08,167.98,0,2017-11-13,117.02,,797190,168.01,10000,-,30,81796,3281827,McDonald's Corp,,i,D,167.37,0.63
2016-11-14,3498925,167.37,,168.41,,2017-08-30,,0.38,0,2,2017-11-14T13:37:06-06:00,0,166.9,2.27,2016-11-15,2017-11-14T14:21:20-06:00,10000,42.53,170.92,166.62,3.76,,MCD,,168,BATS,2017-11-08,167.98,0,2017-11-13,117.02,,797190,168.02,10000,-,30,81796,3281827,McDonald's Corp,,i,D,167.37,0.63
2016-11-14,3498925,167.37,,168.41,,2017-08-30,,0.36,0,2,2017-11-14T13:37:30-06:00,0,166.9,2.27,2016-11-15,2017-11-14T14:22:25-06:00,3000,42.53,170.92,166.62,3.76,,MCD,,167.98,BATS,2017-11-08,167.98,0,2017-11-13,117.02,,797190,168,3500,-,65,81861,3281827,McDonald's Corp,,i,D,167.37,0.61
2016-11-14,3498925,167.37,,168.41,,2017-08-30,,0.37,0,2,2017-11-14T13:37:50-06:00,0,166.9,2.27,2016-11-15,2017-11-14T14:22:49-06:00,3000,42.53,170.92,166.62,3.76,,MCD,,167.99,BATS,2017-11-08,167.98,0,2017-11-13,117.02,,797190,168,20000,+,30,81891,3281827,McDonald's Corp,,i,D,167.37,0.62
2016-11-14,3498925,167.37,,168.41,,2017-08-30,,0.37,0,2,2017-11-14T13:38:09-06:00,0,166.9,2.27,2016-11-15,2017-11-14T14:22:49-06:00,10000,42.53,170.92,166.62,3.76,,MCD,,167.99,BATS,2017-11-08,167.98,0,2017-11-13,117.02,,797190,168.02,20000,+,30,81891,3281827,McDonald's Corp,,i,D,167.37,0.62
2016-11-14,3498925,167.37,,168.41,,2017-08-30,,0.37,0,2,2017-11-14T13:39:11-06:00,0,166.9,2.27,2016-11-15,2017-11-14T14:22:49-06:00,3100,42.53,170.92,166.62,3.76,,MCD,,167.99,BATS,2017-11-08,167.98,0,2017-11-13,117.02,,797190,168,20000,+,30,81891,3281827,McDonald's Corp,,i,D,167.37,0.62
2016-11-14,3498925,167.37,,168.41,,2017-08-30,,0.37,0,2,2017-11-14T13:39:26-06:00,0,166.9,2.27,2016-11-15,2017-11-14T14:24:26-06:00,10000,42.53,170.92,166.62,3.76,,MCD,,167.99,BATS,2017-11-08,167.99,0,2017-11-13,117.02,,797190,168.01,10000,+,100,82291,3281827,McDonald's Corp,,i,D,167.37,0.62
