twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:35:11-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:19:51-06:00,20000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.32,0,2017-11-13,29.9,,380030,32.33,10000,+,100,159436,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.21,0,2,2017-11-14T13:35:37-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:20:25-06:00,30000,-7.38,43.63,32.26,0.2,,NOV,,32.33,BATS,2016-12-12,32.33,0,2017-11-13,29.9,,380030,32.34,30000,.,100,159936,3411850,National-Oilwell,,i,D,33.06,-0.73
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.21,0,2,2017-11-14T13:36:04-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:20:53-06:00,20000,-7.38,43.63,32.26,0.2,,NOV,,32.33,BATS,2016-12-12,32.33,0,2017-11-13,29.9,,380030,32.34,20000,+,100,160036,3411850,National-Oilwell,,i,D,33.06,-0.73
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.3,0,2,2017-11-14T13:36:28-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:21:22-06:00,10000,-7.38,43.63,32.26,0.2,,NOV,,32.3,BATS,2016-12-12,32.3,0,2017-11-13,29.9,,380030,32.31,70000,-,66,160467,3411850,National-Oilwell,,i,D,33.06,-0.76
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.27,0,2,2017-11-14T13:36:47-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:21:36-06:00,10000,-7.38,43.63,32.26,0.2,,NOV,,32.31,BATS,2016-12-12,32.3,0,2017-11-13,29.9,,380030,32.31,60000,.,400,161167,3411850,National-Oilwell,,i,D,33.06,-0.75
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.3,0,2,2017-11-14T13:37:16-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:21:56-06:00,20000,-7.38,43.63,32.26,0.2,,NOV,,32.3,BATS,2016-12-12,32.3,0,2017-11-13,29.9,,380030,32.31,60000,-,100,161367,3411850,National-Oilwell,,i,D,33.06,-0.76
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:37:39-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:22:27-06:00,30000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.32,0,2017-11-13,29.9,,380030,32.33,50000,.,100,161967,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:38:04-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:22:27-06:00,30000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.32,0,2017-11-13,29.9,,380030,32.33,10000,.,100,161967,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:38:13-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:23:12-06:00,30000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.32,0,2017-11-13,29.9,,380030,32.33,30000,.,100,162267,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:39:21-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:24:10-06:00,60000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.31,0,2017-11-13,29.9,,380030,32.33,20000,.,100,164282,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:39:46-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:24:10-06:00,30000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.31,0,2017-11-13,29.9,,380030,32.32,10000,.,100,164282,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:40:02-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:24:10-06:00,40000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.31,0,2017-11-13,29.9,,380030,32.32,10000,.,100,164282,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:40:33-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:24:10-06:00,34300,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.31,0,2017-11-13,29.9,,380030,32.32,10000,.,100,164282,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:41:16-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:24:10-06:00,70000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.27,0,2017-11-13,29.9,,380030,32.28,20000,.,100,164282,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:41:44-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:24:10-06:00,40000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.27,0,2017-11-13,29.9,,380030,32.28,20000,.,100,164282,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:42:02-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:24:10-06:00,40000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.27,0,2017-11-13,29.9,,380030,32.28,20000,.,100,164282,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.36,0,2,2017-11-14T13:42:33-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:27:19-06:00,20000,-7.38,43.63,32.26,0.2,,NOV,,32.28,BATS,2016-12-12,32.29,0,2017-11-13,29.9,,380030,32.3,20000,-,100,164682,3411850,National-Oilwell,,i,D,33.06,-0.78
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.3,0,2,2017-11-14T13:42:58-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:27:46-06:00,50000,-7.38,43.63,32.26,0.2,,NOV,,32.3,BATS,2016-12-12,32.3,0,2017-11-13,29.9,,380030,32.32,100000,+,100,164782,3411850,National-Oilwell,,i,D,33.06,-0.76
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.3,0,2,2017-11-14T13:43:23-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:27:46-06:00,10000,-7.38,43.63,32.26,0.2,,NOV,,32.3,BATS,2016-12-12,32.31,0,2017-11-13,29.9,,380030,32.32,10000,+,100,164782,3411850,National-Oilwell,,i,D,33.06,-0.76
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.3,0,2,2017-11-14T13:43:47-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:27:46-06:00,20000,-7.38,43.63,32.26,0.2,,NOV,,32.3,BATS,2016-12-12,32.31,0,2017-11-13,29.9,,380030,32.32,10000,+,100,164782,3411850,National-Oilwell,,i,D,33.06,-0.76
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:44:14-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:29:04-06:00,10000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.32,0,2017-11-13,29.9,,380030,32.33,20000,.,100,164982,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:44:36-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:29:04-06:00,10000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.32,0,2017-11-13,29.9,,380030,32.33,70000,.,100,164982,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.24,0,2,2017-11-14T13:45:03-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:29:04-06:00,20000,-7.38,43.63,32.26,0.2,,NOV,,32.32,BATS,2016-12-12,32.32,0,2017-11-13,29.9,,380030,32.33,50000,.,100,164982,3411850,National-Oilwell,,i,D,33.06,-0.74
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.15,0,2,2017-11-14T13:45:43-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:30:35-06:00,40000,-7.38,43.63,32.26,0.2,,NOV,,32.35,BATS,2016-12-12,32.34,0,2017-11-13,29.9,,380030,32.35,20000,+,100,165282,3411850,National-Oilwell,,i,D,33.06,-0.71
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.12,0,2,2017-11-14T13:46:14-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:31:13-06:00,20000,-7.38,43.63,32.26,0.2,,NOV,,32.36,BATS,2016-12-12,32.36,0,2017-11-13,29.9,,380030,32.38,25400,+,77,165559,3411850,National-Oilwell,,i,D,33.06,-0.7
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.12,0,2,2017-11-14T13:46:38-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:31:13-06:00,30000,-7.38,43.63,32.26,0.2,,NOV,,32.36,BATS,2016-12-12,32.36,0,2017-11-13,29.9,,380030,32.37,35400,+,77,165559,3411850,National-Oilwell,,i,D,33.06,-0.7
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.12,0,2,2017-11-14T13:47:24-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:32:07-06:00,20000,-7.38,43.63,32.26,0.2,,NOV,,32.36,BATS,2016-12-12,32.35,0,2017-11-13,29.9,,380030,32.36,20000,.,100,165813,3411850,National-Oilwell,,i,D,33.06,-0.7
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2.15,0,2,2017-11-14T13:47:53-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:32:45-06:00,30000,-7.38,43.63,32.26,0.2,,NOV,,32.35,BATS,2016-12-12,32.35,0,2017-11-13,29.9,,380030,32.36,10000,-,100,166013,3411850,National-Oilwell,,i,D,33.06,-0.71
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-2,0,2,2017-11-14T13:48:33-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:33:30-06:00,50000,-7.38,43.63,32.26,0.2,,NOV,,32.4,BATS,2016-12-12,32.4,0,2017-11-13,29.9,,380030,32.42,20000,.,7,166420,3411850,National-Oilwell,,i,D,33.06,-0.66
2016-11-14,3323542,33.06,,32.97,,2017-09-14,,-1.97,0,2,2017-11-14T13:49:08-06:00,0,32.93,0.6,2017-08-18,2017-11-14T14:34:08-06:00,10000,-7.38,43.63,32.26,0.2,,NOV,,32.41,BATS,2016-12-12,32.4,0,2017-11-13,29.9,,380030,32.41,40000,+,17,166437,3411850,National-Oilwell,,i,D,33.06,-0.65
