twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,4509743,67.93,,67.71,,2017-09-08,,-0.81,0,2,2017-11-14T13:35:12-06:00,0,67.63,4.52,2017-05-04,2017-11-14T14:19:45-06:00,22000,2.47,73.51,67.05,3.08,,OXY,,67.38,BATS,2016-12-16,67.37,0,2017-11-13,57.2,,765240,67.39,10000,.,100,133314,4574232,Occidental Petroleum Corp,,i,D,67.93,-0.55
2016-11-14,4509743,67.93,,67.71,,2017-09-08,,-0.81,0,2,2017-11-14T13:35:39-06:00,0,67.63,4.52,2017-05-04,2017-11-14T14:19:45-06:00,40000,2.47,73.51,67.05,3.08,,OXY,,67.38,BATS,2016-12-16,67.37,0,2017-11-13,57.2,,765240,67.39,10000,.,100,133314,4574232,Occidental Petroleum Corp,,i,D,67.93,-0.55
2016-11-14,4509743,67.93,,67.71,,2017-09-08,,-0.79,0,2,2017-11-14T13:36:04-06:00,0,67.63,4.52,2017-05-04,2017-11-14T14:20:56-06:00,20000,2.47,73.51,67.05,3.08,,OXY,,67.39,BATS,2016-12-16,67.37,0,2017-11-13,57.2,,765240,67.39,10000,+,100,133814,4574232,Occidental Petroleum Corp,,i,D,67.93,-0.54
2016-11-14,4509743,67.93,,67.71,,2017-09-08,,-0.81,0,2,2017-11-14T13:36:28-06:00,0,67.63,4.52,2017-05-04,2017-11-14T14:21:28-06:00,30000,2.47,73.51,67.05,3.08,,OXY,,67.38,BATS,2016-12-16,67.37,0,2017-11-13,57.2,,765240,67.39,10000,-,86,133900,4574232,Occidental Petroleum Corp,,i,D,67.93,-0.55
2016-11-14,4509743,67.93,,67.71,,2017-09-08,,-0.81,0,2,2017-11-14T13:36:51-06:00,0,67.63,4.52,2017-05-04,2017-11-14T14:21:28-06:00,20000,2.47,73.51,67.05,3.08,,OXY,,67.38,BATS,2016-12-16,67.37,0,2017-11-13,57.2,,765240,67.39,10000,-,86,133900,4574232,Occidental Petroleum Corp,,i,D,67.93,-0.55
2016-11-14,4509743,67.93,,67.71,,2017-09-08,,-0.81,0,2,2017-11-14T13:37:17-06:00,0,67.63,4.52,2017-05-04,2017-11-14T14:22:17-06:00,20000,2.47,73.51,67.05,3.08,,OXY,,67.38,BATS,2016-12-16,67.37,0,2017-11-13,57.2,,765240,67.39,10000,.,100,134000,4574232,Occidental Petroleum Corp,,i,D,67.93,-0.55
2016-11-14,4509743,67.93,,67.71,,2017-09-08,,-0.78,0,2,2017-11-14T13:37:40-06:00,0,67.63,4.52,2017-05-04,2017-11-14T14:22:37-06:00,20000,2.47,73.51,67.05,3.08,,OXY,,67.4,BATS,2016-12-16,67.4,0,2017-11-13,57.2,,765240,67.42,10000,.,100,134566,4574232,Occidental Petroleum Corp,,i,D,67.93,-0.53
2016-11-14,4509743,67.93,,67.71,,2017-09-08,,-0.78,0,2,2017-11-14T13:37:59-06:00,0,67.63,4.52,2017-05-04,2017-11-14T14:22:37-06:00,10000,2.47,73.51,67.05,3.08,,OXY,,67.4,BATS,2016-12-16,67.4,0,2017-11-13,57.2,,765240,67.42,20000,.,100,134566,4574232,Occidental Petroleum Corp,,i,D,67.93,-0.53
2016-11-14,4509743,67.93,,67.71,,2017-09-08,,-0.78,0,2,2017-11-14T13:38:29-06:00,0,67.63,4.52,2017-05-04,2017-11-14T14:23:21-06:00,20000,2.47,73.51,67.05,3.08,,OXY,,67.4,BATS,2016-12-16,67.39,0,2017-11-13,57.2,,765240,67.4,10000,.,100,134966,4574232,Occidental Petroleum Corp,,i,D,67.93,-0.53
2016-11-14,4509743,67.93,,67.71,,2017-09-08,,-0.81,0,2,2017-11-14T13:39:15-06:00,0,67.63,4.52,2017-05-04,2017-11-14T14:24:15-06:00,10000,2.47,73.51,67.05,3.08,,OXY,,67.38,BATS,2016-12-16,67.37,0,2017-11-13,57.2,,765240,67.38,10000,.,36,135566,4574232,Occidental Petroleum Corp,,i,D,67.93,-0.55
