twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-14,1818603,148.03,,149.05,,,,-1.23,0,2,2017-11-14T13:35:15-06:00,0,147.79,0,2016-12-22,2017-11-14T14:19:51-06:00,10000,54.89,167.85,145.45,0,,VRTX,,146.21,BATS,2017-07-25,145.8,0,2017-11-13,71.46,,252900,146.38,10000,.,6,36008,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.82
2016-11-14,1818603,148.03,,149.05,,,,-1.23,0,2,2017-11-14T13:35:41-06:00,0,147.79,0,2016-12-22,2017-11-14T14:19:51-06:00,20000,54.89,167.85,145.45,0,,VRTX,,146.21,BATS,2017-07-25,145.83,0,2017-11-13,71.46,,252900,146.8,100,.,6,36008,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.82
2016-11-14,1818603,148.03,,149.05,,,,-1.23,0,2,2017-11-14T13:36:04-06:00,0,147.79,0,2016-12-22,2017-11-14T14:19:51-06:00,10000,54.89,167.85,145.45,0,,VRTX,,146.21,BATS,2017-07-25,145.83,0,2017-11-13,71.46,,252900,146.8,100,.,6,36008,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.82
2016-11-14,1818603,148.03,,149.05,,,,-1.23,0,2,2017-11-14T13:36:33-06:00,0,147.79,0,2016-12-22,2017-11-14T14:19:51-06:00,100,54.89,167.85,145.45,0,,VRTX,,146.21,BATS,2017-07-25,145.84,0,2017-11-13,71.46,,252900,146.7,10000,.,6,36008,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.82
2016-11-14,1818603,148.03,,149.05,,,,-1.23,0,2,2017-11-14T13:36:56-06:00,0,147.79,0,2016-12-22,2017-11-14T14:19:51-06:00,10000,54.89,167.85,145.45,0,,VRTX,,146.21,BATS,2017-07-25,145.85,0,2017-11-13,71.46,,252900,146.28,10000,.,6,36008,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.82
2016-11-14,1818603,148.03,,149.05,,,,-1.23,0,2,2017-11-14T13:37:20-06:00,0,147.79,0,2016-12-22,2017-11-14T14:19:51-06:00,20000,54.89,167.85,145.45,0,,VRTX,,146.21,BATS,2017-07-25,146.19,0,2017-11-13,71.46,,252900,146.8,1000,.,6,36008,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.82
2016-11-14,1818603,148.03,,149.05,,,,-1.23,0,2,2017-11-14T13:37:45-06:00,0,147.79,0,2016-12-22,2017-11-14T14:19:51-06:00,10000,54.89,167.85,145.45,0,,VRTX,,146.21,BATS,2017-07-25,145.8,0,2017-11-13,71.46,,252900,146.35,10000,.,6,36008,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.82
2016-11-14,1818603,148.03,,149.05,,,,-1.23,0,2,2017-11-14T13:38:02-06:00,0,147.79,0,2016-12-22,2017-11-14T14:19:51-06:00,100,54.89,167.85,145.45,0,,VRTX,,146.21,BATS,2017-07-25,145.8,0,2017-11-13,71.46,,252900,146.65,10000,.,6,36008,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.82
2016-11-14,1818603,148.03,,149.05,,,,-1.23,0,2,2017-11-14T13:38:35-06:00,0,147.79,0,2016-12-22,2017-11-14T14:19:51-06:00,10000,54.89,167.85,145.45,0,,VRTX,,146.21,BATS,2017-07-25,145.8,0,2017-11-13,71.46,,252900,146.33,20000,.,6,36008,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.82
2016-11-14,1818603,148.03,,149.05,,,,-1.2,0,2,2017-11-14T13:39:23-06:00,0,147.79,0,2016-12-22,2017-11-14T14:24:21-06:00,100,54.89,167.85,145.45,0,,VRTX,,146.25,BATS,2017-07-25,145.8,0,2017-11-13,71.46,,252900,146.67,10000,+,100,36108,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.78
2016-11-14,1818603,148.03,,149.05,,,,-1.2,0,2,2017-11-14T13:39:51-06:00,0,147.79,0,2016-12-22,2017-11-14T14:24:21-06:00,100,54.89,167.85,145.45,0,,VRTX,,146.25,BATS,2017-07-25,146.23,0,2017-11-13,71.46,,252900,146.73,10000,+,100,36108,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.78
2016-11-14,1818603,148.03,,149.05,,,,-1.2,0,2,2017-11-14T13:40:03-06:00,0,147.79,0,2016-12-22,2017-11-14T14:24:21-06:00,100,54.89,167.85,145.45,0,,VRTX,,146.25,BATS,2017-07-25,146.23,0,2017-11-13,71.46,,252900,146.73,10000,+,100,36108,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.78
2016-11-14,1818603,148.03,,149.05,,,,-1.16,0,2,2017-11-14T13:40:53-06:00,0,147.79,0,2016-12-22,2017-11-14T14:25:22-06:00,10100,54.89,167.85,145.45,0,,VRTX,,146.32,BATS,2017-07-25,145.82,0,2017-11-13,71.46,,252900,146.8,10000,+,100,36208,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.71
2016-11-14,1818603,148.03,,149.05,,,,-1.16,0,2,2017-11-14T13:41:11-06:00,0,147.79,0,2016-12-22,2017-11-14T14:25:22-06:00,10000,54.89,167.85,145.45,0,,VRTX,,146.32,BATS,2017-07-25,145.95,0,2017-11-13,71.46,,252900,146.39,100,+,100,36208,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.71
2016-11-14,1818603,148.03,,149.05,,,,-1.16,0,2,2017-11-14T13:41:38-06:00,0,147.79,0,2016-12-22,2017-11-14T14:25:22-06:00,10000,54.89,167.85,145.45,0,,VRTX,,146.32,BATS,2017-07-25,145.88,0,2017-11-13,71.46,,252900,146.8,100,+,100,36208,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.71
2016-11-14,1818603,148.03,,149.05,,,,-1.16,0,2,2017-11-14T13:42:10-06:00,0,147.79,0,2016-12-22,2017-11-14T14:25:22-06:00,10000,54.89,167.85,145.45,0,,VRTX,,146.32,BATS,2017-07-25,145.88,0,2017-11-13,71.46,,252900,146.8,100,+,100,36208,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.71
2016-11-14,1818603,148.03,,149.05,,,,-1.16,0,2,2017-11-14T13:42:10-06:00,0,147.79,0,2016-12-22,2017-11-14T14:25:22-06:00,10000,54.89,167.85,145.45,0,,VRTX,,146.32,BATS,2017-07-25,145.88,0,2017-11-13,71.46,,252900,146.8,100,+,100,36208,1700761,Vertex Pharmaceutic,,i,D,148.03,-1.71
