twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,1067477,45.23,,45.42,,2017-08-16,,-0.69,0,2,2017-11-15T12:18:22-06:00,0,45.42,3.17,2016-11-22,2017-11-15T13:01:10-06:00,10000,9.43,46.85,44.71,1.44,,AIV,,44.92,BATS,2017-02-28,44.91,0,2017-11-14,39.66,,157020,44.92,1900,.,100,18058,866985,Apartment Investment and Management,,i,E,45.23,-0.31
2016-11-15,1067477,45.23,,45.42,,2017-08-16,,-0.69,0,2,2017-11-15T12:18:22-06:00,0,45.42,3.17,2016-11-22,2017-11-15T13:01:10-06:00,10000,9.43,46.85,44.71,1.44,,AIV,,44.92,BATS,2017-02-28,44.91,0,2017-11-14,39.66,,157020,44.92,1900,.,100,18058,866985,Apartment Investment and Management,,i,E,45.23,-0.31
2016-11-15,1067477,45.23,,45.42,,2017-08-16,,-0.69,0,2,2017-11-15T12:18:22-06:00,0,45.42,3.17,2016-11-22,2017-11-15T13:01:10-06:00,10000,9.43,46.85,44.71,1.44,,AIV,,44.92,BATS,2017-02-28,44.91,0,2017-11-14,39.66,,157020,44.92,1900,.,100,18058,866985,Apartment Investment and Management,,i,E,45.23,-0.31
2016-11-15,1067477,45.23,,45.42,,2017-08-16,,-0.73,0,2,2017-11-15T12:20:05-06:00,0,45.42,3.17,2016-11-22,2017-11-15T13:04:46-06:00,10000,9.43,46.85,44.71,1.44,,AIV,,44.9,BATS,2017-02-28,44.78,0,2017-11-14,39.66,,157020,44.9,10000,.,100,18377,866985,Apartment Investment and Management,,i,E,45.23,-0.33
2016-11-15,1067477,45.23,,45.42,,2017-08-16,,-0.73,0,2,2017-11-15T12:20:38-06:00,0,45.42,3.17,2016-11-22,2017-11-15T13:04:46-06:00,30000,9.43,46.85,44.71,1.44,,AIV,,44.9,BATS,2017-02-28,44.72,0,2017-11-14,39.66,,157020,44.88,10000,.,100,18377,866985,Apartment Investment and Management,,i,E,45.23,-0.33
2016-11-15,1067477,45.23,,45.42,,2017-08-16,,-0.73,0,2,2017-11-15T12:21:02-06:00,0,45.42,3.17,2016-11-22,2017-11-15T13:04:46-06:00,10000,9.43,46.85,44.71,1.44,,AIV,,44.9,BATS,2017-02-28,44.8,0,2017-11-14,39.66,,157020,44.87,10000,.,100,18377,866985,Apartment Investment and Management,,i,E,45.23,-0.33
2016-11-15,1067477,45.23,,45.42,,2017-08-16,,-0.73,0,2,2017-11-15T12:21:02-06:00,0,45.42,3.17,2016-11-22,2017-11-15T13:04:46-06:00,10000,9.43,46.85,44.71,1.44,,AIV,,44.9,BATS,2017-02-28,44.8,0,2017-11-14,39.66,,157020,44.87,10000,.,100,18377,866985,Apartment Investment and Management,,i,E,45.23,-0.33
2016-11-15,1067477,45.23,,45.42,,2017-08-16,,-0.73,0,2,2017-11-15T12:22:01-06:00,0,45.42,3.17,2016-11-22,2017-11-15T13:04:46-06:00,10000,9.43,46.85,44.71,1.44,,AIV,,44.9,BATS,2017-02-28,44.82,0,2017-11-14,39.66,,157020,44.87,10000,.,100,18377,866985,Apartment Investment and Management,,i,E,45.23,-0.33
2016-11-15,1067477,45.23,,45.42,,2017-08-16,,-0.73,0,2,2017-11-15T12:22:39-06:00,0,45.42,3.17,2016-11-22,2017-11-15T13:04:46-06:00,50000,9.43,46.85,44.71,1.44,,AIV,,44.9,BATS,2017-02-28,44.82,0,2017-11-14,39.66,,157020,44.86,10000,.,100,18377,866985,Apartment Investment and Management,,i,E,45.23,-0.33
2016-11-15,1067477,45.23,,45.42,,2017-08-16,,-0.73,0,2,2017-11-15T12:22:49-06:00,0,45.42,3.17,2016-11-22,2017-11-15T13:04:46-06:00,40000,9.43,46.85,44.71,1.44,,AIV,,44.9,BATS,2017-02-28,44.82,0,2017-11-14,39.66,,157020,44.86,10000,.,100,18377,866985,Apartment Investment and Management,,i,E,45.23,-0.33
