twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,4713070,38.07,,38.32,,2017-10-31,,0.39,0,2,2017-11-15T12:18:36-06:00,0,37.57,1.94,2016-11-16,2017-11-15T13:03:16-06:00,20000,23.67,39.75,37.47,0.72,,CFG,,38.22,BATS,2017-03-01,38.21,0,2017-11-14,30.26,,491990,38.22,60000,.,76,194349,4447566,Citizens Financial Group Inc/Ri,,i,E,38.07,0.15
2016-11-15,4713070,38.07,,38.32,,2017-10-31,,0.45,0,2,2017-11-15T12:18:59-06:00,0,37.57,1.94,2016-11-16,2017-11-15T13:03:44-06:00,30000,23.67,39.75,37.47,0.72,,CFG,,38.24,BATS,2017-03-01,38.24,0,2017-11-14,30.26,,491990,38.25,30000,.,61,195910,4447566,Citizens Financial Group Inc/Ri,,i,E,38.07,0.17
2016-11-15,4713070,38.07,,38.32,,2017-10-31,,0.53,0,2,2017-11-15T12:19:46-06:00,0,37.57,1.94,2016-11-16,2017-11-15T13:04:46-06:00,30000,23.67,39.75,37.47,0.72,,CFG,,38.27,BATS,2017-03-01,38.27,0,2017-11-14,30.26,,491990,38.28,40000,.,100,198582,4447566,Citizens Financial Group Inc/Ri,,i,E,38.07,0.2
2016-11-15,4713070,38.07,,38.32,,2017-10-31,,0.53,0,2,2017-11-15T12:20:10-06:00,0,37.57,1.94,2016-11-16,2017-11-15T13:04:46-06:00,50000,23.67,39.75,37.47,0.72,,CFG,,38.27,BATS,2017-03-01,38.27,0,2017-11-14,30.26,,491990,38.29,30000,.,100,198582,4447566,Citizens Financial Group Inc/Ri,,i,E,38.07,0.2
2016-11-15,4713070,38.07,,38.32,,2017-10-31,,0.55,0,2,2017-11-15T12:20:42-06:00,0,37.57,1.94,2016-11-16,2017-11-15T13:05:41-06:00,10000,23.67,39.75,37.47,0.72,,CFG,,38.28,BATS,2017-03-01,38.27,0,2017-11-14,30.26,,491990,38.28,20000,.,100,199282,4447566,Citizens Financial Group Inc/Ri,,i,E,38.07,0.21
2016-11-15,4713070,38.07,,38.32,,2017-10-31,,0.5,0,2,2017-11-15T12:21:25-06:00,0,37.57,1.94,2016-11-16,2017-11-15T13:05:50-06:00,40000,23.67,39.75,37.47,0.72,,CFG,,38.26,BATS,2017-03-01,38.25,0,2017-11-14,30.26,,491990,38.26,10000,-,1,199383,4447566,Citizens Financial Group Inc/Ri,,i,E,38.07,0.19
2016-11-15,4713070,38.07,,38.32,,2017-10-31,,0.5,0,2,2017-11-15T12:21:50-06:00,0,37.57,1.94,2016-11-16,2017-11-15T13:05:50-06:00,30000,23.67,39.75,37.47,0.72,,CFG,,38.26,BATS,2017-03-01,38.25,0,2017-11-14,30.26,,491990,38.26,10000,-,1,199383,4447566,Citizens Financial Group Inc/Ri,,i,E,38.07,0.19
2016-11-15,4713070,38.07,,38.32,,2017-10-31,,0.47,0,2,2017-11-15T12:22:23-06:00,0,37.57,1.94,2016-11-16,2017-11-15T13:07:00-06:00,40000,23.67,39.75,37.47,0.72,,CFG,,38.25,BATS,2017-03-01,38.23,0,2017-11-14,30.26,,491990,38.24,7500,-,5,199388,4447566,Citizens Financial Group Inc/Ri,,i,E,38.07,0.18
2016-11-15,4713070,38.07,,38.32,,2017-10-31,,0.47,0,2,2017-11-15T12:22:45-06:00,0,37.57,1.94,2016-11-16,2017-11-15T13:07:00-06:00,30000,23.67,39.75,37.47,0.72,,CFG,,38.25,BATS,2017-03-01,38.2,0,2017-11-14,30.26,,491990,38.22,10000,-,5,199388,4447566,Citizens Financial Group Inc/Ri,,i,E,38.07,0.18
2016-11-15,4713070,38.07,,38.32,,2017-10-31,,0.47,0,2,2017-11-15T12:23:07-06:00,0,37.57,1.94,2016-11-16,2017-11-15T13:07:00-06:00,30400,23.67,39.75,37.47,0.72,,CFG,,38.25,BATS,2017-03-01,38.19,0,2017-11-14,30.26,,491990,38.2,17500,-,5,199388,4447566,Citizens Financial Group Inc/Ri,,i,E,38.07,0.18
