twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,7199570,51.23,,51.17,,2017-10-13,,-0.7,0,2,2017-11-15T12:18:39-06:00,0,50.57,2.02,2017-08-21,2017-11-15T13:03:37-06:00,20000,12.43,54.22,49.95,1.06,,COP,,50.87,BATS,2017-11-08,50.87,0,2017-11-14,42.26,,1195520,50.88,30000,.,100,325744,6650564,Conocophillips,,i,E,51.23,-0.36
2016-11-15,7199570,51.23,,51.17,,2017-10-13,,-0.68,0,2,2017-11-15T12:19:01-06:00,0,50.57,2.02,2017-08-21,2017-11-15T13:03:42-06:00,20000,12.43,54.22,49.95,1.06,,COP,,50.88,BATS,2017-11-08,50.88,0,2017-11-14,42.26,,1195520,50.89,30000,.,200,326469,6650564,Conocophillips,,i,E,51.23,-0.35
2016-11-15,7199570,51.23,,51.17,,2017-10-13,,-0.64,0,2,2017-11-15T12:19:41-06:00,0,50.57,2.02,2017-08-21,2017-11-15T13:04:36-06:00,20000,12.43,54.22,49.95,1.06,,COP,,50.9,BATS,2017-11-08,50.9,0,2017-11-14,42.26,,1195520,50.91,50000,+,100,326769,6650564,Conocophillips,,i,E,51.23,-0.33
2016-11-15,7199570,51.23,,51.17,,2017-10-13,,-0.62,0,2,2017-11-15T12:20:08-06:00,0,50.57,2.02,2017-08-21,2017-11-15T13:05:01-06:00,30000,12.43,54.22,49.95,1.06,,COP,,50.91,BATS,2017-11-08,50.9,0,2017-11-14,42.26,,1195520,50.91,30000,.,34,327069,6650564,Conocophillips,,i,E,51.23,-0.32
2016-11-15,7199570,51.23,,51.17,,2017-10-13,,-0.64,0,2,2017-11-15T12:20:47-06:00,0,50.57,2.02,2017-08-21,2017-11-15T13:05:15-06:00,20000,12.43,54.22,49.95,1.06,,COP,,50.9,BATS,2017-11-08,50.89,0,2017-11-14,42.26,,1195520,50.9,32500,.,200,327869,6650564,Conocophillips,,i,E,51.23,-0.33
2016-11-15,7199570,51.23,,51.17,,2017-10-13,,-0.68,0,2,2017-11-15T12:21:29-06:00,0,50.57,2.02,2017-08-21,2017-11-15T13:06:19-06:00,20000,12.43,54.22,49.95,1.06,,COP,,50.88,BATS,2017-11-08,50.88,0,2017-11-14,42.26,,1195520,50.9,30000,.,100,328226,6650564,Conocophillips,,i,E,51.23,-0.35
2016-11-15,7199570,51.23,,51.17,,2017-10-13,,-0.68,0,2,2017-11-15T12:21:54-06:00,0,50.57,2.02,2017-08-21,2017-11-15T13:06:19-06:00,20000,12.43,54.22,49.95,1.06,,COP,,50.88,BATS,2017-11-08,50.88,0,2017-11-14,42.26,,1195520,50.89,30000,.,100,328226,6650564,Conocophillips,,i,E,51.23,-0.35
2016-11-15,7199570,51.23,,51.17,,2017-10-13,,-0.68,0,2,2017-11-15T12:22:23-06:00,0,50.57,2.02,2017-08-21,2017-11-15T13:07:21-06:00,50000,12.43,54.22,49.95,1.06,,COP,,50.88,BATS,2017-11-08,50.88,0,2017-11-14,42.26,,1195520,50.89,20000,.,100,328526,6650564,Conocophillips,,i,E,51.23,-0.35
2016-11-15,7199570,51.23,,51.17,,2017-10-13,,-0.7,0,2,2017-11-15T12:22:45-06:00,0,50.57,2.02,2017-08-21,2017-11-15T13:07:45-06:00,60000,12.43,54.22,49.95,1.06,,COP,,50.87,BATS,2017-11-08,50.86,0,2017-11-14,42.26,,1195520,50.88,20000,-,100,328626,6650564,Conocophillips,,i,E,51.23,-0.36
2016-11-15,7199570,51.23,,51.17,,2017-10-13,,-0.7,0,2,2017-11-15T12:23:07-06:00,0,50.57,2.02,2017-08-21,2017-11-15T13:07:45-06:00,30000,12.43,54.22,49.95,1.06,,COP,,50.87,BATS,2017-11-08,50.86,0,2017-11-14,42.26,,1195520,50.87,10000,-,100,328626,6650564,Conocophillips,,i,E,51.23,-0.36
2016-11-15,7199570,51.23,,51.17,,2017-10-13,,-0.74,0,2,2017-11-15T12:23:22-06:00,0,50.57,2.02,2017-08-21,2017-11-15T13:08:14-06:00,30000,12.43,54.22,49.95,1.06,,COP,,50.85,BATS,2017-11-08,50.82,0,2017-11-14,42.26,,1195520,50.83,20000,-,100,328726,6650564,Conocophillips,,i,E,51.23,-0.38
2016-11-15,7199570,51.23,,51.17,,2017-10-13,,-0.78,0,2,2017-11-15T12:23:47-06:00,0,50.57,2.02,2017-08-21,2017-11-15T13:08:41-06:00,30000,12.43,54.22,49.95,1.06,,COP,,50.83,BATS,2017-11-08,50.83,0,2017-11-14,42.26,,1195520,50.84,30000,-,200,328926,6650564,Conocophillips,,i,E,51.23,-0.4
