twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.94,0,2,2017-11-15T12:18:40-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:03:39-06:00,30000,30.87,42.67,41.78,1.31,,EXC,,41.99,BATS,2017-11-15,41.98,0,2017-11-14,31.16,,960090,41.99,40000,.,14,166310,4381399,Exelon Corp,,i,E,42.39,-0.4
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.97,0,2,2017-11-15T12:19:01-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:04:01-06:00,50700,30.87,42.67,41.78,1.31,,EXC,,41.98,BATS,2017-11-15,41.97,0,2017-11-14,31.16,,960090,41.98,50000,-,100,166510,4381399,Exelon Corp,,i,E,42.39,-0.41
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.99,0,2,2017-11-15T12:19:29-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:04:26-06:00,30000,30.87,42.67,41.78,1.31,,EXC,,41.97,BATS,2017-11-15,41.96,0,2017-11-14,31.16,,960090,41.97,40000,.,100,167010,4381399,Exelon Corp,,i,E,42.39,-0.42
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.99,0,2,2017-11-15T12:20:10-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:04:53-06:00,20000,30.87,42.67,41.78,1.31,,EXC,,41.97,BATS,2017-11-15,41.96,0,2017-11-14,31.16,,960090,41.97,40000,.,100,167210,4381399,Exelon Corp,,i,E,42.39,-0.42
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.99,0,2,2017-11-15T12:20:47-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:05:15-06:00,40000,30.87,42.67,41.78,1.31,,EXC,,41.97,BATS,2017-11-15,41.96,0,2017-11-14,31.16,,960090,41.98,100000,.,100,167310,4381399,Exelon Corp,,i,E,42.39,-0.42
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.97,0,2,2017-11-15T12:21:29-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:06:27-06:00,140000,30.87,42.67,41.78,1.31,,EXC,,41.98,BATS,2017-11-15,41.98,0,2017-11-14,31.16,,960090,41.99,40000,+,100,167610,4381399,Exelon Corp,,i,E,42.39,-0.41
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.94,0,2,2017-11-15T12:21:56-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:06:56-06:00,30000,30.87,42.67,41.78,1.31,,EXC,,41.99,BATS,2017-11-15,41.99,0,2017-11-14,31.16,,960090,42,19400,-,6,167817,4381399,Exelon Corp,,i,E,42.39,-0.4
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.94,0,2,2017-11-15T12:22:03-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:06:56-06:00,40000,30.87,42.67,41.78,1.31,,EXC,,41.99,BATS,2017-11-15,41.99,0,2017-11-14,31.16,,960090,42,52800,-,6,167817,4381399,Exelon Corp,,i,E,42.39,-0.4
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-1.01,0,2,2017-11-15T12:22:45-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:07:44-06:00,50000,30.87,42.67,41.78,1.31,,EXC,,41.96,BATS,2017-11-15,41.96,0,2017-11-14,31.16,,960090,41.97,50000,.,164,169451,4381399,Exelon Corp,,i,E,42.39,-0.43
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-1.01,0,2,2017-11-15T12:23:04-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:07:44-06:00,30000,30.87,42.67,41.78,1.31,,EXC,,41.96,BATS,2017-11-15,41.96,0,2017-11-14,31.16,,960090,41.97,30000,.,164,169451,4381399,Exelon Corp,,i,E,42.39,-0.43
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.99,0,2,2017-11-15T12:23:26-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:08:25-06:00,50000,30.87,42.67,41.78,1.31,,EXC,,41.97,BATS,2017-11-15,41.97,0,2017-11-14,31.16,,960090,41.98,60700,+,100,169551,4381399,Exelon Corp,,i,E,42.39,-0.42
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.97,0,2,2017-11-15T12:23:46-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:08:40-06:00,30000,30.87,42.67,41.78,1.31,,EXC,,41.98,BATS,2017-11-15,41.97,0,2017-11-14,31.16,,960090,41.98,60700,.,100,169751,4381399,Exelon Corp,,i,E,42.39,-0.41
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.97,0,2,2017-11-15T12:24:12-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:08:40-06:00,40000,30.87,42.67,41.78,1.31,,EXC,,41.98,BATS,2017-11-15,41.97,0,2017-11-14,31.16,,960090,41.98,50000,.,100,169751,4381399,Exelon Corp,,i,E,42.39,-0.41
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.97,0,2,2017-11-15T12:24:34-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:08:40-06:00,30000,30.87,42.67,41.78,1.31,,EXC,,41.98,BATS,2017-11-15,41.97,0,2017-11-14,31.16,,960090,41.98,30000,.,100,169751,4381399,Exelon Corp,,i,E,42.39,-0.41
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.94,0,2,2017-11-15T12:24:58-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:09:44-06:00,70000,30.87,42.67,41.78,1.31,,EXC,,41.99,BATS,2017-11-15,41.97,0,2017-11-14,31.16,,960090,41.99,20000,.,100,170296,4381399,Exelon Corp,,i,E,42.39,-0.4
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.97,0,2,2017-11-15T12:25:21-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:10:00-06:00,30000,30.87,42.67,41.78,1.31,,EXC,,41.98,BATS,2017-11-15,41.98,0,2017-11-14,31.16,,960090,41.99,40000,.,18,170314,4381399,Exelon Corp,,i,E,42.39,-0.41
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.92,0,2,2017-11-15T12:25:45-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:10:29-06:00,30000,30.87,42.67,41.78,1.31,,EXC,,42,BATS,2017-11-15,42,0,2017-11-14,31.16,,960090,42.01,40000,.,100,170619,4381399,Exelon Corp,,i,E,42.39,-0.39
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.92,0,2,2017-11-15T12:25:51-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:10:29-06:00,20000,30.87,42.67,41.78,1.31,,EXC,,42,BATS,2017-11-15,42,0,2017-11-14,31.16,,960090,42.01,40000,.,100,170619,4381399,Exelon Corp,,i,E,42.39,-0.39
2016-11-15,4853462,42.39,,42.66,,2017-11-14,,-0.92,0,2,2017-11-15T12:26:52-06:00,0,42.48,3.11,2016-11-16,2017-11-15T13:10:29-06:00,30000,30.87,42.67,41.78,1.31,,EXC,,42,BATS,2017-11-15,42,0,2017-11-14,31.16,,960090,42.01,30000,.,100,170619,4381399,Exelon Corp,,i,E,42.39,-0.39
