twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,2724134,34.47,,34.8,,2017-11-13,,0.67,0,2,2017-11-15T12:18:26-06:00,0,34.11,3.36,2017-01-31,2017-11-15T13:03:23-06:00,30000,7.43,37.75,33.97,1.16,,IVZ,,34.7,BATS,2017-10-26,34.7,0,2017-11-14,28.75,,407080,34.72,50000,.,100,346195,2270918,Invesco Plc,,i,E,34.47,0.23
2016-11-15,2724134,34.47,,34.8,,2017-11-13,,0.67,0,2,2017-11-15T12:19:22-06:00,0,34.11,3.36,2017-01-31,2017-11-15T13:03:23-06:00,20000,7.43,37.75,33.97,1.16,,IVZ,,34.7,BATS,2017-10-26,34.71,0,2017-11-14,28.75,,407080,34.72,40000,.,100,346195,2270918,Invesco Plc,,i,E,34.47,0.23
2016-11-15,2724134,34.47,,34.8,,2017-11-13,,0.67,0,2,2017-11-15T12:19:30-06:00,0,34.11,3.36,2017-01-31,2017-11-15T13:03:23-06:00,10000,7.43,37.75,33.97,1.16,,IVZ,,34.7,BATS,2017-10-26,34.7,0,2017-11-14,28.75,,407080,34.71,30000,.,100,346195,2270918,Invesco Plc,,i,E,34.47,0.23
2016-11-15,2724134,34.47,,34.8,,2017-11-13,,0.67,0,2,2017-11-15T12:20:15-06:00,0,34.11,3.36,2017-01-31,2017-11-15T13:05:04-06:00,40000,7.43,37.75,33.97,1.16,,IVZ,,34.7,BATS,2017-10-26,34.71,0,2017-11-14,28.75,,407080,34.72,10000,+,100,346995,2270918,Invesco Plc,,i,E,34.47,0.23
2016-11-15,2724134,34.47,,34.8,,2017-11-13,,0.7,0,2,2017-11-15T12:20:51-06:00,0,34.11,3.36,2017-01-31,2017-11-15T13:05:31-06:00,60000,7.43,37.75,33.97,1.16,,IVZ,,34.71,BATS,2017-10-26,34.68,0,2017-11-14,28.75,,407080,34.7,28000,+,1,346996,2270918,Invesco Plc,,i,E,34.47,0.24
2016-11-15,2724134,34.47,,34.8,,2017-11-13,,0.64,0,2,2017-11-15T12:21:32-06:00,0,34.11,3.36,2017-01-31,2017-11-15T13:05:52-06:00,10000,7.43,37.75,33.97,1.16,,IVZ,,34.69,BATS,2017-10-26,34.69,0,2017-11-14,28.75,,407080,34.7,30000,-,100,347096,2270918,Invesco Plc,,i,E,34.47,0.22
2016-11-15,2724134,34.47,,34.8,,2017-11-13,,0.64,0,2,2017-11-15T12:22:00-06:00,0,34.11,3.36,2017-01-31,2017-11-15T13:05:52-06:00,10000,7.43,37.75,33.97,1.16,,IVZ,,34.69,BATS,2017-10-26,34.69,0,2017-11-14,28.75,,407080,34.7,30000,-,100,347096,2270918,Invesco Plc,,i,E,34.47,0.22
2016-11-15,2724134,34.47,,34.8,,2017-11-13,,0.64,0,2,2017-11-15T12:22:27-06:00,0,34.11,3.36,2017-01-31,2017-11-15T13:05:52-06:00,20000,7.43,37.75,33.97,1.16,,IVZ,,34.69,BATS,2017-10-26,34.69,0,2017-11-14,28.75,,407080,34.7,30000,-,100,347096,2270918,Invesco Plc,,i,E,34.47,0.22
2016-11-15,2724134,34.47,,34.8,,2017-11-13,,0.64,0,2,2017-11-15T12:22:49-06:00,0,34.11,3.36,2017-01-31,2017-11-15T13:05:52-06:00,20000,7.43,37.75,33.97,1.16,,IVZ,,34.69,BATS,2017-10-26,34.69,0,2017-11-14,28.75,,407080,34.7,40000,-,100,347096,2270918,Invesco Plc,,i,E,34.47,0.22
2016-11-15,2724134,34.47,,34.8,,2017-11-13,,0.64,0,2,2017-11-15T12:23:07-06:00,0,34.11,3.36,2017-01-31,2017-11-15T13:05:52-06:00,20000,7.43,37.75,33.97,1.16,,IVZ,,34.69,BATS,2017-10-26,34.69,0,2017-11-14,28.75,,407080,34.7,40000,-,100,347096,2270918,Invesco Plc,,i,E,34.47,0.22
