twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,813674,57.94,,57.95,,2017-10-12,,-0.22,0,2,2017-11-15T12:18:27-06:00,0,57.5,1,2017-08-21,2017-11-15T13:02:24-06:00,10000,-2.26,63.42,57.37,0.6,,JEC,,57.81,BATS,2016-11-30,57.81,0,2017-11-14,49.31,,120320,57.92,10000,+,100,10269,511925,Jacobs Engineering Group Inc,,i,E,57.94,-0.13
2016-11-15,813674,57.94,,57.95,,2017-10-12,,-0.16,0,2,2017-11-15T12:19:03-06:00,0,57.5,1,2017-08-21,2017-11-15T13:04:03-06:00,10000,-2.26,63.42,57.37,0.6,,JEC,,57.85,BATS,2016-11-30,57.81,0,2017-11-14,49.31,,120320,57.92,10000,+,49,10318,511925,Jacobs Engineering Group Inc,,i,E,57.94,-0.09
2016-11-15,813674,57.94,,57.95,,2017-10-12,,-0.16,0,2,2017-11-15T12:19:48-06:00,0,57.5,1,2017-08-21,2017-11-15T13:04:03-06:00,10000,-2.26,63.42,57.37,0.6,,JEC,,57.85,BATS,2016-11-30,57.81,0,2017-11-14,49.31,,120320,58.05,10000,+,49,10318,511925,Jacobs Engineering Group Inc,,i,E,57.94,-0.09
2016-11-15,813674,57.94,,57.95,,2017-10-12,,-0.16,0,2,2017-11-15T12:20:03-06:00,0,57.5,1,2017-08-21,2017-11-15T13:04:03-06:00,10000,-2.26,63.42,57.37,0.6,,JEC,,57.85,BATS,2016-11-30,57.81,0,2017-11-14,49.31,,120320,58.06,10000,+,49,10318,511925,Jacobs Engineering Group Inc,,i,E,57.94,-0.09
2016-11-15,813674,57.94,,57.95,,2017-10-12,,-0.16,0,2,2017-11-15T12:20:51-06:00,0,57.5,1,2017-08-21,2017-11-15T13:04:03-06:00,10000,-2.26,63.42,57.37,0.6,,JEC,,57.85,BATS,2016-11-30,57.83,0,2017-11-14,49.31,,120320,58.06,10000,+,49,10318,511925,Jacobs Engineering Group Inc,,i,E,57.94,-0.09
2016-11-15,813674,57.94,,57.95,,2017-10-12,,-0.19,0,2,2017-11-15T12:21:22-06:00,0,57.5,1,2017-08-21,2017-11-15T13:06:19-06:00,10000,-2.26,63.42,57.37,0.6,,JEC,,57.83,BATS,2016-11-30,57.78,0,2017-11-14,49.31,,120320,57.91,30000,-,100,10418,511925,Jacobs Engineering Group Inc,,i,E,57.94,-0.11
2016-11-15,813674,57.94,,57.95,,2017-10-12,,-0.19,0,2,2017-11-15T12:21:49-06:00,0,57.5,1,2017-08-21,2017-11-15T13:06:19-06:00,10000,-2.26,63.42,57.37,0.6,,JEC,,57.83,BATS,2016-11-30,57.78,0,2017-11-14,49.31,,120320,57.91,20000,-,100,10418,511925,Jacobs Engineering Group Inc,,i,E,57.94,-0.11
2016-11-15,813674,57.94,,57.95,,2017-10-12,,-0.19,0,2,2017-11-15T12:22:05-06:00,0,57.5,1,2017-08-21,2017-11-15T13:06:19-06:00,10000,-2.26,63.42,57.37,0.6,,JEC,,57.83,BATS,2016-11-30,57.78,0,2017-11-14,49.31,,120320,57.91,10000,-,100,10418,511925,Jacobs Engineering Group Inc,,i,E,57.94,-0.11
2016-11-15,813674,57.94,,57.95,,2017-10-12,,-0.19,0,2,2017-11-15T12:22:40-06:00,0,57.5,1,2017-08-21,2017-11-15T13:06:19-06:00,10000,-2.26,63.42,57.37,0.6,,JEC,,57.83,BATS,2016-11-30,57.58,0,2017-11-14,49.31,,120320,57.91,10000,-,100,10418,511925,Jacobs Engineering Group Inc,,i,E,57.94,-0.11
2016-11-15,813674,57.94,,57.95,,2017-10-12,,-0.19,0,2,2017-11-15T12:23:10-06:00,0,57.5,1,2017-08-21,2017-11-15T13:06:19-06:00,10000,-2.26,63.42,57.37,0.6,,JEC,,57.83,BATS,2016-11-30,57.74,0,2017-11-14,49.31,,120320,58.03,10000,-,100,10418,511925,Jacobs Engineering Group Inc,,i,E,57.94,-0.11
2016-11-15,813674,57.94,,57.95,,2017-10-12,,-0.35,0,2,2017-11-15T12:23:23-06:00,0,57.5,1,2017-08-21,2017-11-15T13:08:20-06:00,10000,-2.26,63.42,57.37,0.6,,JEC,,57.74,BATS,2016-11-30,57.7,0,2017-11-14,49.31,,120320,57.84,10000,.,2,10518,511925,Jacobs Engineering Group Inc,,i,E,57.94,-0.2
2016-11-15,813674,57.94,,57.95,,2017-10-12,,-0.28,0,2,2017-11-15T12:23:43-06:00,0,57.5,1,2017-08-21,2017-11-15T13:08:43-06:00,10000,-2.26,63.42,57.37,0.6,,JEC,,57.78,BATS,2016-11-30,57.74,0,2017-11-14,49.31,,120320,57.84,10000,+,100,10618,511925,Jacobs Engineering Group Inc,,i,E,57.94,-0.16
