twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,1791595,114.55,,114.88,,2017-09-07,,-0.27,0,2,2017-11-15T12:18:34-06:00,0,114.55,3.36,2017-11-07,2017-11-15T13:03:30-06:00,10000,0.3,136.21,113.88,3.88,,KMB,,114.24,BATS,2017-02-22,114.18,0,2017-11-14,109.67,,351760,114.23,10000,.,100,52189,2367137,Kimberly-Clark Corp,,i,E,114.55,-0.31
2016-11-15,1791595,114.55,,114.88,,2017-09-07,,-0.28,0,2,2017-11-15T12:19:00-06:00,0,114.55,3.36,2017-11-07,2017-11-15T13:03:59-06:00,10000,0.3,136.21,113.88,3.88,,KMB,,114.23,BATS,2017-02-22,114.18,0,2017-11-14,109.67,,351760,114.23,10000,-,100,52289,2367137,Kimberly-Clark Corp,,i,E,114.55,-0.32
2016-11-15,1791595,114.55,,114.88,,2017-09-07,,-0.28,0,2,2017-11-15T12:19:51-06:00,0,114.55,3.36,2017-11-07,2017-11-15T13:03:59-06:00,10000,0.3,136.21,113.88,3.88,,KMB,,114.23,BATS,2017-02-22,114.21,0,2017-11-14,109.67,,351760,114.22,10000,-,100,52289,2367137,Kimberly-Clark Corp,,i,E,114.55,-0.32
2016-11-15,1791595,114.55,,114.88,,2017-09-07,,-0.28,0,2,2017-11-15T12:20:13-06:00,0,114.55,3.36,2017-11-07,2017-11-15T13:05:07-06:00,20000,0.3,136.21,113.88,3.88,,KMB,,114.23,BATS,2017-02-22,114.12,0,2017-11-14,109.67,,351760,114.25,10000,.,100,52589,2367137,Kimberly-Clark Corp,,i,E,114.55,-0.32
2016-11-15,1791595,114.55,,114.88,,2017-09-07,,-0.28,0,2,2017-11-15T12:20:51-06:00,0,114.55,3.36,2017-11-07,2017-11-15T13:05:07-06:00,10000,0.3,136.21,113.88,3.88,,KMB,,114.23,BATS,2017-02-22,114.12,0,2017-11-14,109.67,,351760,114.22,10000,.,100,52589,2367137,Kimberly-Clark Corp,,i,E,114.55,-0.32
2016-11-15,1791595,114.55,,114.88,,2017-09-07,,-0.29,0,2,2017-11-15T12:21:25-06:00,0,114.55,3.36,2017-11-07,2017-11-15T13:06:22-06:00,10000,0.3,136.21,113.88,3.88,,KMB,,114.22,BATS,2017-02-22,114.12,0,2017-11-14,109.67,,351760,114.23,10000,-,100,52689,2367137,Kimberly-Clark Corp,,i,E,114.55,-0.33
2016-11-15,1791595,114.55,,114.88,,2017-09-07,,-0.29,0,2,2017-11-15T12:21:25-06:00,0,114.55,3.36,2017-11-07,2017-11-15T13:06:22-06:00,10000,0.3,136.21,113.88,3.88,,KMB,,114.22,BATS,2017-02-22,114.12,0,2017-11-14,109.67,,351760,114.23,10000,-,100,52689,2367137,Kimberly-Clark Corp,,i,E,114.55,-0.33
2016-11-15,1791595,114.55,,114.88,,2017-09-07,,-0.29,0,2,2017-11-15T12:21:25-06:00,0,114.55,3.36,2017-11-07,2017-11-15T13:06:22-06:00,10000,0.3,136.21,113.88,3.88,,KMB,,114.22,BATS,2017-02-22,114.12,0,2017-11-14,109.67,,351760,114.23,10000,-,100,52689,2367137,Kimberly-Clark Corp,,i,E,114.55,-0.33
2016-11-15,1791595,114.55,,114.88,,2017-09-07,,-0.29,0,2,2017-11-15T12:22:45-06:00,0,114.55,3.36,2017-11-07,2017-11-15T13:06:22-06:00,50000,0.3,136.21,113.88,3.88,,KMB,,114.22,BATS,2017-02-22,114.12,0,2017-11-14,109.67,,351760,114.22,10000,-,100,52689,2367137,Kimberly-Clark Corp,,i,E,114.55,-0.33
2016-11-15,1791595,114.55,,114.88,,2017-09-07,,-0.29,0,2,2017-11-15T12:22:58-06:00,0,114.55,3.36,2017-11-07,2017-11-15T13:06:22-06:00,10000,0.3,136.21,113.88,3.88,,KMB,,114.22,BATS,2017-02-22,114.12,0,2017-11-14,109.67,,351760,114.22,10000,-,100,52689,2367137,Kimberly-Clark Corp,,i,E,114.55,-0.33
