twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,969320,45.57,,45.47,,2017-09-14,,-0.26,0,2,2017-11-15T12:18:03-06:00,0,44.86,3.14,2017-09-07,2017-11-15T13:03:01-06:00,10000,-7.23,54.97,44.79,1.44,,LEG,,45.45,BATS,2017-04-28,45.42,0,2017-11-14,43.17,,131820,45.47,10000,-,100,22455,1155516,Leggett & Platt Inc,,i,E,45.57,-0.12
2016-11-15,969320,45.57,,45.47,,2017-09-14,,-0.26,0,2,2017-11-15T12:19:06-06:00,0,44.86,3.14,2017-09-07,2017-11-15T13:03:01-06:00,10000,-7.23,54.97,44.79,1.44,,LEG,,45.45,BATS,2017-04-28,45.41,0,2017-11-14,43.17,,131820,45.47,10000,-,100,22455,1155516,Leggett & Platt Inc,,i,E,45.57,-0.12
2016-11-15,969320,45.57,,45.47,,2017-09-14,,-0.26,0,2,2017-11-15T12:19:45-06:00,0,44.86,3.14,2017-09-07,2017-11-15T13:03:01-06:00,10000,-7.23,54.97,44.79,1.44,,LEG,,45.45,BATS,2017-04-28,45.41,0,2017-11-14,43.17,,131820,45.62,10000,-,100,22455,1155516,Leggett & Platt Inc,,i,E,45.57,-0.12
2016-11-15,969320,45.57,,45.47,,2017-09-14,,-0.26,0,2,2017-11-15T12:20:04-06:00,0,44.86,3.14,2017-09-07,2017-11-15T13:03:01-06:00,20000,-7.23,54.97,44.79,1.44,,LEG,,45.45,BATS,2017-04-28,45.43,0,2017-11-14,43.17,,131820,45.63,20000,-,100,22455,1155516,Leggett & Platt Inc,,i,E,45.57,-0.12
2016-11-15,969320,45.57,,45.47,,2017-09-14,,-0.26,0,2,2017-11-15T12:20:51-06:00,0,44.86,3.14,2017-09-07,2017-11-15T13:03:01-06:00,20000,-7.23,54.97,44.79,1.44,,LEG,,45.45,BATS,2017-04-28,45.42,0,2017-11-14,43.17,,131820,45.63,10000,-,100,22455,1155516,Leggett & Platt Inc,,i,E,45.57,-0.12
2016-11-15,969320,45.57,,45.47,,2017-09-14,,-0.31,0,2,2017-11-15T12:21:35-06:00,0,44.86,3.14,2017-09-07,2017-11-15T13:05:55-06:00,10000,-7.23,54.97,44.79,1.44,,LEG,,45.43,BATS,2017-04-28,45.43,0,2017-11-14,43.17,,131820,45.61,10000,-,20,22475,1155516,Leggett & Platt Inc,,i,E,45.57,-0.14
2016-11-15,969320,45.57,,45.47,,2017-09-14,,-0.31,0,2,2017-11-15T12:22:01-06:00,0,44.86,3.14,2017-09-07,2017-11-15T13:05:55-06:00,30000,-7.23,54.97,44.79,1.44,,LEG,,45.43,BATS,2017-04-28,45.45,0,2017-11-14,43.17,,131820,45.49,10000,-,20,22475,1155516,Leggett & Platt Inc,,i,E,45.57,-0.14
2016-11-15,969320,45.57,,45.47,,2017-09-14,,-0.31,0,2,2017-11-15T12:22:08-06:00,0,44.86,3.14,2017-09-07,2017-11-15T13:05:55-06:00,10000,-7.23,54.97,44.79,1.44,,LEG,,45.43,BATS,2017-04-28,45.45,0,2017-11-14,43.17,,131820,45.47,10000,-,20,22475,1155516,Leggett & Platt Inc,,i,E,45.57,-0.14
2016-11-15,969320,45.57,,45.47,,2017-09-14,,-0.26,0,2,2017-11-15T12:22:48-06:00,0,44.86,3.14,2017-09-07,2017-11-15T13:07:45-06:00,10000,-7.23,54.97,44.79,1.44,,LEG,,45.45,BATS,2017-04-28,45.26,0,2017-11-14,43.17,,131820,45.47,10000,+,100,22575,1155516,Leggett & Platt Inc,,i,E,45.57,-0.12
2016-11-15,969320,45.57,,45.47,,2017-09-14,,-0.26,0,2,2017-11-15T12:23:04-06:00,0,44.86,3.14,2017-09-07,2017-11-15T13:07:45-06:00,20000,-7.23,54.97,44.79,1.44,,LEG,,45.45,BATS,2017-04-28,45.38,0,2017-11-14,43.17,,131820,45.5,10000,+,100,22575,1155516,Leggett & Platt Inc,,i,E,45.57,-0.12
