twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,5840770,52,,52.18,,2017-11-03,,0.02,0,2,2017-11-15T12:18:49-06:00,0,51.45,3.07,2017-05-18,2017-11-15T13:03:01-06:00,50000,6.96,55.91,51.31,1.6,,MET,,52.01,BATS,2017-11-02,52.01,0,2017-11-14,44.26,,1052300,52.02,20000,.,100,230359,3899216,Metlife Inc,,i,E,52,0.01
2016-11-15,5840770,52,,52.18,,2017-11-03,,0.06,0,2,2017-11-15T12:19:32-06:00,0,51.45,3.07,2017-05-18,2017-11-15T13:04:23-06:00,40000,6.96,55.91,51.31,1.6,,MET,,52.03,BATS,2017-11-02,52.03,0,2017-11-14,44.26,,1052300,52.04,30000,+,100,230659,3899216,Metlife Inc,,i,E,52,0.03
2016-11-15,5840770,52,,52.18,,2017-11-03,,0.04,0,2,2017-11-15T12:19:54-06:00,0,51.45,3.07,2017-05-18,2017-11-15T13:04:52-06:00,45300,6.96,55.91,51.31,1.6,,MET,,52.02,BATS,2017-11-02,52.02,0,2017-11-14,44.26,,1052300,52.03,40000,-,100,231189,3899216,Metlife Inc,,i,E,52,0.02
2016-11-15,5840770,52,,52.18,,2017-11-03,,0.04,0,2,2017-11-15T12:20:18-06:00,0,51.45,3.07,2017-05-18,2017-11-15T13:04:52-06:00,5300,6.96,55.91,51.31,1.6,,MET,,52.02,BATS,2017-11-02,52.02,0,2017-11-14,44.26,,1052300,52.03,40000,-,100,231189,3899216,Metlife Inc,,i,E,52,0.02
2016-11-15,5840770,52,,52.18,,2017-11-03,,0.04,0,2,2017-11-15T12:20:56-06:00,0,51.45,3.07,2017-05-18,2017-11-15T13:05:51-06:00,10000,6.96,55.91,51.31,1.6,,MET,,52.02,BATS,2017-11-02,52.01,0,2017-11-14,44.26,,1052300,52.02,20000,-,5,231247,3899216,Metlife Inc,,i,E,52,0.02
2016-11-15,5840770,52,,52.18,,2017-11-03,,0.04,0,2,2017-11-15T12:21:36-06:00,0,51.45,3.07,2017-05-18,2017-11-15T13:05:51-06:00,20000,6.96,55.91,51.31,1.6,,MET,,52.02,BATS,2017-11-02,52.01,0,2017-11-14,44.26,,1052300,52.02,30000,-,5,231247,3899216,Metlife Inc,,i,E,52,0.02
2016-11-15,5840770,52,,52.18,,2017-11-03,,0.04,0,2,2017-11-15T12:22:04-06:00,0,51.45,3.07,2017-05-18,2017-11-15T13:05:51-06:00,40000,6.96,55.91,51.31,1.6,,MET,,52.02,BATS,2017-11-02,52,0,2017-11-14,44.26,,1052300,52.01,70000,-,5,231247,3899216,Metlife Inc,,i,E,52,0.02
2016-11-15,5840770,52,,52.18,,2017-11-03,,0.02,0,2,2017-11-15T12:22:32-06:00,0,51.45,3.07,2017-05-18,2017-11-15T13:07:14-06:00,60000,6.96,55.91,51.31,1.6,,MET,,52.01,BATS,2017-11-02,52,0,2017-11-14,44.26,,1052300,52.01,30000,-,100,231447,3899216,Metlife Inc,,i,E,52,0.01
2016-11-15,5840770,52,,52.18,,2017-11-03,,0.02,0,2,2017-11-15T12:22:54-06:00,0,51.45,3.07,2017-05-18,2017-11-15T13:07:14-06:00,20000,6.96,55.91,51.31,1.6,,MET,,52.01,BATS,2017-11-02,51.99,0,2017-11-14,44.26,,1052300,52,30000,-,100,231447,3899216,Metlife Inc,,i,E,52,0.01
2016-11-15,5840770,52,,52.18,,2017-11-03,,0.02,0,2,2017-11-15T12:23:14-06:00,0,51.45,3.07,2017-05-18,2017-11-15T13:07:14-06:00,40000,6.96,55.91,51.31,1.6,,MET,,52.01,BATS,2017-11-02,51.98,0,2017-11-14,44.26,,1052300,51.99,10000,-,100,231447,3899216,Metlife Inc,,i,E,52,0.01
