twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,3668348,115.76,,115.92,,2017-08-30,,-0.15,0,2,2017-11-15T12:18:34-06:00,0,115.67,2.82,2016-12-01,2017-11-15T13:03:34-06:00,10000,13.44,119.39,115.37,3.22,,PEP,,115.59,BATS,2017-08-17,115.55,0,2017-11-14,98.5,,1422140,115.59,10000,.,30,115205,3150692,Pepsico Inc,,i,E,115.76,-0.17
2016-11-15,3668348,115.76,,115.92,,2017-08-30,,-0.2,0,2,2017-11-15T12:19:26-06:00,0,115.67,2.82,2016-12-01,2017-11-15T13:04:25-06:00,30000,13.44,119.39,115.37,3.22,,PEP,,115.53,BATS,2017-08-17,115.5,0,2017-11-14,98.5,,1422140,115.55,10000,-,100,115830,3150692,Pepsico Inc,,i,E,115.76,-0.23
2016-11-15,3668348,115.76,,115.92,,2017-08-30,,-0.2,0,2,2017-11-15T12:19:55-06:00,0,115.67,2.82,2016-12-01,2017-11-15T13:04:25-06:00,20000,13.44,119.39,115.37,3.22,,PEP,,115.53,BATS,2017-08-17,115.5,0,2017-11-14,98.5,,1422140,115.54,10000,-,100,115830,3150692,Pepsico Inc,,i,E,115.76,-0.23
2016-11-15,3668348,115.76,,115.92,,2017-08-30,,-0.18,0,2,2017-11-15T12:20:16-06:00,0,115.67,2.82,2016-12-01,2017-11-15T13:05:07-06:00,10000,13.44,119.39,115.37,3.22,,PEP,,115.55,BATS,2017-08-17,115.55,0,2017-11-14,98.5,,1422140,115.57,7500,.,100,116130,3150692,Pepsico Inc,,i,E,115.76,-0.21
2016-11-15,3668348,115.76,,115.92,,2017-08-30,,-0.16,0,2,2017-11-15T12:20:55-06:00,0,115.67,2.82,2016-12-01,2017-11-15T13:05:50-06:00,10000,13.44,119.39,115.37,3.22,,PEP,,115.57,BATS,2017-08-17,115.56,0,2017-11-14,98.5,,1422140,115.6,100,-,1,116256,3150692,Pepsico Inc,,i,E,115.76,-0.19
2016-11-15,3668348,115.76,,115.92,,2017-08-30,,-0.14,0,2,2017-11-15T12:21:39-06:00,0,115.67,2.82,2016-12-01,2017-11-15T13:06:24-06:00,20000,13.44,119.39,115.37,3.22,,PEP,,115.6,BATS,2017-08-17,115.6,0,2017-11-14,98.5,,1422140,115.63,7500,+,1,116657,3150692,Pepsico Inc,,i,E,115.76,-0.16
2016-11-15,3668348,115.76,,115.92,,2017-08-30,,-0.13,0,2,2017-11-15T12:22:02-06:00,0,115.67,2.82,2016-12-01,2017-11-15T13:06:59-06:00,40000,13.44,119.39,115.37,3.22,,PEP,,115.61,BATS,2017-08-17,115.56,0,2017-11-14,98.5,,1422140,115.62,10000,.,100,116933,3150692,Pepsico Inc,,i,E,115.76,-0.15
2016-11-15,3668348,115.76,,115.92,,2017-08-30,,-0.13,0,2,2017-11-15T12:22:31-06:00,0,115.67,2.82,2016-12-01,2017-11-15T13:06:59-06:00,20000,13.44,119.39,115.37,3.22,,PEP,,115.61,BATS,2017-08-17,115.57,0,2017-11-14,98.5,,1422140,115.6,20000,.,100,116933,3150692,Pepsico Inc,,i,E,115.76,-0.15
2016-11-15,3668348,115.76,,115.92,,2017-08-30,,-0.16,0,2,2017-11-15T12:22:42-06:00,0,115.67,2.82,2016-12-01,2017-11-15T13:07:42-06:00,20000,13.44,119.39,115.37,3.22,,PEP,,115.58,BATS,2017-08-17,115.58,0,2017-11-14,98.5,,1422140,115.6,60000,-,1,116934,3150692,Pepsico Inc,,i,E,115.76,-0.18
2016-11-15,3668348,115.76,,115.92,,2017-08-30,,-0.16,0,2,2017-11-15T12:23:08-06:00,0,115.67,2.82,2016-12-01,2017-11-15T13:07:42-06:00,40000,13.44,119.39,115.37,3.22,,PEP,,115.58,BATS,2017-08-17,115.58,0,2017-11-14,98.5,,1422140,115.6,60000,-,1,116934,3150692,Pepsico Inc,,i,E,115.76,-0.18
