twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,1.05,0,2,2017-11-15T12:18:44-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:03:39-06:00,5000,3.25,69.81,64.03,0.64,,ROST,,65.15,BATS,2016-11-22,65.1,0,2017-11-14,52.85,,385590,65.15,10000,-,100,74322,2248047,Ross Stores Inc,,i,E,64.47,0.68
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,1.05,0,2,2017-11-15T12:19:19-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:03:58-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.15,BATS,2016-11-22,65.14,0,2017-11-14,52.85,,385590,65.24,15000,.,50,74372,2248047,Ross Stores Inc,,i,E,64.47,0.68
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,1.05,0,2,2017-11-15T12:19:46-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:03:58-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.15,BATS,2016-11-22,65.12,0,2017-11-14,52.85,,385590,65.17,10000,.,50,74372,2248047,Ross Stores Inc,,i,E,64.47,0.68
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,1.05,0,2,2017-11-15T12:20:13-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:03:58-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.15,BATS,2016-11-22,65.12,0,2017-11-14,52.85,,385590,65.16,10000,.,50,74372,2248047,Ross Stores Inc,,i,E,64.47,0.68
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.99,0,2,2017-11-15T12:20:55-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:05:54-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.11,BATS,2016-11-22,65.07,0,2017-11-14,52.85,,385590,65.14,15000,-,1,74373,2248047,Ross Stores Inc,,i,E,64.47,0.64
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,1.04,0,2,2017-11-15T12:21:36-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:06:27-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.14,BATS,2016-11-22,65.12,0,2017-11-14,52.85,,385590,65.15,10000,.,100,74573,2248047,Ross Stores Inc,,i,E,64.47,0.67
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,1.04,0,2,2017-11-15T12:22:01-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:06:27-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.14,BATS,2016-11-22,65.12,0,2017-11-14,52.85,,385590,65.19,20000,.,100,74573,2248047,Ross Stores Inc,,i,E,64.47,0.67
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,1.01,0,2,2017-11-15T12:22:31-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:07:09-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.12,BATS,2016-11-22,65.08,0,2017-11-14,52.85,,385590,65.18,25000,-,100,74773,2248047,Ross Stores Inc,,i,E,64.47,0.65
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.95,0,2,2017-11-15T12:22:47-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:07:35-06:00,20000,3.25,69.81,64.03,0.64,,ROST,,65.08,BATS,2016-11-22,64.96,0,2017-11-14,52.85,,385590,65.05,15000,.,100,74973,2248047,Ross Stores Inc,,i,E,64.47,0.61
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.95,0,2,2017-11-15T12:23:12-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:07:35-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.08,BATS,2016-11-22,64.88,0,2017-11-14,52.85,,385590,64.96,15000,.,100,74973,2248047,Ross Stores Inc,,i,E,64.47,0.61
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.95,0,2,2017-11-15T12:23:32-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:07:35-06:00,20000,3.25,69.81,64.03,0.64,,ROST,,65.08,BATS,2016-11-22,64.86,0,2017-11-14,52.85,,385590,65,15000,.,100,74973,2248047,Ross Stores Inc,,i,E,64.47,0.61
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.82,0,2,2017-11-15T12:23:56-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:08:56-06:00,20000,3.25,69.81,64.03,0.64,,ROST,,65,BATS,2016-11-22,64.97,0,2017-11-14,52.85,,385590,65.04,10000,+,100,75273,2248047,Ross Stores Inc,,i,E,64.47,0.53
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.87,0,2,2017-11-15T12:24:21-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:09:15-06:00,5000,3.25,69.81,64.03,0.64,,ROST,,65.03,BATS,2016-11-22,64.95,0,2017-11-14,52.85,,385590,65.04,10000,+,100,75723,2248047,Ross Stores Inc,,i,E,64.47,0.56
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.87,0,2,2017-11-15T12:24:28-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:09:15-06:00,5000,3.25,69.81,64.03,0.64,,ROST,,65.03,BATS,2016-11-22,64.95,0,2017-11-14,52.85,,385590,65.04,10000,+,100,75723,2248047,Ross Stores Inc,,i,E,64.47,0.56
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.87,0,2,2017-11-15T12:24:50-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:09:15-06:00,5000,3.25,69.81,64.03,0.64,,ROST,,65.03,BATS,2016-11-22,64.95,0,2017-11-14,52.85,,385590,65.04,10000,+,100,75723,2248047,Ross Stores Inc,,i,E,64.47,0.56
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.88,0,2,2017-11-15T12:25:28-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:10:17-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.04,BATS,2016-11-22,65.01,0,2017-11-14,52.85,,385590,65.08,40000,+,50,75773,2248047,Ross Stores Inc,,i,E,64.47,0.57
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.88,0,2,2017-11-15T12:25:58-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:10:58-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.04,BATS,2016-11-22,65.03,0,2017-11-14,52.85,,385590,65.07,20000,-,100,75988,2248047,Ross Stores Inc,,i,E,64.47,0.57
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.9,0,2,2017-11-15T12:26:12-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:11:12-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.05,BATS,2016-11-22,65,0,2017-11-14,52.85,,385590,65.07,10000,+,100,76188,2248047,Ross Stores Inc,,i,E,64.47,0.58
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.9,0,2,2017-11-15T12:26:59-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:11:49-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.05,BATS,2016-11-22,65,0,2017-11-14,52.85,,385590,65.12,15000,.,100,76288,2248047,Ross Stores Inc,,i,E,64.47,0.58
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,1.01,0,2,2017-11-15T12:27:28-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:12:14-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.12,BATS,2016-11-22,65.04,0,2017-11-14,52.85,,385590,65.17,15000,+,100,76488,2248047,Ross Stores Inc,,i,E,64.47,0.65
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.95,0,2,2017-11-15T12:27:48-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:12:31-06:00,5000,3.25,69.81,64.03,0.64,,ROST,,65.08,BATS,2016-11-22,65.01,0,2017-11-14,52.85,,385590,65.03,10000,-,100,76588,2248047,Ross Stores Inc,,i,E,64.47,0.61
2016-11-15,2917066,64.47,,65.51,,2017-09-06,,0.87,0,2,2017-11-15T12:28:11-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:12:59-06:00,10000,3.25,69.81,64.03,0.64,,ROST,,65.03,BATS,2016-11-22,65.02,0,2017-11-14,52.85,,385590,65.14,10000,.,61,76738,2248047,Ross Stores Inc,,i,E,64.47,0.56
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.88,0,2,2017-11-15T12:29:00-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:14:00-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,65.04,BATS,2016-11-22,65.02,0,2017-11-14,52.85,,385590,65.05,10000,.,79,77038,2252639,Ross Stores Inc,,i,E,64.47,0.57
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.85,0,2,2017-11-15T12:29:27-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:14:26-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,65.02,BATS,2016-11-22,64.94,0,2017-11-14,52.85,,385590,65.05,15000,.,61,77338,2252639,Ross Stores Inc,,i,E,64.47,0.55
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.81,0,2,2017-11-15T12:29:55-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:14:52-06:00,15000,2.98,69.81,64.03,0.64,,ROST,,64.99,BATS,2016-11-22,64.98,0,2017-11-14,52.85,,385590,65.01,10000,+,100,77538,2252639,Ross Stores Inc,,i,E,64.47,0.52
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.82,0,2,2017-11-15T12:30:19-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:15:05-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,65,BATS,2016-11-22,64.94,0,2017-11-14,52.85,,385590,65.06,15000,.,100,77938,2252639,Ross Stores Inc,,i,E,64.47,0.53
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.82,0,2,2017-11-15T12:30:49-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:15:05-06:00,20000,2.98,69.81,64.03,0.64,,ROST,,65,BATS,2016-11-22,64.94,0,2017-11-14,52.85,,385590,65.04,10000,.,100,77938,2252639,Ross Stores Inc,,i,E,64.47,0.53
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.79,0,2,2017-11-15T12:31:36-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:16:28-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.98,BATS,2016-11-22,64.91,0,2017-11-14,52.85,,385590,65.01,10000,.,100,78369,2252639,Ross Stores Inc,,i,E,64.47,0.51
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.84,0,2,2017-11-15T12:32:05-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:17:01-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,65.01,BATS,2016-11-22,64.93,0,2017-11-14,52.85,,385590,65.08,15000,+,100,78518,2252639,Ross Stores Inc,,i,E,64.47,0.54
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.84,0,2,2017-11-15T12:32:43-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:17:01-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,65.01,BATS,2016-11-22,64.95,0,2017-11-14,52.85,,385590,65.08,15000,+,100,78518,2252639,Ross Stores Inc,,i,E,64.47,0.54
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.84,0,2,2017-11-15T12:33:04-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:17:01-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,65.01,BATS,2016-11-22,64.95,0,2017-11-14,52.85,,385590,65.03,10000,+,100,78518,2252639,Ross Stores Inc,,i,E,64.47,0.54
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.84,0,2,2017-11-15T12:33:33-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:18:32-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,65.01,BATS,2016-11-22,64.91,0,2017-11-14,52.85,,385590,65.06,25000,+,5,78723,2252639,Ross Stores Inc,,i,E,64.47,0.54
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.84,0,2,2017-11-15T12:33:33-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:18:32-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,65.01,BATS,2016-11-22,64.91,0,2017-11-14,52.85,,385590,65.06,25000,+,5,78723,2252639,Ross Stores Inc,,i,E,64.47,0.54
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.76,0,2,2017-11-15T12:34:09-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:19:07-06:00,20000,2.98,69.81,64.03,0.64,,ROST,,64.96,BATS,2016-11-22,64.91,0,2017-11-14,52.85,,385590,64.99,20000,-,100,78823,2252639,Ross Stores Inc,,i,E,64.47,0.49
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.76,0,2,2017-11-15T12:34:26-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:19:07-06:00,20000,2.98,69.81,64.03,0.64,,ROST,,64.96,BATS,2016-11-22,64.91,0,2017-11-14,52.85,,385590,64.99,20000,-,100,78823,2252639,Ross Stores Inc,,i,E,64.47,0.49
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.76,0,2,2017-11-15T12:35:21-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:20:01-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.96,BATS,2016-11-22,64.9,0,2017-11-14,52.85,,385590,64.99,20000,+,100,79023,2252639,Ross Stores Inc,,i,E,64.47,0.49
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.79,0,2,2017-11-15T12:35:51-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:20:42-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.98,BATS,2016-11-22,64.98,0,2017-11-14,52.85,,385590,65.04,10000,.,100,79223,2252639,Ross Stores Inc,,i,E,64.47,0.51
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.79,0,2,2017-11-15T12:36:13-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:21:02-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.98,BATS,2016-11-22,64.86,0,2017-11-14,52.85,,385590,64.97,10000,-,100,79423,2252639,Ross Stores Inc,,i,E,64.47,0.51
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.6,0,2,2017-11-15T12:36:41-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:21:40-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.86,BATS,2016-11-22,64.84,0,2017-11-14,52.85,,385590,64.93,3000,-,100,79723,2252639,Ross Stores Inc,,i,E,64.47,0.39
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.62,0,2,2017-11-15T12:37:09-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:22:08-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.87,BATS,2016-11-22,64.88,0,2017-11-14,52.85,,385590,64.96,10000,-,50,80423,2252639,Ross Stores Inc,,i,E,64.47,0.4
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.62,0,2,2017-11-15T12:37:16-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:22:08-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.87,BATS,2016-11-22,64.88,0,2017-11-14,52.85,,385590,65.03,15000,-,50,80423,2252639,Ross Stores Inc,,i,E,64.47,0.4
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.62,0,2,2017-11-15T12:38:06-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:22:08-06:00,30000,2.98,69.81,64.03,0.64,,ROST,,64.87,BATS,2016-11-22,64.91,0,2017-11-14,52.85,,385590,64.94,10000,-,50,80423,2252639,Ross Stores Inc,,i,E,64.47,0.4
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.62,0,2,2017-11-15T12:38:06-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:22:08-06:00,30000,2.98,69.81,64.03,0.64,,ROST,,64.87,BATS,2016-11-22,64.91,0,2017-11-14,52.85,,385590,64.94,10000,-,50,80423,2252639,Ross Stores Inc,,i,E,64.47,0.4
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.7,0,2,2017-11-15T12:39:20-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:24:19-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.92,BATS,2016-11-22,64.94,0,2017-11-14,52.85,,385590,65.06,10000,.,100,81948,2252639,Ross Stores Inc,,i,E,64.47,0.45
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.65,0,2,2017-11-15T12:39:33-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:24:28-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.89,BATS,2016-11-22,64.9,0,2017-11-14,52.85,,385590,65.02,10000,-,89,82537,2252639,Ross Stores Inc,,i,E,64.47,0.42
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.67,0,2,2017-11-15T12:40:10-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:25:02-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.9,BATS,2016-11-22,64.82,0,2017-11-14,52.85,,385590,64.96,10000,.,50,83502,2252639,Ross Stores Inc,,i,E,64.47,0.43
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.67,0,2,2017-11-15T12:40:24-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:25:02-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.9,BATS,2016-11-22,64.88,0,2017-11-14,52.85,,385590,65.01,10000,.,50,83502,2252639,Ross Stores Inc,,i,E,64.47,0.43
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.67,0,2,2017-11-15T12:40:56-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:25:02-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.9,BATS,2016-11-22,64.87,0,2017-11-14,52.85,,385590,65.01,15000,.,50,83502,2252639,Ross Stores Inc,,i,E,64.47,0.43
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.62,0,2,2017-11-15T12:41:17-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:26:13-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.87,BATS,2016-11-22,64.87,0,2017-11-14,52.85,,385590,64.93,10000,+,100,84402,2252639,Ross Stores Inc,,i,E,64.47,0.4
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.62,0,2,2017-11-15T12:41:43-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:26:13-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.87,BATS,2016-11-22,64.89,0,2017-11-14,52.85,,385590,64.95,20000,+,100,84402,2252639,Ross Stores Inc,,i,E,64.47,0.4
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.71,0,2,2017-11-15T12:42:27-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:27:25-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.93,BATS,2016-11-22,64.91,0,2017-11-14,52.85,,385590,64.94,10000,+,100,84502,2252639,Ross Stores Inc,,i,E,64.47,0.46
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.68,0,2,2017-11-15T12:42:38-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:27:34-06:00,10000,2.98,69.81,64.03,0.64,,ROST,,64.91,BATS,2016-11-22,64.85,0,2017-11-14,52.85,,385590,64.91,20000,.,97,84602,2252639,Ross Stores Inc,,i,E,64.47,0.44
2016-11-15,2917482,64.47,,65.51,,2017-09-06,,0.68,0,2,2017-11-15T12:43:32-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:28:16-06:00,10000,2.92,69.81,64.03,0.64,,ROST,,64.91,BATS,2016-11-22,64.86,0,2017-11-14,52.85,,385590,64.98,20000,.,5,84607,2252639,Ross Stores Inc,,i,E,64.47,0.44
2016-11-15,2917814,64.47,,65.51,,2017-09-06,,0.68,0,2,2017-11-15T12:43:48-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:28:16-06:00,10000,2.92,69.81,64.03,0.64,,ROST,,64.91,BATS,2016-11-22,64.86,0,2017-11-14,52.85,,385590,64.97,10000,.,5,84607,2256310,Ross Stores Inc,,i,E,64.47,0.44
2016-11-15,2917814,64.47,,65.51,,2017-09-06,,0.57,0,2,2017-11-15T12:44:38-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:29:38-06:00,10000,2.92,69.81,64.03,0.64,,ROST,,64.84,BATS,2016-11-22,64.8,0,2017-11-14,52.85,,385590,64.91,10000,-,100,85603,2256310,Ross Stores Inc,,i,E,64.47,0.37
2016-11-15,2917814,64.47,,65.51,,2017-09-06,,0.57,0,2,2017-11-15T12:45:08-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:29:56-06:00,10000,2.92,69.81,64.03,0.64,,ROST,,64.84,BATS,2016-11-22,64.81,0,2017-11-14,52.85,,385590,64.94,10000,+,100,86003,2256310,Ross Stores Inc,,i,E,64.47,0.37
2016-11-15,2917814,64.47,,65.51,,2017-09-06,,0.65,0,2,2017-11-15T12:45:54-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:30:40-06:00,10000,2.92,69.81,64.03,0.64,,ROST,,64.89,BATS,2016-11-22,64.86,0,2017-11-14,52.85,,385590,64.89,30000,+,1,86004,2256310,Ross Stores Inc,,i,E,64.47,0.42
2016-11-15,2917814,64.47,,65.51,,2017-09-06,,0.6,0,2,2017-11-15T12:46:13-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:31:06-06:00,10000,2.92,69.81,64.03,0.64,,ROST,,64.86,BATS,2016-11-22,64.86,0,2017-11-14,52.85,,385590,64.9,10000,.,100,86504,2256310,Ross Stores Inc,,i,E,64.47,0.39
2016-11-15,2917814,64.47,,65.51,,2017-09-06,,0.67,0,2,2017-11-15T12:46:49-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:31:24-06:00,10000,2.92,69.81,64.03,0.64,,ROST,,64.9,BATS,2016-11-22,64.87,0,2017-11-14,52.85,,385590,64.92,10000,+,100,86604,2256310,Ross Stores Inc,,i,E,64.47,0.43
2016-11-15,2917814,64.47,,65.51,,2017-09-06,,0.7,0,2,2017-11-15T12:47:41-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:32:33-06:00,10000,2.92,69.81,64.03,0.64,,ROST,,64.92,BATS,2016-11-22,64.9,0,2017-11-14,52.85,,385590,64.94,20000,+,100,86704,2256310,Ross Stores Inc,,i,E,64.47,0.45
2016-11-15,2917814,64.47,,65.51,,2017-09-06,,0.7,0,2,2017-11-15T12:47:56-06:00,0,64.32,0.99,2017-08-15,2017-11-15T13:32:33-06:00,20000,2.92,69.81,64.03,0.64,,ROST,,64.92,BATS,2016-11-22,64.9,0,2017-11-14,52.85,,385590,64.92,20000,+,100,86704,2256310,Ross Stores Inc,,i,E,64.47,0.45
