twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,737890,100.04,,100.74,,2017-09-29,,0.45,0,2,2017-11-15T12:18:40-06:00,0,99.28,3.1,2017-10-30,2017-11-15T12:56:01-06:00,10000,-5.44,115.34,99.28,3.1,,SLG,,100.49,BATS,2017-03-01,100.33,0,2017-11-14,93.92,,98270,100.65,400,.,6,12590,1017005,SL Green Realty Corp,,i,E,100.04,0.45
2016-11-15,737890,100.04,,100.74,,2017-09-29,,0.45,0,2,2017-11-15T12:19:30-06:00,0,99.28,3.1,2017-10-30,2017-11-15T12:56:01-06:00,10000,-5.44,115.34,99.28,3.1,,SLG,,100.49,BATS,2017-03-01,100.05,0,2017-11-14,93.92,,98270,100.65,10000,.,6,12590,1017005,SL Green Realty Corp,,i,E,100.04,0.45
2016-11-15,737890,100.04,,100.74,,2017-09-29,,0.45,0,2,2017-11-15T12:19:45-06:00,0,99.28,3.1,2017-10-30,2017-11-15T12:56:01-06:00,10000,-5.44,115.34,99.28,3.1,,SLG,,100.49,BATS,2017-03-01,100.31,0,2017-11-14,93.92,,98270,100.65,10000,.,6,12590,1017005,SL Green Realty Corp,,i,E,100.04,0.45
2016-11-15,737890,100.04,,100.74,,2017-09-29,,0.45,0,2,2017-11-15T12:20:17-06:00,0,99.28,3.1,2017-10-30,2017-11-15T12:56:01-06:00,10000,-5.44,115.34,99.28,3.1,,SLG,,100.49,BATS,2017-03-01,100.06,0,2017-11-14,93.92,,98270,100.64,10000,.,6,12590,1017005,SL Green Realty Corp,,i,E,100.04,0.45
2016-11-15,737890,100.04,,100.74,,2017-09-29,,0.45,0,2,2017-11-15T12:21:09-06:00,0,99.28,3.1,2017-10-30,2017-11-15T12:56:01-06:00,10000,-5.44,115.34,99.28,3.1,,SLG,,100.49,BATS,2017-03-01,100.05,0,2017-11-14,93.92,,98270,100.64,10000,.,6,12590,1017005,SL Green Realty Corp,,i,E,100.04,0.45
2016-11-15,737890,100.04,,100.74,,2017-09-29,,0.45,0,2,2017-11-15T12:21:39-06:00,0,99.28,3.1,2017-10-30,2017-11-15T12:56:01-06:00,10000,-5.44,115.34,99.28,3.1,,SLG,,100.49,BATS,2017-03-01,100.05,0,2017-11-14,93.92,,98270,100.64,10000,.,6,12590,1017005,SL Green Realty Corp,,i,E,100.04,0.45
2016-11-15,737890,100.04,,100.74,,2017-09-29,,0.45,0,2,2017-11-15T12:22:12-06:00,0,99.28,3.1,2017-10-30,2017-11-15T12:56:01-06:00,10000,-5.44,115.34,99.28,3.1,,SLG,,100.49,BATS,2017-03-01,100.05,0,2017-11-14,93.92,,98270,100.37,10000,.,6,12590,1017005,SL Green Realty Corp,,i,E,100.04,0.45
2016-11-15,737890,100.04,,100.74,,2017-09-29,,0.45,0,2,2017-11-15T12:22:12-06:00,0,99.28,3.1,2017-10-30,2017-11-15T12:56:01-06:00,10000,-5.44,115.34,99.28,3.1,,SLG,,100.49,BATS,2017-03-01,100.05,0,2017-11-14,93.92,,98270,100.37,10000,.,6,12590,1017005,SL Green Realty Corp,,i,E,100.04,0.45
2016-11-15,737890,100.04,,100.74,,2017-09-29,,0.45,0,2,2017-11-15T12:22:12-06:00,0,99.28,3.1,2017-10-30,2017-11-15T12:56:01-06:00,10000,-5.44,115.34,99.28,3.1,,SLG,,100.49,BATS,2017-03-01,100.05,0,2017-11-14,93.92,,98270,100.37,10000,.,6,12590,1017005,SL Green Realty Corp,,i,E,100.04,0.45
2016-11-15,737890,100.04,,100.74,,2017-09-29,,0.45,0,2,2017-11-15T12:22:12-06:00,0,99.28,3.1,2017-10-30,2017-11-15T12:56:01-06:00,10000,-5.44,115.34,99.28,3.1,,SLG,,100.49,BATS,2017-03-01,100.05,0,2017-11-14,93.92,,98270,100.37,10000,.,6,12590,1017005,SL Green Realty Corp,,i,E,100.04,0.45
