twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.57,0,2,2017-11-15T12:18:54-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:03:14-06:00,107900,2.22,59.99,53.49,1.56,,WFC,,53.73,BATS,2017-03-01,53.73,0,2017-11-14,49.27,,4924260,53.75,80000,.,45,467494,16267632,Wells Fargo & Company,,i,E,54.04,-0.31
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.52,0,2,2017-11-15T12:19:31-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:04:29-06:00,37900,2.22,59.99,53.49,1.56,,WFC,,53.76,BATS,2017-03-01,53.75,0,2017-11-14,49.27,,4924260,53.76,40000,+,100,467839,16267632,Wells Fargo & Company,,i,E,54.04,-0.28
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.52,0,2,2017-11-15T12:19:57-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:04:29-06:00,37900,2.22,59.99,53.49,1.56,,WFC,,53.76,BATS,2017-03-01,53.75,0,2017-11-14,49.27,,4924260,53.76,50000,+,100,467839,16267632,Wells Fargo & Company,,i,E,54.04,-0.28
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.48,0,2,2017-11-15T12:20:23-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:05:22-06:00,30000,2.22,59.99,53.49,1.56,,WFC,,53.78,BATS,2017-03-01,53.77,0,2017-11-14,49.27,,4924260,53.78,30000,+,100,468063,16267632,Wells Fargo & Company,,i,E,54.04,-0.26
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.54,0,2,2017-11-15T12:21:22-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:05:50-06:00,60000,2.22,59.99,53.49,1.56,,WFC,,53.75,BATS,2017-03-01,53.74,0,2017-11-14,49.27,,4924260,53.76,40000,.,40,468203,16267632,Wells Fargo & Company,,i,E,54.04,-0.29
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.54,0,2,2017-11-15T12:21:37-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:06:37-06:00,30000,2.22,59.99,53.49,1.56,,WFC,,53.75,BATS,2017-03-01,53.75,0,2017-11-14,49.27,,4924260,53.76,70000,+,100,468303,16267632,Wells Fargo & Company,,i,E,54.04,-0.29
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.59,0,2,2017-11-15T12:22:11-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:07:00-06:00,50000,2.22,59.99,53.49,1.56,,WFC,,53.72,BATS,2017-03-01,53.72,0,2017-11-14,49.27,,4924260,53.73,20000,-,5,469653,16267632,Wells Fargo & Company,,i,E,54.04,-0.32
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.59,0,2,2017-11-15T12:22:28-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:07:00-06:00,50000,2.22,59.99,53.49,1.56,,WFC,,53.72,BATS,2017-03-01,53.72,0,2017-11-14,49.27,,4924260,53.73,60000,-,5,469653,16267632,Wells Fargo & Company,,i,E,54.04,-0.32
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.59,0,2,2017-11-15T12:22:57-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:07:53-06:00,40000,2.22,59.99,53.49,1.56,,WFC,,53.72,BATS,2017-03-01,53.72,0,2017-11-14,49.27,,4924260,53.73,30000,.,100,470053,16267632,Wells Fargo & Company,,i,E,54.04,-0.32
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.59,0,2,2017-11-15T12:23:15-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:08:15-06:00,71000,2.22,59.99,53.49,1.56,,WFC,,53.72,BATS,2017-03-01,53.71,0,2017-11-14,49.27,,4924260,53.72,220000,.,200,472323,16267632,Wells Fargo & Company,,i,E,54.04,-0.32
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.61,0,2,2017-11-15T12:23:39-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:08:31-06:00,90000,2.22,59.99,53.49,1.56,,WFC,,53.71,BATS,2017-03-01,53.7,0,2017-11-14,49.27,,4924260,53.72,40000,-,100,472523,16267632,Wells Fargo & Company,,i,E,54.04,-0.33
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.65,0,2,2017-11-15T12:24:00-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:09:00-06:00,30000,2.22,59.99,53.49,1.56,,WFC,,53.69,BATS,2017-03-01,53.69,0,2017-11-14,49.27,,4924260,53.7,80000,.,300,473273,16267632,Wells Fargo & Company,,i,E,54.04,-0.35
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.65,0,2,2017-11-15T12:24:27-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:09:17-06:00,40000,2.22,59.99,53.49,1.56,,WFC,,53.69,BATS,2017-03-01,53.69,0,2017-11-14,49.27,,4924260,53.7,50000,.,100,473473,16267632,Wells Fargo & Company,,i,E,54.04,-0.35
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.67,0,2,2017-11-15T12:24:50-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:09:31-06:00,20000,2.22,59.99,53.49,1.56,,WFC,,53.68,BATS,2017-03-01,53.68,0,2017-11-14,49.27,,4924260,53.69,40000,-,100,474173,16267632,Wells Fargo & Company,,i,E,54.04,-0.36
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.67,0,2,2017-11-15T12:25:11-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:10:03-06:00,40000,2.22,59.99,53.49,1.56,,WFC,,53.68,BATS,2017-03-01,53.67,0,2017-11-14,49.27,,4924260,53.68,30000,.,100,474673,16267632,Wells Fargo & Company,,i,E,54.04,-0.36
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.67,0,2,2017-11-15T12:25:36-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:10:34-06:00,40000,2.22,59.99,53.49,1.56,,WFC,,53.68,BATS,2017-03-01,53.68,0,2017-11-14,49.27,,4924260,53.69,50000,.,100,475218,16267632,Wells Fargo & Company,,i,E,54.04,-0.36
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.65,0,2,2017-11-15T12:26:02-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:10:43-06:00,50000,2.22,59.99,53.49,1.56,,WFC,,53.69,BATS,2017-03-01,53.68,0,2017-11-14,49.27,,4924260,53.7,80000,.,45,476063,16267632,Wells Fargo & Company,,i,E,54.04,-0.35
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.65,0,2,2017-11-15T12:26:15-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:10:43-06:00,40000,2.22,59.99,53.49,1.56,,WFC,,53.69,BATS,2017-03-01,53.67,0,2017-11-14,49.27,,4924260,53.69,60000,.,45,476063,16267632,Wells Fargo & Company,,i,E,54.04,-0.35
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.65,0,2,2017-11-15T12:27:10-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:10:43-06:00,10000,2.22,59.99,53.49,1.56,,WFC,,53.69,BATS,2017-03-01,53.68,0,2017-11-14,49.27,,4924260,53.69,40000,.,45,476063,16267632,Wells Fargo & Company,,i,E,54.04,-0.35
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.65,0,2,2017-11-15T12:27:31-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:12:29-06:00,80000,2.22,59.99,53.49,1.56,,WFC,,53.69,BATS,2017-03-01,53.68,0,2017-11-14,49.27,,4924260,53.7,50000,.,100,476508,16267632,Wells Fargo & Company,,i,E,54.04,-0.35
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.65,0,2,2017-11-15T12:27:54-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:12:29-06:00,80000,2.22,59.99,53.49,1.56,,WFC,,53.69,BATS,2017-03-01,53.68,0,2017-11-14,49.27,,4924260,53.7,50000,.,100,476508,16267632,Wells Fargo & Company,,i,E,54.04,-0.35
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.63,0,2,2017-11-15T12:28:44-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:13:43-06:00,70000,2.22,59.99,53.49,1.56,,WFC,,53.7,BATS,2017-03-01,53.7,0,2017-11-14,49.27,,4924260,53.71,40000,.,100,477308,16267632,Wells Fargo & Company,,i,E,54.04,-0.34
2016-11-15,18050828,54.04,,54.12,,2017-11-02,,-0.59,0,2,2017-11-15T12:29:06-06:00,0,53.63,2.9,2017-09-07,2017-11-15T13:14:06-06:00,30000,2.1,59.99,53.49,1.56,,WFC,,53.72,BATS,2017-03-01,53.71,0,2017-11-14,49.27,,4924260,53.72,40000,.,100,478353,16267632,Wells Fargo & Company,,i,E,54.04,-0.32
