twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,2905868,112.08,,112.11,,2017-09-07,,-0.87,0,2,2017-11-15T13:55:13-06:00,0,112.11,2.04,2016-11-16,2017-11-15T14:40:12-06:00,10000,20.48,121.77,110.45,2.28,,ADP,,111.1,BATS,2017-07-31,111.06,0,2017-11-14,91.6,,443490,111.09,20000,.,100,95175,2162269,Automatic Data Procs,,i,E,112.08,-0.98
2016-11-15,2905868,112.08,,112.11,,2017-09-07,,-0.88,0,2,2017-11-15T13:55:39-06:00,0,112.11,2.04,2016-11-16,2017-11-15T14:40:23-06:00,10000,20.48,121.77,110.45,2.28,,ADP,,111.09,BATS,2017-07-31,111.08,0,2017-11-14,91.6,,443490,111.13,10000,-,100,95275,2162269,Automatic Data Procs,,i,E,112.08,-0.99
2016-11-15,2905868,112.08,,112.11,,2017-09-07,,-0.87,0,2,2017-11-15T13:56:09-06:00,0,112.11,2.04,2016-11-16,2017-11-15T14:41:00-06:00,10000,20.48,121.77,110.45,2.28,,ADP,,111.1,BATS,2017-07-31,111.07,0,2017-11-14,91.6,,443490,111.11,10000,.,50,95375,2162269,Automatic Data Procs,,i,E,112.08,-0.98
2016-11-15,2905868,112.08,,112.11,,2017-09-07,,-0.87,0,2,2017-11-15T13:56:51-06:00,0,112.11,2.04,2016-11-16,2017-11-15T14:41:25-06:00,10000,20.48,121.77,110.45,2.28,,ADP,,111.11,BATS,2017-07-31,111.06,0,2017-11-14,91.6,,443490,111.11,10000,+,89,95464,2162269,Automatic Data Procs,,i,E,112.08,-0.97
2016-11-15,2905868,112.08,,112.11,,2017-09-07,,-0.9,0,2,2017-11-15T13:57:19-06:00,0,112.11,2.04,2016-11-16,2017-11-15T14:42:02-06:00,10000,20.48,121.77,110.45,2.28,,ADP,,111.07,BATS,2017-07-31,111.04,0,2017-11-14,91.6,,443490,111.08,10000,-,100,95564,2162269,Automatic Data Procs,,i,E,112.08,-1.01
2016-11-15,2905868,112.08,,112.11,,2017-09-07,,-0.9,0,2,2017-11-15T13:57:37-06:00,0,112.11,2.04,2016-11-16,2017-11-15T14:42:02-06:00,10000,20.48,121.77,110.45,2.28,,ADP,,111.07,BATS,2017-07-31,111.03,0,2017-11-14,91.6,,443490,111.07,10000,-,100,95564,2162269,Automatic Data Procs,,i,E,112.08,-1.01
2016-11-15,2905868,112.08,,112.11,,2017-09-07,,-0.9,0,2,2017-11-15T13:58:07-06:00,0,112.11,2.04,2016-11-16,2017-11-15T14:42:02-06:00,10000,20.48,121.77,110.45,2.28,,ADP,,111.07,BATS,2017-07-31,111.02,0,2017-11-14,91.6,,443490,111.05,10000,-,100,95564,2162269,Automatic Data Procs,,i,E,112.08,-1.01
2016-11-15,2905868,112.08,,112.11,,2017-09-07,,-0.91,0,2,2017-11-15T13:58:26-06:00,0,112.11,2.04,2016-11-16,2017-11-15T14:43:16-06:00,20000,20.48,121.77,110.45,2.28,,ADP,,111.06,BATS,2017-07-31,111.02,0,2017-11-14,91.6,,443490,111.07,10000,+,100,95764,2162269,Automatic Data Procs,,i,E,112.08,-1.02
2016-11-15,2905868,112.08,,112.11,,2017-09-07,,-0.91,0,2,2017-11-15T13:58:31-06:00,0,112.11,2.04,2016-11-16,2017-11-15T14:43:16-06:00,20000,20.48,121.77,110.45,2.28,,ADP,,111.06,BATS,2017-07-31,111.02,0,2017-11-14,91.6,,443490,111.07,20000,+,100,95764,2162269,Automatic Data Procs,,i,E,112.08,-1.02
2016-11-15,2907250,112.08,,112.11,,2017-09-07,,-0.91,0,2,2017-11-15T13:59:11-06:00,0,112.11,2.04,2016-11-16,2017-11-15T14:43:16-06:00,20000,20.25,121.77,110.45,2.28,,ADP,,111.06,BATS,2017-07-31,111.01,0,2017-11-14,91.6,,443490,111.05,10000,+,100,95764,2177536,Automatic Data Procs,,i,E,112.08,-1.02
2016-11-15,2907250,112.08,,112.11,,2017-09-07,,-0.95,0,2,2017-11-15T13:59:44-06:00,0,112.11,2.04,2016-11-16,2017-11-15T14:44:29-06:00,10000,20.25,121.77,110.45,2.28,,ADP,,111.02,BATS,2017-07-31,111.02,0,2017-11-14,91.6,,443490,111.04,20000,-,91,95855,2177536,Automatic Data Procs,,i,E,112.08,-1.06
