twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,2743392,263.26,,266.97,,2017-09-18,,1.03,0,2,2017-11-15T13:55:13-06:00,0,262,1.54,2016-12-02,2017-11-15T14:39:53-06:00,10000,59.49,281.8,258.24,4.08,,AVGO,,265.96,BATS,2017-11-06,265.9,0,2017-11-14,160.62,,407980,266.06,10000,.,100,96774,3713922,Broadcom Ltd,,i,E,263.26,2.7
2016-11-15,2743392,263.26,,266.97,,2017-09-18,,1.03,0,2,2017-11-15T13:55:40-06:00,0,262,1.54,2016-12-02,2017-11-15T14:39:53-06:00,10000,59.49,281.8,258.24,4.08,,AVGO,,265.96,BATS,2017-11-06,265.91,0,2017-11-14,160.62,,407980,266.06,20000,.,100,96774,3713922,Broadcom Ltd,,i,E,263.26,2.7
2016-11-15,2743392,263.26,,266.97,,2017-09-18,,1.13,0,2,2017-11-15T13:56:14-06:00,0,262,1.54,2016-12-02,2017-11-15T14:41:12-06:00,100,59.49,281.8,258.24,4.08,,AVGO,,266.23,BATS,2017-11-06,266.04,0,2017-11-14,160.62,,407980,266.37,10000,+,100,98372,3713922,Broadcom Ltd,,i,E,263.26,2.97
2016-11-15,2743392,263.26,,266.97,,2017-09-18,,1.13,0,2,2017-11-15T13:56:48-06:00,0,262,1.54,2016-12-02,2017-11-15T14:41:12-06:00,10000,59.49,281.8,258.24,4.08,,AVGO,,266.23,BATS,2017-11-06,265.82,0,2017-11-14,160.62,,407980,266.22,10000,+,100,98372,3713922,Broadcom Ltd,,i,E,263.26,2.97
2016-11-15,2743392,263.26,,266.97,,2017-09-18,,1.13,0,2,2017-11-15T13:57:20-06:00,0,262,1.54,2016-12-02,2017-11-15T14:41:12-06:00,10000,59.49,281.8,258.24,4.08,,AVGO,,266.23,BATS,2017-11-06,265.82,0,2017-11-14,160.62,,407980,266.2,10000,+,100,98372,3713922,Broadcom Ltd,,i,E,263.26,2.97
2016-11-15,2743392,263.26,,266.97,,2017-09-18,,1.13,0,2,2017-11-15T13:57:44-06:00,0,262,1.54,2016-12-02,2017-11-15T14:41:12-06:00,10000,59.49,281.8,258.24,4.08,,AVGO,,266.23,BATS,2017-11-06,265.91,0,2017-11-14,160.62,,407980,266.19,100,+,100,98372,3713922,Broadcom Ltd,,i,E,263.26,2.97
2016-11-15,2743392,263.26,,266.97,,2017-09-18,,1.1,0,2,2017-11-15T13:58:09-06:00,0,262,1.54,2016-12-02,2017-11-15T14:43:05-06:00,10000,59.49,281.8,258.24,4.08,,AVGO,,266.16,BATS,2017-11-06,265.95,0,2017-11-14,160.62,,407980,266.21,10000,+,100,98854,3713922,Broadcom Ltd,,i,E,263.26,2.9
2016-11-15,2743392,263.26,,266.97,,2017-09-18,,1.1,0,2,2017-11-15T13:58:19-06:00,0,262,1.54,2016-12-02,2017-11-15T14:43:05-06:00,10000,59.49,281.8,258.24,4.08,,AVGO,,266.16,BATS,2017-11-06,266.09,0,2017-11-14,160.62,,407980,266.37,10000,+,100,98854,3713922,Broadcom Ltd,,i,E,263.26,2.9
2016-11-15,2743392,263.26,,266.97,,2017-09-18,,1.1,0,2,2017-11-15T13:58:51-06:00,0,262,1.54,2016-12-02,2017-11-15T14:43:05-06:00,10000,59.49,281.8,258.24,4.08,,AVGO,,266.16,BATS,2017-11-06,266.09,0,2017-11-14,160.62,,407980,266.33,10000,+,100,98854,3713922,Broadcom Ltd,,i,E,263.26,2.9
2016-11-15,2743778,263.26,,266.97,,2017-09-18,,1.1,0,2,2017-11-15T13:59:17-06:00,0,262,1.54,2016-12-02,2017-11-15T14:43:05-06:00,10000,60.35,281.8,258.24,4.08,,AVGO,,266.16,BATS,2017-11-06,266.09,0,2017-11-14,160.62,,407980,266.23,10000,+,100,98854,3718191,Broadcom Ltd,,i,E,263.26,2.9
