twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,16985338,71.53,,71.94,,2017-11-03,,0.42,0,2,2017-11-15T13:55:19-06:00,0,70.62,1.78,2016-11-16,2017-11-15T14:40:14-06:00,50000,29.41,76.14,70.03,1.28,,C,,71.83,BATS,2017-10-12,71.83,0,2017-11-14,54.21,,2644000,71.85,50000,.,95,746673,13295224,Citigroup Inc,,i,E,71.53,0.3
2016-11-15,16985338,71.53,,71.94,,2017-11-03,,0.45,0,2,2017-11-15T13:55:43-06:00,0,70.62,1.78,2016-11-16,2017-11-15T14:40:43-06:00,16200,29.41,76.14,70.03,1.28,,C,,71.85,BATS,2017-10-12,71.84,0,2017-11-14,54.21,,2644000,71.85,40000,+,100,746889,13295224,Citigroup Inc,,i,E,71.53,0.32
2016-11-15,16985338,71.53,,71.94,,2017-11-03,,0.43,0,2,2017-11-15T13:56:18-06:00,0,70.62,1.78,2016-11-16,2017-11-15T14:41:07-06:00,40000,29.41,76.14,70.03,1.28,,C,,71.84,BATS,2017-10-12,71.84,0,2017-11-14,54.21,,2644000,71.86,60000,.,100,747451,13295224,Citigroup Inc,,i,E,71.53,0.31
2016-11-15,16985338,71.53,,71.94,,2017-11-03,,0.42,0,2,2017-11-15T13:56:59-06:00,0,70.62,1.78,2016-11-16,2017-11-15T14:41:36-06:00,50000,29.41,76.14,70.03,1.28,,C,,71.83,BATS,2017-10-12,71.82,0,2017-11-14,54.21,,2644000,71.84,72500,.,100,747951,13295224,Citigroup Inc,,i,E,71.53,0.3
2016-11-15,16985338,71.53,,71.94,,2017-11-03,,0.42,0,2,2017-11-15T13:57:27-06:00,0,70.62,1.78,2016-11-16,2017-11-15T14:41:36-06:00,40000,29.41,76.14,70.03,1.28,,C,,71.83,BATS,2017-10-12,71.83,0,2017-11-14,54.21,,2644000,71.84,40000,.,100,747951,13295224,Citigroup Inc,,i,E,71.53,0.3
2016-11-15,16985338,71.53,,71.94,,2017-11-03,,0.43,0,2,2017-11-15T13:57:49-06:00,0,70.62,1.78,2016-11-16,2017-11-15T14:42:44-06:00,40000,29.41,76.14,70.03,1.28,,C,,71.84,BATS,2017-10-12,71.84,0,2017-11-14,54.21,,2644000,71.85,10000,.,100,748751,13295224,Citigroup Inc,,i,E,71.53,0.31
2016-11-15,16985338,71.53,,71.94,,2017-11-03,,0.43,0,2,2017-11-15T13:58:11-06:00,0,70.62,1.78,2016-11-16,2017-11-15T14:42:44-06:00,27000,29.41,76.14,70.03,1.28,,C,,71.84,BATS,2017-10-12,71.84,0,2017-11-14,54.21,,2644000,71.85,50000,.,100,748751,13295224,Citigroup Inc,,i,E,71.53,0.31
2016-11-15,16985338,71.53,,71.94,,2017-11-03,,0.42,0,2,2017-11-15T13:58:28-06:00,0,70.62,1.78,2016-11-16,2017-11-15T14:43:23-06:00,20000,29.41,76.14,70.03,1.28,,C,,71.83,BATS,2017-10-12,71.82,0,2017-11-14,54.21,,2644000,71.83,40000,.,100,749451,13295224,Citigroup Inc,,i,E,71.53,0.3
2016-11-15,16985338,71.53,,71.94,,2017-11-03,,0.41,0,2,2017-11-15T13:58:57-06:00,0,70.62,1.78,2016-11-16,2017-11-15T14:43:34-06:00,20000,29.41,76.14,70.03,1.28,,C,,71.82,BATS,2017-10-12,71.82,0,2017-11-14,54.21,,2644000,71.83,70000,-,100,749551,13295224,Citigroup Inc,,i,E,71.53,0.29
2016-11-15,16985338,71.53,,71.94,,2017-11-03,,0.43,0,2,2017-11-15T13:59:22-06:00,0,70.62,1.78,2016-11-16,2017-11-15T14:44:09-06:00,10000,29.41,76.14,70.03,1.28,,C,,71.84,BATS,2017-10-12,71.83,0,2017-11-14,54.21,,2644000,71.84,30000,+,100,750051,13295224,Citigroup Inc,,i,E,71.53,0.31
