twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,3183945,66.02,,66.17,,2017-08-23,,0.14,0,2,2017-11-15T13:55:11-06:00,0,65.83,2.42,2016-12-01,2017-11-15T14:40:09-06:00,10000,29.74,69.89,65.43,1.6,,CCL,,66.11,BATS,2017-09-01,66.11,0,2017-11-14,49.73,,535840,66.12,10000,.,100,141528,2935429,Carnival Corp,,i,E,66.02,0.09
2016-11-15,3183945,66.02,,66.17,,2017-08-23,,0.12,0,2,2017-11-15T13:55:36-06:00,0,65.83,2.42,2016-12-01,2017-11-15T14:40:19-06:00,10000,29.74,69.89,65.43,1.6,,CCL,,66.1,BATS,2017-09-01,66.11,0,2017-11-14,49.73,,535840,66.13,10000,-,100,141828,2935429,Carnival Corp,,i,E,66.02,0.08
2016-11-15,3183945,66.02,,66.17,,2017-08-23,,0.12,0,2,2017-11-15T13:56:11-06:00,0,65.83,2.42,2016-12-01,2017-11-15T14:40:19-06:00,10000,29.74,69.89,65.43,1.6,,CCL,,66.1,BATS,2017-09-01,66.1,0,2017-11-14,49.73,,535840,66.12,10000,-,100,141828,2935429,Carnival Corp,,i,E,66.02,0.08
2016-11-15,3183945,66.02,,66.17,,2017-08-23,,0.11,0,2,2017-11-15T13:56:51-06:00,0,65.83,2.42,2016-12-01,2017-11-15T14:41:37-06:00,10000,29.74,69.89,65.43,1.6,,CCL,,66.09,BATS,2017-09-01,66.08,0,2017-11-14,49.73,,535840,66.1,10000,-,200,142028,2935429,Carnival Corp,,i,E,66.02,0.07
2016-11-15,3183945,66.02,,66.17,,2017-08-23,,0.12,0,2,2017-11-15T13:57:21-06:00,0,65.83,2.42,2016-12-01,2017-11-15T14:42:15-06:00,11000,29.74,69.89,65.43,1.6,,CCL,,66.1,BATS,2017-09-01,66.09,0,2017-11-14,49.73,,535840,66.1,10000,+,90,142118,2935429,Carnival Corp,,i,E,66.02,0.08
2016-11-15,3183945,66.02,,66.17,,2017-08-23,,0.12,0,2,2017-11-15T13:57:42-06:00,0,65.83,2.42,2016-12-01,2017-11-15T14:42:37-06:00,10000,29.74,69.89,65.43,1.6,,CCL,,66.1,BATS,2017-09-01,66.09,0,2017-11-14,49.73,,535840,66.11,10000,.,96,142214,2935429,Carnival Corp,,i,E,66.02,0.08
2016-11-15,3183945,66.02,,66.17,,2017-08-23,,0.12,0,2,2017-11-15T13:58:00-06:00,0,65.83,2.42,2016-12-01,2017-11-15T14:43:00-06:00,10000,29.74,69.89,65.43,1.6,,CCL,,66.1,BATS,2017-09-01,66.08,0,2017-11-14,49.73,,535840,66.11,20000,.,100,142314,2935429,Carnival Corp,,i,E,66.02,0.08
2016-11-15,3183945,66.02,,66.17,,2017-08-23,,0.12,0,2,2017-11-15T13:58:27-06:00,0,65.83,2.42,2016-12-01,2017-11-15T14:43:18-06:00,10000,29.74,69.89,65.43,1.6,,CCL,,66.1,BATS,2017-09-01,66.09,0,2017-11-14,49.73,,535840,66.11,30000,.,25,142339,2935429,Carnival Corp,,i,E,66.02,0.08
2016-11-15,3183945,66.02,,66.17,,2017-08-23,,0.12,0,2,2017-11-15T13:58:53-06:00,0,65.83,2.42,2016-12-01,2017-11-15T14:43:18-06:00,40000,29.74,69.89,65.43,1.6,,CCL,,66.1,BATS,2017-09-01,66.08,0,2017-11-14,49.73,,535840,66.1,10000,.,25,142339,2935429,Carnival Corp,,i,E,66.02,0.08
2016-11-15,3183945,66.02,,66.17,,2017-08-23,,0.12,0,2,2017-11-15T13:59:04-06:00,0,65.83,2.42,2016-12-01,2017-11-15T14:43:18-06:00,10000,29.74,69.89,65.43,1.6,,CCL,,66.1,BATS,2017-09-01,66.08,0,2017-11-14,49.73,,535840,66.09,10000,.,25,142339,2935429,Carnival Corp,,i,E,66.02,0.08
2016-11-15,3184368,66.02,,66.17,,2017-08-23,,0.09,0,2,2017-11-15T13:59:44-06:00,0,65.83,2.42,2016-12-01,2017-11-15T14:44:41-06:00,10000,29.51,69.89,65.43,1.6,,CCL,,66.08,BATS,2017-09-01,66.08,0,2017-11-14,49.73,,535840,66.1,10000,+,100,142839,2940104,Carnival Corp,,i,E,66.02,0.06
