twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,2673753,93.19,,93.1,,2017-09-28,,-0.77,0,2,2017-11-15T13:55:18-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:40:18-06:00,10000,16.23,93.38,92.27,0.56,,DHR,,92.47,BATS,2017-11-13,92.47,0,2017-11-14,76.27,,695600,92.52,28800,-,1,41945,2716153,Danaher Corp,,i,E,93.19,-0.72
2016-11-15,2673753,93.19,,93.1,,2017-09-28,,-0.77,0,2,2017-11-15T13:55:29-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:40:21-06:00,20000,16.23,93.38,92.27,0.56,,DHR,,92.47,BATS,2017-11-13,92.48,0,2017-11-14,76.27,,695600,92.5,10000,.,43,41988,2716153,Danaher Corp,,i,E,93.19,-0.72
2016-11-15,2673753,93.19,,93.1,,2017-09-28,,-0.77,0,2,2017-11-15T13:56:12-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:40:21-06:00,10000,16.23,93.38,92.27,0.56,,DHR,,92.47,BATS,2017-11-13,92.48,0,2017-11-14,76.27,,695600,92.52,10000,.,43,41988,2716153,Danaher Corp,,i,E,93.19,-0.72
2016-11-15,2673753,93.19,,93.1,,2017-09-28,,-0.76,0,2,2017-11-15T13:56:59-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:41:41-06:00,10000,16.23,93.38,92.27,0.56,,DHR,,92.48,BATS,2017-11-13,92.47,0,2017-11-14,76.27,,695600,92.52,10000,.,90,42088,2716153,Danaher Corp,,i,E,93.19,-0.71
2016-11-15,2673753,93.19,,93.1,,2017-09-28,,-0.76,0,2,2017-11-15T13:57:13-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:41:41-06:00,10000,16.23,93.38,92.27,0.56,,DHR,,92.48,BATS,2017-11-13,92.45,0,2017-11-14,76.27,,695600,92.52,20000,.,90,42088,2716153,Danaher Corp,,i,E,93.19,-0.71
2016-11-15,2673753,93.19,,93.1,,2017-09-28,,-0.76,0,2,2017-11-15T13:57:49-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:42:37-06:00,10000,16.23,93.38,92.27,0.56,,DHR,,92.48,BATS,2017-11-13,92.46,0,2017-11-14,76.27,,695600,92.52,27500,.,11,42099,2716153,Danaher Corp,,i,E,93.19,-0.71
2016-11-15,2673753,93.19,,93.1,,2017-09-28,,-0.76,0,2,2017-11-15T13:58:09-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:42:37-06:00,10000,16.23,93.38,92.27,0.56,,DHR,,92.48,BATS,2017-11-13,92.45,0,2017-11-14,76.27,,695600,92.52,20000,.,11,42099,2716153,Danaher Corp,,i,E,93.19,-0.71
2016-11-15,2673753,93.19,,93.1,,2017-09-28,,-0.76,0,2,2017-11-15T13:58:26-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:43:26-06:00,10000,16.23,93.38,92.27,0.56,,DHR,,92.48,BATS,2017-11-13,92.45,0,2017-11-14,76.27,,695600,92.51,20000,-,10,42209,2716153,Danaher Corp,,i,E,93.19,-0.71
2016-11-15,2673753,93.19,,93.1,,2017-09-28,,-0.76,0,2,2017-11-15T13:58:39-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:43:26-06:00,20000,16.23,93.38,92.27,0.56,,DHR,,92.48,BATS,2017-11-13,92.45,0,2017-11-14,76.27,,695600,92.53,20000,-,10,42209,2716153,Danaher Corp,,i,E,93.19,-0.71
2016-11-15,2673753,93.19,,93.1,,2017-09-28,,-0.76,0,2,2017-11-15T13:59:19-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:43:26-06:00,20000,16.23,93.38,92.27,0.56,,DHR,,92.48,BATS,2017-11-13,92.49,0,2017-11-14,76.27,,695600,92.53,10000,-,10,42209,2716153,Danaher Corp,,i,E,93.19,-0.71
2016-11-15,2673922,93.19,,93.1,,2017-09-28,,-0.76,0,2,2017-11-15T13:59:32-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:43:26-06:00,20000,16.19,93.38,92.27,0.56,,DHR,,92.48,BATS,2017-11-13,92.49,0,2017-11-14,76.27,,695600,92.53,10000,-,10,42209,2718019,Danaher Corp,,i,E,93.19,-0.71
2016-11-15,2673922,93.19,,93.1,,2017-09-28,,-0.76,0,2,2017-11-15T14:00:08-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:43:26-06:00,1200,16.19,93.38,92.27,0.56,,DHR,,92.48,BATS,2017-11-13,92.49,0,2017-11-14,76.27,,695600,92.51,10000,-,10,42209,2718019,Danaher Corp,,i,E,93.19,-0.71
2016-11-15,2673922,93.19,,93.1,,2017-09-28,,-0.76,0,2,2017-11-15T14:00:22-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:43:26-06:00,1200,16.19,93.38,92.27,0.56,,DHR,,92.48,BATS,2017-11-13,92.49,0,2017-11-14,76.27,,695600,92.51,30000,-,10,42209,2718019,Danaher Corp,,i,E,93.19,-0.71
2016-11-15,2673922,93.19,,93.1,,2017-09-28,,-0.76,0,2,2017-11-15T14:00:54-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:43:26-06:00,10000,16.19,93.38,92.27,0.56,,DHR,,92.48,BATS,2017-11-13,92.49,0,2017-11-14,76.27,,695600,92.5,30000,-,10,42209,2718019,Danaher Corp,,i,E,93.19,-0.71
2016-11-15,2673922,93.19,,93.1,,2017-09-28,,-0.75,0,2,2017-11-15T14:01:29-06:00,0,92.27,0.6,2016-12-07,2017-11-15T14:46:28-06:00,200,16.19,93.38,92.27,0.56,,DHR,,92.49,BATS,2017-11-13,92.47,0,2017-11-14,76.27,,695600,92.49,10000,.,100,42609,2718019,Danaher Corp,,i,E,93.19,-0.7
