twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,2372437,58.56,,58.38,,2017-10-18,,-0.73,0,2,2017-11-15T13:55:21-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:40:21-06:00,20000,37.57,59.32,57.74,0.16,,LEN,,58.13,BATS,2017-11-10,58.12,0,2017-11-14,41.64,,235260,58.14,29900,.,100,135996,4443646,Lennar Corp,,i,E,58.56,-0.43
2016-11-15,2372437,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T13:55:50-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:40:35-06:00,10000,37.57,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.12,0,2017-11-14,41.64,,235260,58.13,39900,.,1,136346,4443646,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372437,58.56,,58.38,,2017-10-18,,-0.73,0,2,2017-11-15T13:56:21-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:41:03-06:00,30000,37.57,59.32,57.74,0.16,,LEN,,58.13,BATS,2017-11-10,58.12,0,2017-11-14,41.64,,235260,58.14,10000,+,100,136446,4443646,Lennar Corp,,i,E,58.56,-0.43
2016-11-15,2372437,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T13:57:02-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:41:45-06:00,10000,37.57,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.12,0,2017-11-14,41.64,,235260,58.13,10000,-,100,136546,4443646,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372437,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T13:57:30-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:41:45-06:00,20000,37.57,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.12,0,2017-11-14,41.64,,235260,58.13,10000,-,100,136546,4443646,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372437,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T13:57:49-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:41:45-06:00,30000,37.57,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.11,0,2017-11-14,41.64,,235260,58.13,20000,-,100,136546,4443646,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372437,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T13:58:14-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:41:45-06:00,20000,37.57,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.12,0,2017-11-14,41.64,,235260,58.13,10000,-,100,136546,4443646,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372437,58.56,,58.38,,2017-10-18,,-0.77,0,2,2017-11-15T13:58:28-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:43:18-06:00,10000,37.57,59.32,57.74,0.16,,LEN,,58.11,BATS,2017-11-10,58.08,0,2017-11-14,41.64,,235260,58.11,10000,-,100,136746,4443646,Lennar Corp,,i,E,58.56,-0.45
2016-11-15,2372437,58.56,,58.38,,2017-10-18,,-0.79,0,2,2017-11-15T13:59:03-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:44:02-06:00,20000,37.57,59.32,57.74,0.16,,LEN,,58.1,BATS,2017-11-10,58.09,0,2017-11-14,41.64,,235260,58.12,40000,+,100,137046,4443646,Lennar Corp,,i,E,58.56,-0.46
2016-11-15,2372437,58.56,,58.38,,2017-10-18,,-0.79,0,2,2017-11-15T13:59:25-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:44:02-06:00,10000,37.57,59.32,57.74,0.16,,LEN,,58.1,BATS,2017-11-10,58.1,0,2017-11-14,41.64,,235260,58.12,10000,+,100,137046,4443646,Lennar Corp,,i,E,58.56,-0.46
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.8,0,2,2017-11-15T13:59:46-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:44:44-06:00,10000,37.55,59.32,57.74,0.16,,LEN,,58.09,BATS,2017-11-10,58.09,0,2017-11-14,41.64,,235260,58.12,10000,-,87,137233,4446732,Lennar Corp,,i,E,58.56,-0.47
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T14:00:21-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:45:17-06:00,20000,37.55,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.11,0,2017-11-14,41.64,,235260,58.14,10000,+,200,137435,4446732,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T14:00:42-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:45:17-06:00,20000,37.55,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.11,0,2017-11-14,41.64,,235260,58.14,20000,+,200,137435,4446732,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T14:01:10-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:45:17-06:00,10000,37.55,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.11,0,2017-11-14,41.64,,235260,58.13,20000,+,200,137435,4446732,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T14:01:29-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:45:17-06:00,10000,37.55,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.11,0,2017-11-14,41.64,,235260,58.13,10000,+,200,137435,4446732,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T14:01:59-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:45:17-06:00,10000,37.55,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.11,0,2017-11-14,41.64,,235260,58.13,10000,+,200,137435,4446732,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T14:02:12-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:45:17-06:00,10000,37.55,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.1,0,2017-11-14,41.64,,235260,58.13,20000,+,200,137435,4446732,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T14:02:52-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:47:51-06:00,10000,37.55,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.11,0,2017-11-14,41.64,,235260,58.13,10000,.,100,137535,4446732,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.75,0,2,2017-11-15T14:03:12-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:47:51-06:00,10000,37.55,59.32,57.74,0.16,,LEN,,58.12,BATS,2017-11-10,58.11,0,2017-11-14,41.64,,235260,58.13,10000,.,100,137535,4446732,Lennar Corp,,i,E,58.56,-0.44
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.77,0,2,2017-11-15T14:03:44-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:48:41-06:00,10000,37.55,59.32,57.74,0.16,,LEN,,58.11,BATS,2017-11-10,58.1,0,2017-11-14,41.64,,235260,58.11,20000,-,100,137635,4446732,Lennar Corp,,i,E,58.56,-0.45
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.77,0,2,2017-11-15T14:04:05-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:48:41-06:00,10400,37.55,59.32,57.74,0.16,,LEN,,58.11,BATS,2017-11-10,58.08,0,2017-11-14,41.64,,235260,58.11,10000,-,100,137635,4446732,Lennar Corp,,i,E,58.56,-0.45
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.79,0,2,2017-11-15T14:04:33-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:49:19-06:00,20000,37.55,59.32,57.74,0.16,,LEN,,58.1,BATS,2017-11-10,58.1,0,2017-11-14,41.64,,235260,58.12,20000,-,100,137742,4446732,Lennar Corp,,i,E,58.56,-0.46
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.79,0,2,2017-11-15T14:05:00-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:49:19-06:00,10000,37.55,59.32,57.74,0.16,,LEN,,58.1,BATS,2017-11-10,58.1,0,2017-11-14,41.64,,235260,58.12,20000,-,100,137742,4446732,Lennar Corp,,i,E,58.56,-0.46
2016-11-15,2372716,58.56,,58.38,,2017-10-18,,-0.79,0,2,2017-11-15T14:05:21-06:00,0,58.38,0.27,2016-11-16,2017-11-15T14:49:19-06:00,10000,37.55,59.32,57.74,0.16,,LEN,,58.1,BATS,2017-11-10,58.1,0,2017-11-14,41.64,,235260,58.12,20000,-,100,137742,4446732,Lennar Corp,,i,E,58.56,-0.46
