twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,6696597,195.71,,195.36,,,,-1.37,0,2,2017-11-15T13:55:30-06:00,0,194.39,0,2016-11-16,2017-11-15T14:40:16-06:00,10000,69.99,204.38,192.84,0,,NFLX,,193.02,BATS,2017-10-17,192.86,0,2017-11-14,111.81,,432730,193.02,20000,+,100,129272,5411358,Netflix Inc,,i,E,195.71,-2.69
2016-11-15,6696597,195.71,,195.36,,,,-1.37,0,2,2017-11-15T13:55:54-06:00,0,194.39,0,2016-11-16,2017-11-15T14:40:16-06:00,10000,69.99,204.38,192.84,0,,NFLX,,193.02,BATS,2017-10-17,192.97,0,2017-11-14,111.81,,432730,193,30000,+,100,129272,5411358,Netflix Inc,,i,E,195.71,-2.69
2016-11-15,6696597,195.71,,195.36,,,,-1.4,0,2,2017-11-15T13:56:27-06:00,0,194.39,0,2016-11-16,2017-11-15T14:41:21-06:00,20000,69.99,204.38,192.84,0,,NFLX,,192.97,BATS,2017-10-17,192.93,0,2017-11-14,111.81,,432730,193,7600,-,100,129572,5411358,Netflix Inc,,i,E,195.71,-2.74
2016-11-15,6696597,195.71,,195.36,,,,-1.43,0,2,2017-11-15T13:57:03-06:00,0,194.39,0,2016-11-16,2017-11-15T14:41:49-06:00,10000,69.99,204.38,192.84,0,,NFLX,,192.92,BATS,2017-10-17,192.81,0,2017-11-14,111.81,,432730,192.98,20000,-,46,129618,5411358,Netflix Inc,,i,E,195.71,-2.79
2016-11-15,6696597,195.71,,195.36,,,,-1.44,0,2,2017-11-15T13:57:35-06:00,0,194.39,0,2016-11-16,2017-11-15T14:42:13-06:00,20000,69.99,204.38,192.84,0,,NFLX,,192.89,BATS,2017-10-17,192.84,0,2017-11-14,111.81,,432730,193,10000,.,2,129876,5411358,Netflix Inc,,i,E,195.71,-2.82
2016-11-15,6696597,195.71,,195.36,,,,-1.46,0,2,2017-11-15T13:57:59-06:00,0,194.39,0,2016-11-16,2017-11-15T14:42:56-06:00,10000,69.99,204.38,192.84,0,,NFLX,,192.85,BATS,2017-10-17,192.84,0,2017-11-14,111.81,,432730,192.88,15000,.,25,130001,5411358,Netflix Inc,,i,E,195.71,-2.86
2016-11-15,6696597,195.71,,195.36,,,,-1.43,0,2,2017-11-15T13:58:21-06:00,0,194.39,0,2016-11-16,2017-11-15T14:43:16-06:00,30000,69.99,204.38,192.84,0,,NFLX,,192.91,BATS,2017-10-17,192.81,0,2017-11-14,111.81,,432730,193,10000,-,96,130404,5411358,Netflix Inc,,i,E,195.71,-2.8
2016-11-15,6696597,195.71,,195.36,,,,-1.45,0,2,2017-11-15T13:58:42-06:00,0,194.39,0,2016-11-16,2017-11-15T14:43:35-06:00,30000,69.99,204.38,192.82,0,,NFLX,,192.87,BATS,2017-10-17,192.91,0,2017-11-14,111.81,,432730,193,10000,+,100,132420,5411358,Netflix Inc,,i,E,195.71,-2.84
2016-11-15,6696597,195.71,,195.36,,,,-1.39,0,2,2017-11-15T13:59:08-06:00,0,194.39,0,2016-11-16,2017-11-15T14:43:44-06:00,20000,69.99,204.38,192.82,0,,NFLX,,192.98,BATS,2017-10-17,192.92,0,2017-11-14,111.81,,432730,193,10000,+,53,132473,5411358,Netflix Inc,,i,E,195.71,-2.73
2016-11-15,6696597,195.71,,195.36,,,,-1.38,0,2,2017-11-15T13:59:33-06:00,0,194.39,0,2016-11-16,2017-11-15T14:44:31-06:00,10000,69.99,204.38,192.82,0,,NFLX,,193,BATS,2017-10-17,192.97,0,2017-11-14,111.81,,432730,193.23,10000,-,50,132723,5411358,Netflix Inc,,i,E,195.71,-2.71
