twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,2744657,51.72,,52.02,,2017-09-07,,-0.81,0,2,2017-11-15T13:55:15-06:00,0,51.9,3.4,2016-11-18,2017-11-15T14:39:39-06:00,10000,24.36,52.12,51.16,1.72,,PEG,,51.3,BATS,2017-11-15,51.29,0,2017-11-14,40.11,,506040,51.3,40000,.,100,108909,2953187,Public Service Enterprise Group Inc,,i,E,51.72,-0.42
2016-11-15,2744657,51.72,,52.02,,2017-09-07,,-0.83,0,2,2017-11-15T13:55:52-06:00,0,51.9,3.4,2016-11-18,2017-11-15T14:40:52-06:00,30000,24.36,52.12,51.16,1.72,,PEG,,51.29,BATS,2017-11-15,51.29,0,2017-11-14,40.11,,506040,51.3,10000,-,100,109009,2953187,Public Service Enterprise Group Inc,,i,E,51.72,-0.43
2016-11-15,2744657,51.72,,52.02,,2017-09-07,,-0.81,0,2,2017-11-15T13:56:27-06:00,0,51.9,3.4,2016-11-18,2017-11-15T14:41:23-06:00,20000,24.36,52.12,51.16,1.72,,PEG,,51.3,BATS,2017-11-15,51.3,0,2017-11-14,40.11,,506040,51.32,60000,+,100,109109,2953187,Public Service Enterprise Group Inc,,i,E,51.72,-0.42
2016-11-15,2744657,51.72,,52.02,,2017-09-07,,-0.81,0,2,2017-11-15T13:56:53-06:00,0,51.9,3.4,2016-11-18,2017-11-15T14:41:23-06:00,20000,24.36,52.12,51.16,1.72,,PEG,,51.3,BATS,2017-11-15,51.34,0,2017-11-14,40.11,,506040,51.36,30000,+,100,109109,2953187,Public Service Enterprise Group Inc,,i,E,51.72,-0.42
2016-11-15,2744657,51.72,,52.02,,2017-09-07,,-0.73,0,2,2017-11-15T13:57:36-06:00,0,51.9,3.4,2016-11-18,2017-11-15T14:42:31-06:00,30000,24.36,52.12,51.16,1.72,,PEG,,51.34,BATS,2017-11-15,51.34,0,2017-11-14,40.11,,506040,51.35,30000,+,100,109209,2953187,Public Service Enterprise Group Inc,,i,E,51.72,-0.38
2016-11-15,2744657,51.72,,52.02,,2017-09-07,,-0.72,0,2,2017-11-15T13:57:59-06:00,0,51.9,3.4,2016-11-18,2017-11-15T14:42:51-06:00,50000,24.36,52.12,51.16,1.72,,PEG,,51.35,BATS,2017-11-15,51.36,0,2017-11-14,40.11,,506040,51.37,10000,+,100,109309,2953187,Public Service Enterprise Group Inc,,i,E,51.72,-0.37
2016-11-15,2744657,51.72,,52.02,,2017-09-07,,-0.7,0,2,2017-11-15T13:58:21-06:00,0,51.9,3.4,2016-11-18,2017-11-15T14:43:02-06:00,30000,24.36,52.12,51.16,1.72,,PEG,,51.36,BATS,2017-11-15,51.36,0,2017-11-14,40.11,,506040,51.38,60000,+,100,109409,2953187,Public Service Enterprise Group Inc,,i,E,51.72,-0.36
2016-11-15,2744657,51.72,,52.02,,2017-09-07,,-0.68,0,2,2017-11-15T13:58:43-06:00,0,51.9,3.4,2016-11-18,2017-11-15T14:43:28-06:00,30000,24.36,52.12,51.16,1.72,,PEG,,51.37,BATS,2017-11-15,51.37,0,2017-11-14,40.11,,506040,51.39,20000,+,100,109709,2953187,Public Service Enterprise Group Inc,,i,E,51.72,-0.35
2016-11-15,2744657,51.72,,52.02,,2017-09-07,,-0.68,0,2,2017-11-15T13:59:08-06:00,0,51.9,3.4,2016-11-18,2017-11-15T14:43:28-06:00,10000,24.36,52.12,51.16,1.72,,PEG,,51.37,BATS,2017-11-15,51.37,0,2017-11-14,40.11,,506040,51.38,20300,+,100,109709,2953187,Public Service Enterprise Group Inc,,i,E,51.72,-0.35
2016-11-15,2744657,51.72,,52.02,,2017-09-07,,-0.68,0,2,2017-11-15T13:59:29-06:00,0,51.9,3.4,2016-11-18,2017-11-15T14:44:26-06:00,40000,24.36,52.12,51.16,1.72,,PEG,,51.37,BATS,2017-11-15,51.36,0,2017-11-14,40.11,,506040,51.37,20000,-,3,109712,2953187,Public Service Enterprise Group Inc,,i,E,51.72,-0.35
