twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,1111649,68.33,,68.84,,2017-08-30,,0.59,0,2,2017-11-15T13:55:23-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:39:38-06:00,10000,19.03,69.95,67.38,1.88,,PFG,,68.73,BATS,2017-11-07,68.76,0,2017-11-14,56.12,,288760,68.81,10000,+,100,42426,1242243,Principal Financial Group Inc,,i,E,68.33,0.4
2016-11-15,1111649,68.33,,68.84,,2017-08-30,,0.64,0,2,2017-11-15T13:55:52-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:40:43-06:00,10000,19.03,69.95,67.38,1.88,,PFG,,68.77,BATS,2017-11-07,68.77,0,2017-11-14,56.12,,288760,68.8,9000,+,90,42616,1242243,Principal Financial Group Inc,,i,E,68.33,0.44
2016-11-15,1111649,68.33,,68.84,,2017-08-30,,0.64,0,2,2017-11-15T13:56:26-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:41:21-06:00,200,19.03,69.95,67.38,1.88,,PFG,,68.77,BATS,2017-11-07,68.72,0,2017-11-14,56.12,,288760,68.78,10000,.,24,43106,1242243,Principal Financial Group Inc,,i,E,68.33,0.44
2016-11-15,1111649,68.33,,68.84,,2017-08-30,,0.64,0,2,2017-11-15T13:56:44-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:41:21-06:00,10000,19.03,69.95,67.38,1.88,,PFG,,68.77,BATS,2017-11-07,68.75,0,2017-11-14,56.12,,288760,68.79,20000,.,24,43106,1242243,Principal Financial Group Inc,,i,E,68.33,0.44
2016-11-15,1111649,68.33,,68.84,,2017-08-30,,0.64,0,2,2017-11-15T13:57:35-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:41:21-06:00,10000,19.03,69.95,67.38,1.88,,PFG,,68.77,BATS,2017-11-07,68.76,0,2017-11-14,56.12,,288760,68.79,10000,.,24,43106,1242243,Principal Financial Group Inc,,i,E,68.33,0.44
2016-11-15,1111649,68.33,,68.84,,2017-08-30,,0.64,0,2,2017-11-15T13:57:53-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:41:21-06:00,20000,19.03,69.95,67.38,1.88,,PFG,,68.77,BATS,2017-11-07,68.54,0,2017-11-14,56.12,,288760,68.78,10000,.,24,43106,1242243,Principal Financial Group Inc,,i,E,68.33,0.44
2016-11-15,1111649,68.33,,68.84,,2017-08-30,,0.66,0,2,2017-11-15T13:58:19-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:43:18-06:00,10000,19.03,69.95,67.38,1.88,,PFG,,68.78,BATS,2017-11-07,68.51,0,2017-11-14,56.12,,288760,68.79,10000,+,95,43301,1242243,Principal Financial Group Inc,,i,E,68.33,0.45
2016-11-15,1111649,68.33,,68.84,,2017-08-30,,0.64,0,2,2017-11-15T13:58:42-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:43:28-06:00,10000,19.03,69.95,67.38,1.88,,PFG,,68.77,BATS,2017-11-07,68.51,0,2017-11-14,56.12,,288760,68.79,10000,-,100,43401,1242243,Principal Financial Group Inc,,i,E,68.33,0.44
2016-11-15,1111649,68.33,,68.84,,2017-08-30,,0.66,0,2,2017-11-15T13:59:06-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:44:04-06:00,27300,19.03,69.95,67.38,1.88,,PFG,,68.78,BATS,2017-11-07,68.51,0,2017-11-14,56.12,,288760,68.79,10000,+,50,43451,1242243,Principal Financial Group Inc,,i,E,68.33,0.45
2016-11-15,1111649,68.33,,68.84,,2017-08-30,,0.66,0,2,2017-11-15T13:59:34-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:44:14-06:00,27300,19.03,69.95,67.38,1.88,,PFG,,68.78,BATS,2017-11-07,68.51,0,2017-11-14,56.12,,288760,68.78,15000,.,100,43551,1242243,Principal Financial Group Inc,,i,E,68.33,0.45
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.66,0,2,2017-11-15T13:59:55-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:44:37-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.78,BATS,2017-11-07,68.77,0,2017-11-14,56.12,,288760,68.79,10000,.,100,43751,1243605,Principal Financial Group Inc,,i,E,68.33,0.45
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.67,0,2,2017-11-15T14:00:26-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:45:23-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.79,BATS,2017-11-07,68.53,0,2017-11-14,56.12,,288760,68.84,10000,.,4,43855,1243605,Principal Financial Group Inc,,i,E,68.33,0.46
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.67,0,2,2017-11-15T14:00:42-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:45:23-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.79,BATS,2017-11-07,68.79,0,2017-11-14,56.12,,288760,68.82,10000,.,4,43855,1243605,Principal Financial Group Inc,,i,E,68.33,0.46
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.67,0,2,2017-11-15T14:01:01-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:46:00-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.79,BATS,2017-11-07,68.78,0,2017-11-14,56.12,,288760,68.82,400,.,15,44271,1243605,Principal Financial Group Inc,,i,E,68.33,0.46
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.67,0,2,2017-11-15T14:01:41-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:46:00-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.79,BATS,2017-11-07,68.78,0,2017-11-14,56.12,,288760,68.8,400,.,15,44271,1243605,Principal Financial Group Inc,,i,E,68.33,0.46
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.7,0,2,2017-11-15T14:02:02-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:46:49-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.81,BATS,2017-11-07,68.8,0,2017-11-14,56.12,,288760,68.84,10000,+,100,44471,1243605,Principal Financial Group Inc,,i,E,68.33,0.48
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.7,0,2,2017-11-15T14:02:02-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:46:49-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.81,BATS,2017-11-07,68.8,0,2017-11-14,56.12,,288760,68.84,10000,+,100,44471,1243605,Principal Financial Group Inc,,i,E,68.33,0.48
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.7,0,2,2017-11-15T14:02:46-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:46:49-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.81,BATS,2017-11-07,68.8,0,2017-11-14,56.12,,288760,68.82,10000,+,100,44471,1243605,Principal Financial Group Inc,,i,E,68.33,0.48
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.69,0,2,2017-11-15T14:03:22-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:48:16-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.8,BATS,2017-11-07,68.76,0,2017-11-14,56.12,,288760,68.8,10000,.,5,44576,1243605,Principal Financial Group Inc,,i,E,68.33,0.47
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.64,0,2,2017-11-15T14:03:49-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:48:47-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.77,BATS,2017-11-07,68.72,0,2017-11-14,56.12,,288760,68.78,10000,.,15,44676,1243605,Principal Financial Group Inc,,i,E,68.33,0.44
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.63,0,2,2017-11-15T14:04:10-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:49:08-06:00,1700,19.15,69.95,67.38,1.88,,PFG,,68.76,BATS,2017-11-07,68.75,0,2017-11-14,56.12,,288760,68.77,39400,+,100,44876,1243605,Principal Financial Group Inc,,i,E,68.33,0.43
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.63,0,2,2017-11-15T14:04:10-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:49:08-06:00,1700,19.15,69.95,67.38,1.88,,PFG,,68.76,BATS,2017-11-07,68.75,0,2017-11-14,56.12,,288760,68.77,39400,+,100,44876,1243605,Principal Financial Group Inc,,i,E,68.33,0.43
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.63,0,2,2017-11-15T14:04:10-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:49:08-06:00,1700,19.15,69.95,67.38,1.88,,PFG,,68.76,BATS,2017-11-07,68.75,0,2017-11-14,56.12,,288760,68.77,39400,+,100,44876,1243605,Principal Financial Group Inc,,i,E,68.33,0.43
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.63,0,2,2017-11-15T14:04:10-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:49:08-06:00,1700,19.15,69.95,67.38,1.88,,PFG,,68.76,BATS,2017-11-07,68.75,0,2017-11-14,56.12,,288760,68.77,39400,+,100,44876,1243605,Principal Financial Group Inc,,i,E,68.33,0.43
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.63,0,2,2017-11-15T14:04:10-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:49:08-06:00,1700,19.15,69.95,67.38,1.88,,PFG,,68.76,BATS,2017-11-07,68.75,0,2017-11-14,56.12,,288760,68.77,39400,+,100,44876,1243605,Principal Financial Group Inc,,i,E,68.33,0.43
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.63,0,2,2017-11-15T14:04:10-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:49:08-06:00,1700,19.15,69.95,67.38,1.88,,PFG,,68.76,BATS,2017-11-07,68.75,0,2017-11-14,56.12,,288760,68.77,39400,+,100,44876,1243605,Principal Financial Group Inc,,i,E,68.33,0.43
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.63,0,2,2017-11-15T14:04:10-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:49:08-06:00,1700,19.15,69.95,67.38,1.88,,PFG,,68.76,BATS,2017-11-07,68.75,0,2017-11-14,56.12,,288760,68.77,39400,+,100,44876,1243605,Principal Financial Group Inc,,i,E,68.33,0.43
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.61,0,2,2017-11-15T14:07:11-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:52:10-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.75,BATS,2017-11-07,68.72,0,2017-11-14,56.12,,288760,68.78,10000,.,2,45289,1243605,Principal Financial Group Inc,,i,E,68.33,0.42
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.61,0,2,2017-11-15T14:07:36-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:52:10-06:00,100,19.15,69.95,67.38,1.88,,PFG,,68.75,BATS,2017-11-07,68.72,0,2017-11-14,56.12,,288760,68.76,10000,.,2,45289,1243605,Principal Financial Group Inc,,i,E,68.33,0.42
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.61,0,2,2017-11-15T14:07:45-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:52:10-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.75,BATS,2017-11-07,68.7,0,2017-11-14,56.12,,288760,68.75,10000,.,2,45289,1243605,Principal Financial Group Inc,,i,E,68.33,0.42
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.61,0,2,2017-11-15T14:08:34-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:52:10-06:00,10000,19.15,69.95,67.38,1.88,,PFG,,68.75,BATS,2017-11-07,68.7,0,2017-11-14,56.12,,288760,68.74,10000,.,2,45289,1243605,Principal Financial Group Inc,,i,E,68.33,0.42
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.61,0,2,2017-11-15T14:09:15-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:52:10-06:00,20100,19.15,69.95,67.38,1.88,,PFG,,68.75,BATS,2017-11-07,68.68,0,2017-11-14,56.12,,288760,68.72,10000,.,2,45289,1243605,Principal Financial Group Inc,,i,E,68.33,0.42
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.61,0,2,2017-11-15T14:09:15-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:52:10-06:00,20100,19.15,69.95,67.38,1.88,,PFG,,68.75,BATS,2017-11-07,68.68,0,2017-11-14,56.12,,288760,68.72,10000,.,2,45289,1243605,Principal Financial Group Inc,,i,E,68.33,0.42
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.61,0,2,2017-11-15T14:09:15-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:52:10-06:00,20100,19.15,69.95,67.38,1.88,,PFG,,68.75,BATS,2017-11-07,68.68,0,2017-11-14,56.12,,288760,68.72,10000,.,2,45289,1243605,Principal Financial Group Inc,,i,E,68.33,0.42
2016-11-15,1111772,68.33,,68.84,,2017-08-30,,0.51,0,2,2017-11-15T14:10:37-06:00,0,67.58,2.76,2017-02-02,2017-11-15T14:55:34-06:00,100,19.15,69.95,67.38,1.88,,PFG,,68.68,BATS,2017-11-07,68.65,0,2017-11-14,56.12,,288760,68.68,10000,-,100,45394,1243605,Principal Financial Group Inc,,i,E,68.33,0.35
