twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,1013232,179.67,,179.6,,2017-11-09,,-0.33,0,2,2017-11-15T13:55:09-06:00,0,178.55,1.46,2016-11-29,2017-11-15T14:37:52-06:00,10000,27.88,189.83,177.89,2.64,,PH,,179.07,BATS,2017-11-02,179.05,0,2017-11-14,134.03,,133230,179.12,10000,-,5,20876,694175,Parker-Hannifin Corp,,i,E,179.67,-0.6
2016-11-15,1013232,179.67,,179.6,,2017-11-09,,-0.33,0,2,2017-11-15T13:55:09-06:00,0,178.55,1.46,2016-11-29,2017-11-15T14:37:52-06:00,10000,27.88,189.83,177.89,2.64,,PH,,179.07,BATS,2017-11-02,179.05,0,2017-11-14,134.03,,133230,179.12,10000,-,5,20876,694175,Parker-Hannifin Corp,,i,E,179.67,-0.6
2016-11-15,1013232,179.67,,179.6,,2017-11-09,,-0.34,0,2,2017-11-15T13:56:27-06:00,0,178.55,1.46,2016-11-29,2017-11-15T14:41:19-06:00,10000,27.88,189.83,177.89,2.64,,PH,,179.06,BATS,2017-11-02,178.99,0,2017-11-14,134.03,,133230,179.04,10000,-,100,20986,694175,Parker-Hannifin Corp,,i,E,179.67,-0.61
2016-11-15,1013232,179.67,,179.6,,2017-11-09,,-0.35,0,2,2017-11-15T13:57:03-06:00,0,178.55,1.46,2016-11-29,2017-11-15T14:42:02-06:00,10000,27.88,189.83,177.89,2.64,,PH,,179.04,BATS,2017-11-02,178.98,0,2017-11-14,134.03,,133230,179.09,10000,-,100,21086,694175,Parker-Hannifin Corp,,i,E,179.67,-0.63
2016-11-15,1013232,179.67,,179.6,,2017-11-09,,-0.35,0,2,2017-11-15T13:57:03-06:00,0,178.55,1.46,2016-11-29,2017-11-15T14:42:02-06:00,10000,27.88,189.83,177.89,2.64,,PH,,179.04,BATS,2017-11-02,178.98,0,2017-11-14,134.03,,133230,179.09,10000,-,100,21086,694175,Parker-Hannifin Corp,,i,E,179.67,-0.63
2016-11-15,1013232,179.67,,179.6,,2017-11-09,,-0.32,0,2,2017-11-15T13:57:50-06:00,0,178.55,1.46,2016-11-29,2017-11-15T14:42:49-06:00,10000,27.88,189.83,177.89,2.64,,PH,,179.09,BATS,2017-11-02,178.98,0,2017-11-14,134.03,,133230,179.4,10000,+,100,21186,694175,Parker-Hannifin Corp,,i,E,179.67,-0.58
2016-11-15,1013232,179.67,,179.6,,2017-11-09,,-0.3,0,2,2017-11-15T13:58:21-06:00,0,178.55,1.46,2016-11-29,2017-11-15T14:43:13-06:00,10000,27.88,189.83,177.89,2.64,,PH,,179.13,BATS,2017-11-02,178.6,0,2017-11-14,134.03,,133230,179.18,20000,+,10,21196,694175,Parker-Hannifin Corp,,i,E,179.67,-0.54
2016-11-15,1013232,179.67,,179.6,,2017-11-09,,-0.3,0,2,2017-11-15T13:58:39-06:00,0,178.55,1.46,2016-11-29,2017-11-15T14:43:13-06:00,10000,27.88,189.83,177.89,2.64,,PH,,179.13,BATS,2017-11-02,179.06,0,2017-11-14,134.03,,133230,179.4,10000,+,10,21196,694175,Parker-Hannifin Corp,,i,E,179.67,-0.54
2016-11-15,1013232,179.67,,179.6,,2017-11-09,,-0.3,0,2,2017-11-15T13:58:47-06:00,0,178.55,1.46,2016-11-29,2017-11-15T14:43:13-06:00,10000,27.88,189.83,177.89,2.64,,PH,,179.13,BATS,2017-11-02,179.06,0,2017-11-14,134.03,,133230,179.21,10000,+,10,21196,694175,Parker-Hannifin Corp,,i,E,179.67,-0.54
2016-11-15,1013232,179.67,,179.6,,2017-11-09,,-0.32,0,2,2017-11-15T13:59:29-06:00,0,178.55,1.46,2016-11-29,2017-11-15T14:44:09-06:00,10000,27.88,189.83,177.89,2.64,,PH,,179.1,BATS,2017-11-02,179.11,0,2017-11-14,134.03,,133230,179.21,10000,-,12,21208,694175,Parker-Hannifin Corp,,i,E,179.67,-0.57
