twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,1412538,93.82,,93.21,,2017-08-23,,-1.17,0,2,2017-11-15T13:55:28-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:39:16-06:00,10000,37.58,93.83,92.45,1.6,,TEL,,92.72,BATS,2017-11-14,92.69,0,2017-11-14,66.14,,353380,93.06,22400,+,100,40881,1233777,Te Connectivity Ltd,,i,E,93.82,-1.1
2016-11-15,1412538,93.82,,93.21,,2017-08-23,,-1.17,0,2,2017-11-15T13:56:05-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:39:16-06:00,10000,37.58,93.83,92.45,1.6,,TEL,,92.72,BATS,2017-11-14,92.68,0,2017-11-14,66.14,,353380,93.06,10000,+,100,40881,1233777,Te Connectivity Ltd,,i,E,93.82,-1.1
2016-11-15,1412538,93.82,,93.21,,2017-08-23,,-1.22,0,2,2017-11-15T13:56:33-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:41:28-06:00,10000,37.58,93.83,92.45,1.6,,TEL,,92.68,BATS,2017-11-14,92.66,0,2017-11-14,66.14,,353380,92.99,10000,-,100,40981,1233777,Te Connectivity Ltd,,i,E,93.82,-1.14
2016-11-15,1412538,93.82,,93.21,,2017-08-23,,-1.24,0,2,2017-11-15T13:57:16-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:42:09-06:00,10000,37.58,93.83,92.45,1.6,,TEL,,92.66,BATS,2017-11-14,92.61,0,2017-11-14,66.14,,353380,92.67,10000,-,100,41081,1233777,Te Connectivity Ltd,,i,E,93.82,-1.16
2016-11-15,1412538,93.82,,93.21,,2017-08-23,,-1.2,0,2,2017-11-15T13:57:40-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:42:39-06:00,20000,37.58,93.83,92.45,1.6,,TEL,,92.69,BATS,2017-11-14,92.67,0,2017-11-14,66.14,,353380,92.7,10000,.,100,41581,1233777,Te Connectivity Ltd,,i,E,93.82,-1.13
2016-11-15,1412538,93.82,,93.21,,2017-08-23,,-1.2,0,2,2017-11-15T13:57:47-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:42:39-06:00,10000,37.58,93.83,92.45,1.6,,TEL,,92.69,BATS,2017-11-14,92.67,0,2017-11-14,66.14,,353380,92.7,10000,.,100,41581,1233777,Te Connectivity Ltd,,i,E,93.82,-1.13
2016-11-15,1412538,93.82,,93.21,,2017-08-23,,-1.19,0,2,2017-11-15T13:58:15-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:43:10-06:00,10000,37.58,93.83,92.45,1.6,,TEL,,92.7,BATS,2017-11-14,92.7,0,2017-11-14,66.14,,353380,92.99,10000,+,100,41781,1233777,Te Connectivity Ltd,,i,E,93.82,-1.12
2016-11-15,1412538,93.82,,93.21,,2017-08-23,,-1.19,0,2,2017-11-15T13:58:39-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:43:10-06:00,10000,37.58,93.83,92.45,1.6,,TEL,,92.7,BATS,2017-11-14,92.7,0,2017-11-14,66.14,,353380,92.97,10000,+,100,41781,1233777,Te Connectivity Ltd,,i,E,93.82,-1.12
2016-11-15,1412538,93.82,,93.21,,2017-08-23,,-1.19,0,2,2017-11-15T13:59:00-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:43:10-06:00,10000,37.58,93.83,92.45,1.6,,TEL,,92.7,BATS,2017-11-14,92.71,0,2017-11-14,66.14,,353380,92.97,10000,+,100,41781,1233777,Te Connectivity Ltd,,i,E,93.82,-1.12
2016-11-15,1412538,93.82,,93.21,,2017-08-23,,-1.19,0,2,2017-11-15T13:59:40-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:43:10-06:00,12500,37.58,93.83,92.45,1.6,,TEL,,92.7,BATS,2017-11-14,92.71,0,2017-11-14,66.14,,353380,92.99,10000,+,100,41781,1233777,Te Connectivity Ltd,,i,E,93.82,-1.12
2016-11-15,1412863,93.82,,93.21,,2017-08-23,,-1.19,0,2,2017-11-15T14:00:09-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:43:10-06:00,10000,37.95,93.83,92.45,1.6,,TEL,,92.7,BATS,2017-11-14,92.67,0,2017-11-14,66.14,,353380,92.71,20000,+,100,41781,1237370,Te Connectivity Ltd,,i,E,93.82,-1.12
2016-11-15,1412863,93.82,,93.21,,2017-08-23,,-1.19,0,2,2017-11-15T14:00:26-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:43:10-06:00,10000,37.95,93.83,92.45,1.6,,TEL,,92.7,BATS,2017-11-14,92.69,0,2017-11-14,66.14,,353380,93,10000,+,100,41781,1237370,Te Connectivity Ltd,,i,E,93.82,-1.12
2016-11-15,1412863,93.82,,93.21,,2017-08-23,,-1.19,0,2,2017-11-15T14:00:52-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:43:10-06:00,10000,37.95,93.83,92.45,1.6,,TEL,,92.7,BATS,2017-11-14,92.69,0,2017-11-14,66.14,,353380,92.74,10000,+,100,41781,1237370,Te Connectivity Ltd,,i,E,93.82,-1.12
2016-11-15,1412863,93.82,,93.21,,2017-08-23,,-1.15,0,2,2017-11-15T14:01:20-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:46:10-06:00,10000,37.95,93.83,92.45,1.6,,TEL,,92.74,BATS,2017-11-14,92.74,0,2017-11-14,66.14,,353380,93,29900,+,100,42081,1237370,Te Connectivity Ltd,,i,E,93.82,-1.08
2016-11-15,1412863,93.82,,93.21,,2017-08-23,,-1.15,0,2,2017-11-15T14:01:25-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:46:10-06:00,10000,37.95,93.83,92.45,1.6,,TEL,,92.74,BATS,2017-11-14,92.76,0,2017-11-14,66.14,,353380,93,10000,+,100,42081,1237370,Te Connectivity Ltd,,i,E,93.82,-1.08
2016-11-15,1412863,93.82,,93.21,,2017-08-23,,-1.15,0,2,2017-11-15T14:02:10-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:46:10-06:00,10000,37.95,93.83,92.45,1.6,,TEL,,92.74,BATS,2017-11-14,92.78,0,2017-11-14,66.14,,353380,93,10000,+,100,42081,1237370,Te Connectivity Ltd,,i,E,93.82,-1.08
2016-11-15,1412863,93.82,,93.21,,2017-08-23,,-1.15,0,2,2017-11-15T14:02:35-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:46:10-06:00,10000,37.95,93.83,92.45,1.6,,TEL,,92.74,BATS,2017-11-14,92.78,0,2017-11-14,66.14,,353380,92.83,10000,+,100,42081,1237370,Te Connectivity Ltd,,i,E,93.82,-1.08
2016-11-15,1412863,93.82,,93.21,,2017-08-23,,-1.11,0,2,2017-11-15T14:03:04-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:47:48-06:00,10000,37.95,93.83,92.45,1.6,,TEL,,92.78,BATS,2017-11-14,92.78,0,2017-11-14,66.14,,353380,93,15000,.,1,42181,1237370,Te Connectivity Ltd,,i,E,93.82,-1.04
2016-11-15,1412863,93.82,,93.21,,2017-08-23,,-1.11,0,2,2017-11-15T14:03:16-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:47:48-06:00,10000,37.95,93.83,92.45,1.6,,TEL,,92.78,BATS,2017-11-14,92.73,0,2017-11-14,66.14,,353380,92.8,20000,.,1,42181,1237370,Te Connectivity Ltd,,i,E,93.82,-1.04
2016-11-15,1412863,93.82,,93.21,,2017-08-23,,-1.11,0,2,2017-11-15T14:03:16-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:47:48-06:00,10000,37.95,93.83,92.45,1.6,,TEL,,92.78,BATS,2017-11-14,92.73,0,2017-11-14,66.14,,353380,92.8,20000,.,1,42181,1237370,Te Connectivity Ltd,,i,E,93.82,-1.04
2016-11-15,1412863,93.82,,93.21,,2017-08-23,,-1.12,0,2,2017-11-15T14:04:19-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:49:11-06:00,1300,37.95,93.83,92.45,1.6,,TEL,,92.77,BATS,2017-11-14,92.77,0,2017-11-14,66.14,,353380,92.78,10000,-,100,42281,1237370,Te Connectivity Ltd,,i,E,93.82,-1.05
2016-11-15,1412863,93.82,,93.21,,2017-08-23,,-1.12,0,2,2017-11-15T14:04:29-06:00,0,93.15,1.71,2016-11-22,2017-11-15T14:49:11-06:00,11300,37.95,93.83,92.45,1.6,,TEL,,92.77,BATS,2017-11-14,92.77,0,2017-11-14,66.14,,353380,92.78,10000,-,100,42281,1237370,Te Connectivity Ltd,,i,E,93.82,-1.05
