twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,4076855,81.37,,81.63,,2017-08-07,,0.23,0,2,2017-11-15T13:55:31-06:00,0,80.89,3.47,2016-11-30,2017-11-15T14:40:06-06:00,10000,29.2,82.19,80.45,2.8,,VLO,,81.56,BATS,2017-11-02,81.56,0,2017-11-14,60.35,,437580,81.57,11200,.,14,137923,3682159,Valero Energy Corp,,i,E,81.37,0.19
2016-11-15,4076855,81.37,,81.63,,2017-08-07,,0.25,0,2,2017-11-15T13:56:05-06:00,0,80.89,3.47,2016-11-30,2017-11-15T14:40:39-06:00,20000,29.2,82.19,80.45,2.8,,VLO,,81.57,BATS,2017-11-02,81.56,0,2017-11-14,60.35,,437580,81.57,11200,+,100,138023,3682159,Valero Energy Corp,,i,E,81.37,0.2
2016-11-15,4076855,81.37,,81.63,,2017-08-07,,0.23,0,2,2017-11-15T13:56:24-06:00,0,80.89,3.47,2016-11-30,2017-11-15T14:41:23-06:00,10000,29.2,82.19,80.45,2.8,,VLO,,81.56,BATS,2017-11-02,81.55,0,2017-11-14,60.35,,437580,81.57,10000,.,200,138335,3682159,Valero Energy Corp,,i,E,81.37,0.19
2016-11-15,4076855,81.37,,81.63,,2017-08-07,,0.23,0,2,2017-11-15T13:57:15-06:00,0,80.89,3.47,2016-11-30,2017-11-15T14:41:23-06:00,10000,29.2,82.19,80.45,2.8,,VLO,,81.56,BATS,2017-11-02,81.53,0,2017-11-14,60.35,,437580,81.55,10000,.,200,138335,3682159,Valero Energy Corp,,i,E,81.37,0.19
2016-11-15,4076855,81.37,,81.63,,2017-08-07,,0.22,0,2,2017-11-15T13:57:39-06:00,0,80.89,3.47,2016-11-30,2017-11-15T14:42:21-06:00,10000,29.2,82.19,80.45,2.8,,VLO,,81.55,BATS,2017-11-02,81.54,0,2017-11-14,60.35,,437580,81.62,20000,-,100,138435,3682159,Valero Energy Corp,,i,E,81.37,0.18
2016-11-15,4076855,81.37,,81.63,,2017-08-07,,0.22,0,2,2017-11-15T13:57:56-06:00,0,80.89,3.47,2016-11-30,2017-11-15T14:42:21-06:00,200,29.2,82.19,80.45,2.8,,VLO,,81.55,BATS,2017-11-02,81.55,0,2017-11-14,60.35,,437580,81.56,10000,-,100,138435,3682159,Valero Energy Corp,,i,E,81.37,0.18
2016-11-15,4076855,81.37,,81.63,,2017-08-07,,0.25,0,2,2017-11-15T13:58:25-06:00,0,80.89,3.47,2016-11-30,2017-11-15T14:43:18-06:00,10000,29.2,82.19,80.45,2.8,,VLO,,81.57,BATS,2017-11-02,81.53,0,2017-11-14,60.35,,437580,81.62,10000,.,100,138607,3682159,Valero Energy Corp,,i,E,81.37,0.2
2016-11-15,4076855,81.37,,81.63,,2017-08-07,,0.22,0,2,2017-11-15T13:58:43-06:00,0,80.89,3.47,2016-11-30,2017-11-15T14:43:36-06:00,10000,29.2,82.19,80.45,2.8,,VLO,,81.55,BATS,2017-11-02,81.53,0,2017-11-14,60.35,,437580,81.57,10000,-,9,138841,3682159,Valero Energy Corp,,i,E,81.37,0.18
2016-11-15,4076855,81.37,,81.63,,2017-08-07,,0.22,0,2,2017-11-15T13:59:14-06:00,0,80.89,3.47,2016-11-30,2017-11-15T14:43:36-06:00,20000,29.2,82.19,80.45,2.8,,VLO,,81.55,BATS,2017-11-02,81.55,0,2017-11-14,60.35,,437580,81.57,10000,-,9,138841,3682159,Valero Energy Corp,,i,E,81.37,0.18
2016-11-15,4076855,81.37,,81.63,,2017-08-07,,0.22,0,2,2017-11-15T13:59:14-06:00,0,80.89,3.47,2016-11-30,2017-11-15T14:43:36-06:00,20000,29.2,82.19,80.45,2.8,,VLO,,81.55,BATS,2017-11-02,81.55,0,2017-11-14,60.35,,437580,81.57,10000,-,9,138841,3682159,Valero Energy Corp,,i,E,81.37,0.18
