twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-15,803842,91.11,,91.3,,,,-0.33,0,2,2017-11-15T13:55:30-06:00,0,90.44,0,2017-05-04,2017-11-15T14:37:45-06:00,10000,9.8,92.92,90.43,0,,VRSK,,90.81,BATS,2017-11-07,90.8,0,2017-11-14,75.6,,164690,90.82,10000,.,100,22129,920001,Verisk Analytics Inc,,i,E,91.11,-0.3
2016-11-15,803842,91.11,,91.3,,,,-0.32,0,2,2017-11-15T13:56:03-06:00,0,90.44,0,2017-05-04,2017-11-15T14:40:36-06:00,9900,9.8,92.92,90.43,0,,VRSK,,90.82,BATS,2017-11-07,90.8,0,2017-11-14,75.6,,164690,90.82,20000,+,1,22130,920001,Verisk Analytics Inc,,i,E,91.11,-0.29
2016-11-15,803842,91.11,,91.3,,,,-0.34,0,2,2017-11-15T13:56:22-06:00,0,90.44,0,2017-05-04,2017-11-15T14:41:22-06:00,9900,9.8,92.92,90.43,0,,VRSK,,90.8,BATS,2017-11-07,90.8,0,2017-11-14,75.6,,164690,90.82,17500,-,25,22155,920001,Verisk Analytics Inc,,i,E,91.11,-0.31
2016-11-15,803842,91.11,,91.3,,,,-0.32,0,2,2017-11-15T13:57:01-06:00,0,90.44,0,2017-05-04,2017-11-15T14:41:56-06:00,10000,9.8,92.92,90.43,0,,VRSK,,90.82,BATS,2017-11-07,90.82,0,2017-11-14,75.6,,164690,91.05,10000,.,100,22654,920001,Verisk Analytics Inc,,i,E,91.11,-0.29
2016-11-15,803842,91.11,,91.3,,,,-0.32,0,2,2017-11-15T13:57:31-06:00,0,90.44,0,2017-05-04,2017-11-15T14:41:56-06:00,10000,9.8,92.92,90.43,0,,VRSK,,90.82,BATS,2017-11-07,90.82,0,2017-11-14,75.6,,164690,91.05,20000,.,100,22654,920001,Verisk Analytics Inc,,i,E,91.11,-0.29
2016-11-15,803842,91.11,,91.3,,,,-0.32,0,2,2017-11-15T13:58:04-06:00,0,90.44,0,2017-05-04,2017-11-15T14:41:56-06:00,10000,9.8,92.92,90.43,0,,VRSK,,90.82,BATS,2017-11-07,90.82,0,2017-11-14,75.6,,164690,91.05,10000,.,100,22654,920001,Verisk Analytics Inc,,i,E,91.11,-0.29
2016-11-15,803842,91.11,,91.3,,,,-0.3,0,2,2017-11-15T13:58:23-06:00,0,90.44,0,2017-05-04,2017-11-15T14:43:23-06:00,10000,9.8,92.92,90.43,0,,VRSK,,90.84,BATS,2017-11-07,90.84,0,2017-11-14,75.6,,164690,90.87,9000,+,10,22664,920001,Verisk Analytics Inc,,i,E,91.11,-0.27
2016-11-15,803842,91.11,,91.3,,,,-0.3,0,2,2017-11-15T13:58:38-06:00,0,90.44,0,2017-05-04,2017-11-15T14:43:23-06:00,10000,9.8,92.92,90.43,0,,VRSK,,90.84,BATS,2017-11-07,90.84,0,2017-11-14,75.6,,164690,90.87,19000,+,10,22664,920001,Verisk Analytics Inc,,i,E,91.11,-0.27
2016-11-15,803842,91.11,,91.3,,,,-0.3,0,2,2017-11-15T13:59:14-06:00,0,90.44,0,2017-05-04,2017-11-15T14:43:23-06:00,20000,9.8,92.92,90.43,0,,VRSK,,90.84,BATS,2017-11-07,90.84,0,2017-11-14,75.6,,164690,90.87,19000,+,10,22664,920001,Verisk Analytics Inc,,i,E,91.11,-0.27
2016-11-15,803842,91.11,,91.3,,,,-0.3,0,2,2017-11-15T13:59:17-06:00,0,90.44,0,2017-05-04,2017-11-15T14:43:23-06:00,20000,9.8,92.92,90.43,0,,VRSK,,90.84,BATS,2017-11-07,90.84,0,2017-11-14,75.6,,164690,90.87,19000,+,10,22664,920001,Verisk Analytics Inc,,i,E,91.11,-0.27
2016-11-15,803842,91.11,,91.3,,,,-0.3,0,2,2017-11-15T14:00:06-06:00,0,90.44,0,2017-05-04,2017-11-15T14:43:23-06:00,100,9.92,92.92,90.43,0,,VRSK,,90.84,BATS,2017-11-07,90.84,0,2017-11-14,75.6,,164690,90.86,9000,+,10,22664,920001,Verisk Analytics Inc,,i,E,91.11,-0.27
2016-11-15,803949,91.11,,91.3,,,,-0.3,0,2,2017-11-15T14:00:24-06:00,0,90.44,0,2017-05-04,2017-11-15T14:43:23-06:00,3700,9.92,92.92,90.43,0,,VRSK,,90.84,BATS,2017-11-07,90.84,0,2017-11-14,75.6,,164690,90.86,9000,+,10,22664,921187,Verisk Analytics Inc,,i,E,91.11,-0.27
2016-11-15,803949,91.11,,91.3,,,,-0.3,0,2,2017-11-15T14:00:54-06:00,0,90.44,0,2017-05-04,2017-11-15T14:45:42-06:00,3600,9.92,92.92,90.43,0,,VRSK,,90.84,BATS,2017-11-07,90.84,0,2017-11-14,75.6,,164690,90.85,40000,.,100,23118,921187,Verisk Analytics Inc,,i,E,91.11,-0.27
2016-11-15,803949,91.11,,91.3,,,,-0.26,0,2,2017-11-15T14:01:17-06:00,0,90.44,0,2017-05-04,2017-11-15T14:46:17-06:00,9100,9.92,92.92,90.43,0,,VRSK,,90.87,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.9,10000,.,100,23555,921187,Verisk Analytics Inc,,i,E,91.11,-0.24
2016-11-15,803949,91.11,,91.3,,,,-0.26,0,2,2017-11-15T14:01:25-06:00,0,90.44,0,2017-05-04,2017-11-15T14:46:17-06:00,9100,9.92,92.92,90.43,0,,VRSK,,90.87,BATS,2017-11-07,90.83,0,2017-11-14,75.6,,164690,90.9,10000,.,100,23555,921187,Verisk Analytics Inc,,i,E,91.11,-0.24
2016-11-15,803949,91.11,,91.3,,,,-0.26,0,2,2017-11-15T14:01:56-06:00,0,90.44,0,2017-05-04,2017-11-15T14:46:17-06:00,9100,9.92,92.92,90.43,0,,VRSK,,90.87,BATS,2017-11-07,90.83,0,2017-11-14,75.6,,164690,90.9,10000,.,100,23555,921187,Verisk Analytics Inc,,i,E,91.11,-0.24
2016-11-15,803949,91.11,,91.3,,,,-0.26,0,2,2017-11-15T14:02:31-06:00,0,90.44,0,2017-05-04,2017-11-15T14:46:17-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.87,BATS,2017-11-07,90.85,0,2017-11-14,75.6,,164690,90.88,10000,.,100,23555,921187,Verisk Analytics Inc,,i,E,91.11,-0.24
2016-11-15,803949,91.11,,91.3,,,,-0.26,0,2,2017-11-15T14:02:59-06:00,0,90.44,0,2017-05-04,2017-11-15T14:46:17-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.87,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,91.05,20000,.,100,23555,921187,Verisk Analytics Inc,,i,E,91.11,-0.24
2016-11-15,803949,91.11,,91.3,,,,-0.27,0,2,2017-11-15T14:03:15-06:00,0,90.44,0,2017-05-04,2017-11-15T14:48:11-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.86,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,91.05,10000,-,25,23580,921187,Verisk Analytics Inc,,i,E,91.11,-0.25
2016-11-15,803949,91.11,,91.3,,,,-0.27,0,2,2017-11-15T14:03:32-06:00,0,90.44,0,2017-05-04,2017-11-15T14:48:11-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.86,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.88,10000,-,25,23580,921187,Verisk Analytics Inc,,i,E,91.11,-0.25
2016-11-15,803949,91.11,,91.3,,,,-0.25,0,2,2017-11-15T14:04:16-06:00,0,90.44,0,2017-05-04,2017-11-15T14:49:16-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.88,BATS,2017-11-07,90.87,0,2017-11-14,75.6,,164690,91.05,10000,.,41,23680,921187,Verisk Analytics Inc,,i,E,91.11,-0.23
2016-11-15,803949,91.11,,91.3,,,,-0.25,0,2,2017-11-15T14:04:27-06:00,0,90.44,0,2017-05-04,2017-11-15T14:49:16-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.88,BATS,2017-11-07,90.87,0,2017-11-14,75.6,,164690,90.92,10000,.,41,23680,921187,Verisk Analytics Inc,,i,E,91.11,-0.23
2016-11-15,803949,91.11,,91.3,,,,-0.25,0,2,2017-11-15T14:05:03-06:00,0,90.44,0,2017-05-04,2017-11-15T14:49:16-06:00,1100,9.92,92.92,90.43,0,,VRSK,,90.88,BATS,2017-11-07,90.87,0,2017-11-14,75.6,,164690,90.9,10000,.,41,23680,921187,Verisk Analytics Inc,,i,E,91.11,-0.23
2016-11-15,803949,91.11,,91.3,,,,-0.25,0,2,2017-11-15T14:05:30-06:00,0,90.44,0,2017-05-04,2017-11-15T14:49:16-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.88,BATS,2017-11-07,90.87,0,2017-11-14,75.6,,164690,90.92,10000,.,41,23680,921187,Verisk Analytics Inc,,i,E,91.11,-0.23
2016-11-15,803949,91.11,,91.3,,,,-0.25,0,2,2017-11-15T14:05:37-06:00,0,90.44,0,2017-05-04,2017-11-15T14:50:37-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.88,BATS,2017-11-07,90.87,0,2017-11-14,75.6,,164690,90.92,10000,.,11,23691,921187,Verisk Analytics Inc,,i,E,91.11,-0.23
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:06:25-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.92,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:06:25-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.92,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:06:25-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.92,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:06:25-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.92,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:06:25-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.92,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:08:31-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,91.19,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:09:03-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,91.19,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:09:22-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,91.19,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:10:19-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,91.19,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:10:32-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.91,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:10:32-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.91,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:10:32-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.91,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:10:32-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.91,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.23,0,2,2017-11-15T14:12:10-06:00,0,90.44,0,2017-05-04,2017-11-15T14:51:25-06:00,10000,9.92,92.92,90.43,0,,VRSK,,90.9,BATS,2017-11-07,90.89,0,2017-11-14,75.6,,164690,90.91,10000,+,35,23726,921187,Verisk Analytics Inc,,i,E,91.11,-0.21
2016-11-15,803949,91.11,,91.3,,,,-0.25,0,2,2017-11-15T14:12:45-06:00,0,90.44,0,2017-05-04,2017-11-15T14:57:45-06:00,1000,9.92,92.92,90.43,0,,VRSK,,90.88,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.89,10000,.,100,24026,921187,Verisk Analytics Inc,,i,E,91.11,-0.23
2016-11-15,803949,91.11,,91.3,,,,-0.25,0,2,2017-11-15T14:12:50-06:00,0,90.44,0,2017-05-04,2017-11-15T14:57:45-06:00,1000,9.92,92.92,90.43,0,,VRSK,,90.88,BATS,2017-11-07,90.87,0,2017-11-14,75.6,,164690,90.89,10000,.,100,24026,921187,Verisk Analytics Inc,,i,E,91.11,-0.23
2016-11-15,803949,91.11,,91.3,,,,-0.25,0,2,2017-11-15T14:13:23-06:00,0,90.44,0,2017-05-04,2017-11-15T14:58:22-06:00,1000,9.92,92.92,90.43,0,,VRSK,,90.88,BATS,2017-11-07,90.87,0,2017-11-14,75.6,,164690,90.89,10000,.,11,24037,921187,Verisk Analytics Inc,,i,E,91.11,-0.23
2016-11-15,803949,91.11,,91.3,,,,-0.25,0,2,2017-11-15T14:14:08-06:00,0,90.44,0,2017-05-04,2017-11-15T14:58:22-06:00,1000,9.92,92.92,90.43,0,,VRSK,,90.88,BATS,2017-11-07,90.5,0,2017-11-14,75.6,,164690,90.89,10000,.,11,24037,921187,Verisk Analytics Inc,,i,E,91.11,-0.23
2016-11-15,803949,91.11,,91.3,,,,-0.25,0,2,2017-11-15T14:14:27-06:00,0,90.44,0,2017-05-04,2017-11-15T14:58:22-06:00,1000,9.92,92.92,90.43,0,,VRSK,,90.88,BATS,2017-11-07,90.86,0,2017-11-14,75.6,,164690,90.89,10000,.,11,24037,921187,Verisk Analytics Inc,,i,E,91.11,-0.23
2016-11-15,803991,91.11,,91.3,,,,-0.25,0,2,2017-11-15T14:15:08-06:00,0,90.44,0,2017-05-04,2017-11-15T14:58:22-06:00,1000,9.95,92.92,90.43,0,,VRSK,,90.88,BATS,2017-11-07,90.87,0,2017-11-14,75.6,,164690,90.89,100,.,11,24037,921646,Verisk Analytics Inc,,i,E,91.11,-0.23
2016-11-15,803991,91.11,,91.3,,,,-0.25,0,2,2017-11-15T14:15:08-06:00,0,90.44,0,2017-05-04,2017-11-15T14:58:22-06:00,1000,9.95,92.92,90.43,0,,VRSK,,90.88,BATS,2017-11-07,90.87,0,2017-11-14,75.6,,164690,90.89,100,.,11,24037,921646,Verisk Analytics Inc,,i,E,91.11,-0.23
2016-11-15,803991,91.11,,91.3,,,,-0.24,0,2,2017-11-15T14:16:12-06:00,0,90.44,0,2017-05-04,2017-11-15T15:01:10-06:00,2500,9.95,92.92,90.43,0,,VRSK,,90.89,BATS,2017-11-07,90.9,0,2017-11-14,75.6,,164690,90.97,10000,.,14,24137,921646,Verisk Analytics Inc,,i,E,91.11,-0.22
2016-11-15,803991,91.11,,91.3,,,,-0.19,0,2,2017-11-15T14:16:34-06:00,0,90.44,0,2017-05-04,2017-11-15T15:01:33-06:00,2500,9.95,92.92,90.43,0,,VRSK,,90.94,BATS,2017-11-07,90.93,0,2017-11-14,75.6,,164690,90.97,10000,+,100,24237,921646,Verisk Analytics Inc,,i,E,91.11,-0.17
2016-11-15,803991,91.11,,91.3,,,,-0.19,0,2,2017-11-15T14:16:34-06:00,0,90.44,0,2017-05-04,2017-11-15T15:01:33-06:00,2500,9.95,92.92,90.43,0,,VRSK,,90.94,BATS,2017-11-07,90.93,0,2017-11-14,75.6,,164690,90.97,10000,+,100,24237,921646,Verisk Analytics Inc,,i,E,91.11,-0.17
2016-11-15,803991,91.11,,91.3,,,,-0.19,0,2,2017-11-15T14:16:34-06:00,0,90.44,0,2017-05-04,2017-11-15T15:01:33-06:00,2500,9.95,92.92,90.43,0,,VRSK,,90.94,BATS,2017-11-07,90.93,0,2017-11-14,75.6,,164690,90.97,10000,+,100,24237,921646,Verisk Analytics Inc,,i,E,91.11,-0.17
