twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
2016-11-23,5939039,37.28,,37.57,,2007-06-27,,0.3,0,2,2017-11-24T13:37:00-06:00,0,37.18,0,2017-08-15,2017-11-24T12:59:58-06:00,0,1.41,45.87,36.94,0,,MYL,,37.39,BATS,2017-03-01,0,0,2017-11-22,29.39,,536440,0,0,.,100,56991,5459068,Mylan Nv Ord Shs,,i,N,37.28,0.11
2016-11-23,1690009,79.34,,79.46,,2017-09-14,,-0.83,0,2,2017-11-24T13:11:11-06:00,0,79.44,1.51,2016-11-28,2017-11-24T12:59:58-06:00,0,26.54,80.25,78.53,1.2,,CMA,,78.68,BATS,2017-11-03,0,0,2017-11-22,61.05,,173910,0,0,.,248,20726,1379601,Comerica Inc,,i,N,79.34,-0.66
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
2016-11-23,5939039,37.28,,37.57,,2007-06-27,,0.3,0,2,2017-11-24T13:37:00-06:00,0,37.18,0,2017-08-15,2017-11-24T12:59:58-06:00,0,1.41,45.87,36.94,0,,MYL,,37.39,BATS,2017-03-01,0,0,2017-11-22,29.39,,536440,0,0,.,100,56991,5459068,Mylan Nv Ord Shs,,i,N,37.28,0.11
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
2016-11-23,1690009,79.34,,79.46,,2017-09-14,,-0.83,0,2,2017-11-24T13:11:11-06:00,0,79.44,1.51,2016-11-28,2017-11-24T12:59:58-06:00,0,26.54,80.25,78.53,1.2,,CMA,,78.68,BATS,2017-11-03,0,0,2017-11-22,61.05,,173910,0,0,.,248,20726,1379601,Comerica Inc,,i,N,79.34,-0.66
2016-11-23,5939039,37.28,,37.57,,2007-06-27,,0.3,0,2,2017-11-24T13:37:00-06:00,0,37.18,0,2017-08-15,2017-11-24T12:59:58-06:00,0,1.41,45.87,36.94,0,,MYL,,37.39,BATS,2017-03-01,0,0,2017-11-22,29.39,,536440,0,0,.,100,56991,5459068,Mylan Nv Ord Shs,,i,N,37.28,0.11
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
2016-11-23,5939039,37.28,,37.57,,2007-06-27,,0.3,0,2,2017-11-24T13:37:00-06:00,0,37.18,0,2017-08-15,2017-11-24T12:59:58-06:00,0,1.41,45.87,36.94,0,,MYL,,37.39,BATS,2017-03-01,0,0,2017-11-22,29.39,,536440,0,0,.,100,56991,5459068,Mylan Nv Ord Shs,,i,N,37.28,0.11
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
2016-03-10,1002689,111.5,,,,2017-02-02,,,0,2,1969-12-31T18:00:00-06:00,,,1.26,2016-06-27,1969-12-31T17:45:00-06:00,,45.28,111.85,,1.4,,HAR,,,BATS,2017-03-01,,,2017-03-09,64.93,,69890,,,,,,1013765,Harman International Industries Inc,,,U,111.5,
